generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,3,1
3000,1,3,1
4000,2,3,1
5000,1,3,0
6000,1,3,1
7000,2,3,1
8000,2,3,1
9000,1,3,1
10000,1,2,1
11000,1,2,1
12000,2,3,1
13000,2,3,1
14000,1,2,1
15000,1,3,1
16000,2,3,1
17000,2,3,1
18000,2,3,1
19000,1,2,1
20000,1,2,1
21000,1,3,1
22000,2,3,1
23000,1,3,1
24000,2,3,1
25000,1,2,1
26000,1,3,1
27000,1,3,1
28000,1,3,1
29000,1,2,1
30000,2,3,1
31000,1,2,1
32000,2,3,1
33000,1,2,0
34000,2,3,1
35000,1,3,1
36000,1,2,1
37000,1,3,1
38000,1,2,1
39000,1,3,1
40000,1,2,1
41000,1,2,1
42000,1,2,1
43000,1,2,1
44000,2,3,1
45000,1,2,1
46000,2,3,1
47000,1,2,1
48000,2,3,1
49000,2,3,1
50000,1,3,1
51000,2,3,1
52000,1,2,1
53000,1,3,1
54000,2,3,1
55000,1,3,0
56000,1,3,1
57000,1,3,1
58000,2,3,1
59000,2,3,1
60000,1,3,1
61000,2,3,1
62000,2,3,0
63000,2,3,1
64000,1,2,1
65000,1,3,1
66000,1,3,0
67000,1,2,1
68000,2,3,1
69000,1,3,1
70000,2,3,1
71000,1,3,1
72000,1,3,1
73000,1,2,1
74000,2,3,1
75000,1,2,1
76000,1,3,1
77000,1,3,0
78000,1,2,1
79000,1,2,1
80000,2,3,1
81000,2,3,1
82000,2,3,0
83000,1,3,0
84000,1,3,0
85000,1,3,0
86000,2,3,0
87000,1,2,1
88000,1,3,0
89000,1,3,0
90000,1,2,1
91000,1,3,0
92000,1,2,1
93000,1,2,1
94000,1,3,0
95000,1,3,0
96000,2,3,0
97000,2,3,0
98000,2,3,0
99000,1,2,1
100000,2,3,0
101000,2,3,0
102000,2,3,1
103000,2,3,1
104000,1,2,1
105000,1,3,1
106000,2,3,1
107000,1,2,1
108000,2,3,1
109000,1,3,0
110000,2,3,0
111000,1,2,1
112000,1,3,0
113000,2,3,0
114000,1,3,0
115000,1,3,0
116000,1,3,0
117000,2,3,0
118000,2,3,1
119000,1,3,1
120000,1,2,0
121000,1,3,1
122000,1,3,1
123000,2,3,1
124000,1,2,1
125000,1,2,1
126000,2,3,1
127000,2,3,1
128000,1,2,1
129000,1,2,1
130000,1,3,1
131000,1,3,0
132000,1,3,0
133000,1,3,0
134000,1,3,0
135000,1,2,1
136000,1,3,1
137000,1,3,1
138000,1,2,1
139000,1,3,1
140000,2,3,1
141000,1,3,1
142000,1,2,1
143000,1,2,1
144000,1,3,1
145000,1,2,1
146000,1,3,1
147000,1,3,1
148000,1,2,1
149000,2,3,1
150000,1,2,1
151000,1,3,1
152000,1,2,1
153000,1,2,1
154000,1,3,1
155000,1,2,0
156000,1,3,1
157000,1,3,1
158000,2,3,1
159000,2,3,1
160000,2,3,1
161000,1,3,1
162000,1,2,1
163000,2,3,1
164000,1,3,1
165000,1,2,1
166000,2,3,1
167000,1,3,1
168000,2,3,1
169000,1,3,1
170000,2,3,1
171000,2,3,1
172000,1,3,0
173000,1,3,1
174000,1,3,1
175000,2,3,1
176000,2,3,1
177000,1,2,1
178000,1,3,0
179000,2,3,1
180000,1,3,1
181000,1,3,1
182000,2,3,1
183000,2,3,1
184000,1,3,1
185000,1,3,1
186000,1,3,1
187000,1,3,1
188000,2,3,1
189000,2,3,1
190000,1,3,0
191000,1,2,1
192000,1,2,1
193000,1,2,0
194000,2,3,1
195000,1,2,1
196000,2,3,1
197000,1,2,0
198000,2,3,1
199000,2,3,1
200000,1,3,1
201000,2,3,1
202000,1,2,1
203000,2,3,0
204000,1,3,1
205000,1,3,1
206000,2,3,1
207000,1,2,1
208000,1,3,1
209000,2,3,1
210000,1,3,1
211000,1,3,1
212000,2,3,1
213000,1,2,1
214000,1,3,0
215000,1,2,1
216000,1,2,1
217000,2,3,1
218000,1,3,0
219000,2,3,1
220000,1,2,0
221000,2,3,1
222000,1,3,1
223000,1,2,1
224000,1,2,1
225000,1,2,1
226000,1,3,1
227000,1,2,1
228000,1,2,1
229000,2,3,1
230000,1,2,1
231000,1,3,1
232000,1,2,1
233000,1,3,0
234000,2,3,1
235000,2,3,1
236000,1,2,1
237000,2,3,0
238000,1,3,1
239000,1,2,1
240000,2,3,1
241000,2,3,1
242000,2,3,1
243000,1,3,1
244000,2,3,1
245000,2,3,1
246000,2,3,1
247000,1,3,1
248000,1,2,1
249000,2,3,0
250000,1,3,0
251000,1,2,1
252000,2,3,0
253000,2,3,1
