generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.36697,-24211,27.4487,1
15000,1,5.44636,-22019.9,0.777276,0.232584
30000,3,14.6933,-21985,5.12199,0.341533
45000,2,10.938,-22013.8,2.70111,0.287511
60000,3,17.7486,-21985,2.01035,0.3216
75000,5,22.5547,-21977.3,5.68814,0.303183
90000,2,11.7488,-22015.9,2.7422,0.301889
105000,6,26.8174,-21947.7,8.84846,0.326578
120000,7,27.595,-21951.2,14.5362,0.3644
135000,8,31.3321,-21954.3,11.253,0.331933
150000,7,33.4048,-21959.2,10.4992,0.340187
165000,9,43.4464,-21957.6,5.73509,0.333467
180000,6,27.7968,-21958.8,7.70511,0.346933
195000,7,27.5408,-21920.6,10.7471,0.331383
210000,9,43.3148,-21956,6.98165,0.300583
225000,6,23.6874,-21922.1,5.3688,0.345367
240000,8,34.1894,-21950.3,9.14782,0.33745
255000,13,53.3332,-21937.1,13.5524,0.3412
270000,12,53.1714,-21867.2,10.6546,0.331
285000,7,30.4075,-21957.2,11.9727,0.3018
300000,20,82.736,-21798.2,14.458,0.342733
315000,24,100.252,-21848.1,33.3541,0.342583
330000,28,117.35,-21793.1,26.2531,0.388
345000,21,88.484,-21780.9,19.8426,0.380733
360000,23,84.4261,-21796.6,35.3908,0.334222
375000,32,147.625,-21772.9,24.6943,0.38
390000,25,97.9921,-21754.8,27.2736,0.346167
405000,32,135.771,-21770.9,23.383,0.355733
420000,35,142.65,-21756.2,28.747,0.3814
435000,47,201.53,-21734.7,46.1928,0.389667
450000,42,178.123,-21740.8,40.0824,0.39584
465000,35,154.05,-21739,34.6939,0.397333
480000,35,142.811,-21722.6,48.092,0.374333
495000,41,170.258,-21722.8,36.1042,0.380083
510000,31,139.506,-21749.7,35.6204,0.3628
525000,43,173.624,-21710.9,43.0003,0.382167
540000,41,172.15,-21706.3,35.9034,0.377933
555000,55,242.29,-21688.1,51.6486,0.3916
570000,52,204.17,-21682.2,55.0182,0.394
585000,51,211.782,-21690.3,50.8828,0.3862
600000,62,258.166,-21683.7,50.6537,0.397467
615000,63,275.191,-21678.5,63.4362,0.411667
630000,51,219.365,-21661.8,53.6913,0.387733
645000,51,220.575,-21695.1,41.4285,0.384859
660000,35,143.047,-21751.6,36.7429,0.318912
675000,77,319.94,-21670.9,65.4951,0.390978
690000,63,271.091,-21646.9,62.3321,0.4062
705000,34,150.851,-21751.6,26.7318,0.374022
720000,42,177.367,-21671.2,48.7174,0.389707
735000,48,218.78,-21696,51.1819,0.371733
750000,38,171.512,-21692,46.6603,0.378733
765000,59,261.411,-21646.2,65.8065,0.39
780000,52,243.636,-21701.2,44.121,0.397467
795000,65,276.651,-21676.5,63.1691,0.408933
810000,64,275.368,-21669.3,77.6825,0.397
825000,58,249.423,-21661.5,69.6085,0.407133
840000,55,218.194,-21654.7,64.3746,0.40836
855000,55,240.196,-21672.9,80.1671,0.4105
870000,40,175.618,-21667.4,40.2209,0.382
