generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24192.2,100,0
15000,3,13.8849,-21906.5,6.22263,0.24325
30000,4,18.0683,-21911.2,3.78404,0.321133
45000,3,16.1965,-21901.2,6.75518,0.2958
60000,4,6.97279,-21893.5,3.71022,0.326467
75000,6,25.5799,-21883.2,8.90912,0.3174
90000,5,15.0844,-21866.5,7.26251,0.311333
105000,7,23.4199,-21859.4,5.71804,0.3184
120000,9,37.0257,-21846.7,12.7665,0.3418
135000,2,11.892,-21920.4,2.43598,0.23248
150000,3,16.1224,-21948.9,6.45656,0.255453
165000,9,41.8398,-21851.4,8.72359,0.3057
180000,11,44.9528,-21807.6,12.1327,0.324717
195000,6,29.2099,-21848.8,6.86514,0.307822
210000,6,27.6851,-21849.3,8.56969,0.330844
225000,19,79.5338,-21756.9,16.9184,0.343378
240000,17,64.7468,-21770.4,12.5614,0.362067
255000,16,61.1087,-21759.6,14.625,0.357667
270000,14,71.0897,-21830.6,16.5244,0.31292
285000,22,89.9181,-21736.9,30.0042,0.357133
300000,17,62.8711,-21723.5,18.208,0.3626
315000,27,117.999,-21724.8,25.5779,0.3846
330000,24,100.768,-21733.8,30.3628,0.392133
345000,33,148.848,-21728.5,49.4381,0.384467
360000,18,76.3367,-21777.5,31.2007,0.32998
375000,35,144.419,-21681,41.054,0.3897
390000,36,153.494,-21675.2,41.0718,0.3986
405000,41,177.418,-21696.2,41.8227,0.3978
420000,51,234.156,-21659.6,37.4455,0.401133
435000,41,167.873,-21680,34.9085,0.4056
450000,40,183.072,-21685.6,23.9942,0.412733
465000,32,131.282,-21712.8,30.207,0.355579
480000,46,207.969,-21684.3,41.5929,0.3992
495000,53,233.538,-21653.6,58.3543,0.4156
510000,48,206.777,-21700.5,57.2249,0.413689
525000,52,230.463,-21668.8,54.9688,0.424067
540000,65,272.065,-21644.8,62.8434,0.424133
555000,45,197.547,-21654.7,40.7391,0.371877
570000,50,229.508,-21665,67.6995,0.4147
585000,44,198.164,-21681.9,44.401,0.402417
600000,53,216.379,-21661.2,58.0731,0.403467
615000,49,219.616,-21658.5,32.7071,0.4029
630000,36,160.051,-21651.5,25.9,0.392027
645000,56,247.462,-21631.8,45.7158,0.399233
660000,49,198.167,-21651.6,49.1275,0.4048
675000,58,255.009,-21643.9,56.9181,0.404067
690000,54,236.125,-21631.7,67.1998,0.395917
705000,69,312.598,-21641.2,64.0587,0.399257
720000,54,228.218,-21625.2,64.1872,0.414267
735000,42,175.293,-21642.2,31.5727,0.395267
750000,46,205.464,-21639.1,48.56,0.3904
765000,52,227.145,-21621.9,54.4709,0.3908
780000,51,234.48,-21632.7,49.5233,0.394
795000,34,153.474,-21666.4,28.3394,0.382695
810000,72,304.597,-21609.3,78.1236,0.405833
825000,51,232.294,-21634.4,57.0751,0.4053
840000,44,198.994,-21642.4,47.6122,0.405467
855000,44,194.559,-21646.8,44.648,0.3896
870000,56,242.72,-21639,40.6197,0.4107
885000,45,202.612,-21637.4,47.0259,0.395207
900000,55,242.711,-21624.8,47.3217,0.392967
915000,54,251.114,-21611.8,54.8498,0.400667
930000,47,197.718,-21631.7,42.972,0.396311
945000,44,185.367,-21636.1,43.1495,0.3944
960000,65,291.809,-21638.1,62.688,0.414867
975000,73,332.232,-21622.1,77.3109,0.395483
990000,44,194.29,-21634.8,46.1306,0.39017
1005000,50,223.921,-21626.6,51.3031,0.412767
1020000,43,198.133,-21636.9,45.9691,0.3864
1035000,43,198.339,-21648.5,35.3693,0.400133
1050000,47,202.887,-21657.6,43.3038,0.402978
1065000,50,222.584,-21651.3,49.9241,0.411533
1080000,54,225.783,-21635.2,44.0288,0.420533
1095000,53,218.556,-21631.3,59.3599,0.384895
1110000,53,243.049,-21628.1,55.322,0.395467
1125000,64,295.896,-21629.8,64.0226,0.409356
1140000,50,230.211,-21640,48.0566,0.4074
1155000,42,182.05,-21631.6,45.6018,0.4032
1170000,53,248.59,-21635.3,52.0188,0.389133
1185000,44,186.554,-21639.5,42.2487,0.400933
1200000,42,180.369,-21644.3,45.1161,0.368067
1215000,42,189.576,-21651,44.8948,0.384057
1230000,43,191.29,-21645.4,34.5178,0.3804
1245000,38,171.874,-21657,38.3329,0.366
1260000,41,184.118,-21640.5,41.3517,0.387067
1275000,30,134.124,-21651.4,26.7518,0.362333
1290000,51,221.069,-21643.1,55.5395,0.387055
1305000,42,191.143,-21633.2,42.7292,0.378422
1320000,50,215.291,-21628.9,35.1235,0.389067
1335000,52,241.559,-21645.5,42.6086,0.3884
1350000,35,164.287,-21648.5,32.903,0.389333
1365000,48,205.686,-21645.3,42.9369,0.391067
1380000,41,183.116,-21636.5,45.4242,0.381133
1395000,42,157.125,-21647,38.6449,0.381533
1410000,46,214.134,-21638,35.5278,0.38095
1425000,46,192.479,-21636.2,54.2159,0.3866
1440000,44,194.574,-21658.1,41.425,0.394167
1455000,40,175.7,-21660.1,30.1797,0.381267
1470000,59,240.447,-21623.7,58.6617,0.399667
1485000,53,244.965,-21610,54.9023,0.400733
1500000,69,319.827,-21619.8,64.4119,0.4108
1515000,67,290.942,-21595,73.159,0.423267
1530000,36,159.058,-21654.8,39.1505,0.370747
1545000,39,180.303,-21646.4,36.7783,0.3728
1560000,73,333.341,-21607.1,62.217,0.4038
1575000,77,350.696,-21603.9,89.8012,0.407133
1590000,73,326.097,-21602.8,70.8709,0.4166
1605000,61,272.507,-21617.6,56.4749,0.404
1620000,42,176.437,-21640.1,32.9717,0.379571
1635000,51,235.681,-21620.5,40.961,0.395833
1650000,57,261.389,-21623.5,58.9249,0.394133
1665000,40,189.801,-21645.4,33.1275,0.377089
1680000,60,261.509,-21631.7,64.8174,0.394467
1695000,42,190.329,-21617.8,41.7548,0.379567
1710000,52,231.965,-21625.8,49.9432,0.3907
1725000,49,215.663,-21624.8,44.3018,0.384533
1740000,47,223.534,-21642.9,50.6412,0.365911
1755000,52,229.768,-21652.2,58.042,0.395433
1770000,44,198.835,-21637.7,51.9028,0.4027
1785000,36,169.851,-21655.1,33.4,0.3734
1800000,32,143.416,-21665.7,29.8574,0.3946
1815000,33,133.377,-21638.4,29.2845,0.372381
1830000,52,230.893,-21639.4,55.1871,0.385267
1845000,53,239.075,-21660.5,64.9104,0.4112
1860000,43,193.815,-21642.1,42.0878,0.37608
1875000,49,218.308,-21639.8,62.3226,0.391767
1890000,46,206.652,-21636.7,35.5256,0.400733
1905000,54,229.407,-21651,67.5162,0.3946
1920000,39,152.968,-21613.4,31.5589,0.359905
1935000,40,175.434,-21617.6,39.8231,0.365867
1950000,42,194.14,-21630.3,40.6505,0.378622
1965000,47,216.286,-21645,49.8877,0.381733
1980000,65,294.951,-21625.4,76.6491,0.384367
1995000,52,233.666,-21607.6,48.8874,0.37355
2010000,57,265.712,-21634,53.7125,0.383333
2025000,53,220.982,-21632.5,54.7719,0.409533
2040000,44,205.606,-21631.2,43.5205,0.389233
2055000,53,236.543,-21644.2,60.6022,0.3984
2070000,38,168.981,-21631.9,32.434,0.360467
2085000,34,155.923,-21652.6,33.3629,0.372311
2100000,55,255.659,-21638.1,55.8432,0.391822
2115000,51,222.954,-21630.9,47.12,0.389267
2130000,47,210.349,-21635.5,42.9188,0.385133
2145000,49,230.221,-21630.6,52.1883,0.389
2160000,35,144.447,-21662,40.5076,0.361693
2175000,42,183.129,-21638.2,50.4461,0.385276
2190000,44,195.463,-21643.9,34.8277,0.360733
2205000,58,266.758,-21608.7,53.9013,0.395867
2220000,60,270.325,-21602.5,69.1731,0.404267
2235000,32,138.524,-21656.7,34.8661,0.369356
2250000,40,179.412,-21637.3,35.0363,0.397352
2265000,54,251.078,-21607.6,48.5414,0.390489
2280000,48,198.163,-21655.9,46.1909,0.397267
2295000,63,277.621,-21652.2,63.7042,0.389933
2310000,44,195.658,-21650.2,44.5792,0.404733
2325000,38,165.071,-21634.4,48.4645,0.368278
2340000,44,190.559,-21640.7,41.1362,0.3835
2355000,50,231.52,-21628.1,47.2917,0.401027
2370000,48,205.961,-21630.5,39.7088,0.3898
2385000,58,264.479,-21622,46.7284,0.409267
2400000,54,249.591,-21623.1,58.1127,0.404378
2415000,39,166.87,-21630.9,39.0869,0.390933
2430000,47,215.247,-21595.4,50.8755,0.371562
2445000,55,228.503,-21611.5,51.2698,0.371667
2460000,53,227.765,-21624.9,52.9148,0.3804
2475000,38,174.99,-21658.8,42.6925,0.39112
2490000,40,184.626,-21636.1,42.5619,0.3908
2505000,49,209.476,-21621.1,49.5747,0.395478
2520000,50,222.365,-21617.3,56.1375,0.38645
2535000,66,299.11,-21631.6,79.4125,0.387867
2550000,43,190.359,-21630.1,40.2622,0.389267
2565000,43,201.705,-21646.7,45.8631,0.3972
2580000,47,214.527,-21617.5,52.2586,0.388387
2595000,44,211.955,-21641.2,59.2349,0.375467
2610000,43,199.745,-21609.6,48.4309,0.373733
2625000,32,151.235,-21631.3,30.5751,0.385813
2640000,36,161.158,-21618.1,48.6364,0.3878
2655000,45,199.939,-21625.8,45.4912,0.363978
2670000,53,241.682,-21636.2,52.3982,0.384622
2685000,41,177.3,-21635.7,37.6968,0.376111
2700000,47,215.606,-21653.7,39.0282,0.391067
2715000,47,199.21,-21649.4,51.3206,0.4172
2730000,37,165.957,-21634.4,34.942,0.380711
2745000,33,152.67,-21663.8,33.6959,0.3749
2760000,40,187.879,-21653.5,46.816,0.3992
2775000,45,210.788,-21653.1,38.0271,0.402867
2790000,55,258.179,-21660.7,63.7846,0.3963
2805000,42,202.826,-21635.6,55.0225,0.386533
2820000,38,169.416,-21653.3,41.0747,0.376733
2835000,48,214.369,-21628.1,44.9093,0.386833
2850000,38,158.193,-21646.1,39.2321,0.380808
2865000,35,152.681,-21644.1,28.8608,0.375033
2880000,44,195.726,-21625.4,41.7861,0.3802
2895000,45,208.519,-21611,49.6037,0.385053
2910000,46,200.722,-21624.3,46.0614,0.382867
2925000,44,192.935,-21630.8,53.1142,0.386613
2940000,48,214.922,-21626.6,44.816,0.388967
2955000,51,220.625,-21604.6,46.7521,0.391133
2970000,52,215.221,-21618.2,54.5289,0.393867
2985000,44,195.151,-21616.7,52.6456,0.380053
3000000,54,234.763,-21609.7,58.9131,0.386267
3015000,44,186.486,-21597.1,50.7992,0.379333
3030000,46,198.78,-21619.2,40.4407,0.363733
3045000,48,214.954,-21622.9,44.0811,0.3744
3060000,57,255.07,-21613.2,61.0047,0.3872
3075000,63,264.693,-21587.8,71.5605,0.392373
3090000,48,210.205,-21604.2,46.9609,0.3986
3105000,56,243.591,-21603.1,68.722,0.395817
3120000,48,212.056,-21629.7,47.5442,0.389967
3135000,54,235.708,-21607.7,47.1129,0.400044
3150000,48,214.821,-21614.5,37.4764,0.3868
3165000,46,200.502,-21610.1,74.1307,0.391267
3180000,50,215.543,-21636.1,45.1987,0.381617
3195000,45,201.935,-21613.9,54.6824,0.388133
3210000,44,195.065,-21635.4,51.7061,0.394305
3225000,47,208.512,-21608.9,48.7192,0.3848
3240000,50,221.806,-21614.5,46.2127,0.371867
3255000,51,226.421,-21597.5,56.8712,0.399333
3270000,50,220.64,-21625.4,58.4044,0.381633
3285000,43,194.077,-21624.4,43.3809,0.385733
3300000,36,145.06,-21653.4,32.5221,0.374689
3315000,39,167.782,-21629.6,27.6458,0.38595
3330000,52,234.82,-21626.3,51.0684,0.382533
3345000,55,250.164,-21633.2,60.3397,0.379167
3360000,48,217.899,-21609.4,55.1937,0.3904
3375000,60,280.533,-21619.3,54.1161,0.405333
3390000,53,239.806,-21616.6,45.7421,0.410267
3405000,45,201.138,-21607.1,34.3041,0.392
3420000,37,175.99,-21643.2,43.817,0.385258
3435000,55,249.86,-21606.6,51.4634,0.3932
3450000,56,253.479,-21596.8,44.2303,0.397778
3465000,62,275.369,-21607.5,63.3222,0.402067
3480000,73,335.127,-21615.6,63.3842,0.4204
3495000,68,285.34,-21596.7,70.9082,0.413467
3510000,55,238.393,-21612.1,50.9337,0.3784
3525000,56,254.167,-21604.9,54.4084,0.395433
3540000,66,308.312,-21596.7,65.1943,0.4012
3555000,60,264.204,-21607.7,66.7457,0.392933
3570000,47,208.2,-21627.8,51.109,0.391633
3585000,65,299.74,-21598.1,53.388,0.403711
3600000,50,217.583,-21604.4,40.0151,0.383267
3615000,44,187.048,-21601.5,37.1879,0.3666
3630000,46,207.599,-21616.3,39.2539,0.3754
3645000,44,200.059,-21613.8,38.5907,0.385333
3660000,42,181.909,-21618.1,44.9167,0.388467
3675000,44,193.658,-21619.6,42.4132,0.383633
3690000,53,234.209,-21625.8,61.1239,0.379667
3705000,50,203.72,-21637.4,65.6742,0.382444
3720000,56,240.376,-21623,59.9293,0.404167
3735000,56,244.092,-21614.8,45.9239,0.393733
3750000,59,275.398,-21602.9,65.0109,0.391267
3765000,73,323.627,-21621.8,74.0273,0.397133
3780000,44,198.098,-21645.2,35.95,0.395415
3795000,44,197.205,-21636.8,51.8027,0.386733
3810000,32,139.365,-21618.7,33.4157,0.367633
3825000,39,176.518,-21628.9,39.8081,0.356133
3840000,44,202.072,-21637.4,35.3088,0.388467
3855000,44,207.16,-21632.3,35.713,0.392133
3870000,34,156.709,-21648.6,31.5701,0.36948
3885000,41,178.963,-21655,39.685,0.378494
3900000,49,214.759,-21647.5,48.3753,0.3854
3915000,40,170.082,-21628.6,34.7618,0.388467
3930000,34,156.572,-21665,39.6224,0.372511
3945000,46,206.8,-21634.5,38.4031,0.388033
3960000,42,167.496,-21641.9,37.6076,0.383833
3975000,59,268.074,-21613.8,59.9144,0.398167
3990000,46,208.987,-21620.2,53.9862,0.4008
4005000,43,181.478,-21655.6,39.0303,0.388613
4020000,43,201.86,-21634.5,56.9977,0.386367
4035000,44,189.031,-21669.1,41.447,0.3871
4050000,45,195.062,-21653.9,63.9861,0.3956
4065000,46,214.595,-21608.3,40.3081,0.383933
4080000,46,205.012,-21662.2,35.5387,0.374275
4095000,60,275.406,-21609.2,46.5503,0.382933
4110000,62,275.351,-21631.2,61.3651,0.4182
4125000,49,214.562,-21624,62.7271,0.386093
4140000,42,192.934,-21638.6,50.5261,0.405733
4155000,53,232.814,-21618.8,59.3591,0.388
4170000,39,176.165,-21632.3,35.1108,0.392433
4185000,49,215.601,-21638.7,35.323,0.397333
4200000,50,220.273,-21648.1,54.3496,0.401767
4215000,53,250.368,-21604.4,61.1348,0.395167
4230000,42,189.429,-21626.8,48.097,0.396633
4245000,53,235.314,-21599.7,43.4804,0.390433
4260000,45,207.186,-21629.8,45.8362,0.3912
4275000,54,259.648,-21620.9,43.4658,0.391633
4290000,53,227.281,-21614.1,49.1735,0.408867
4305000,59,237.331,-21644.5,65.3202,0.391
4320000,63,280.137,-21633.1,59.1812,0.4146
4335000,64,271.214,-21602.4,60.8724,0.405289
4350000,72,313.981,-21626.7,67.9195,0.414
4365000,63,283.332,-21595.8,55.0438,0.4136
4380000,59,262.104,-21632,62.7118,0.399925
4395000,50,222.189,-21623.5,55.2749,0.396117
4410000,61,277.681,-21592.1,55.536,0.402644
4425000,55,254.882,-21639.8,56.633,0.396822
4440000,60,281.667,-21587.3,58.6287,0.3915
4455000,48,202.054,-21616,53.2718,0.380883
4470000,45,203.371,-21645.3,38.3665,0.392778
4485000,59,257.985,-21604.1,59.2168,0.397756
4500000,39,182.919,-21635.6,31.3123,0.391667
4515000,46,218.736,-21600,47.9872,0.400867
4530000,45,195.507,-21637.9,45.8491,0.38876
4545000,50,226.134,-21617.5,81.1884,0.389733
4560000,50,230.154,-21617.6,47.1832,0.407467
4575000,43,195.44,-21649.1,40.8098,0.3928
4590000,37,164.952,-21639,36.9673,0.407667
4605000,45,201.347,-21648.1,42.4954,0.39836
4620000,40,177.152,-21636.2,33.9212,0.393583
4635000,37,170.679,-21658.2,36.6617,0.3792
4650000,46,215.026,-21658.7,55.9289,0.3878
4665000,56,248.916,-21638.2,64.0913,0.394067
4680000,57,260.848,-21651.7,44.1657,0.396556
4695000,55,243.991,-21639.6,63.9482,0.400222
4710000,47,202.59,-21637.7,45.4233,0.402867
4725000,46,209.16,-21640.1,46.4172,0.391283
4740000,46,215.684,-21626.8,59.4491,0.391433
4755000,52,233.115,-21618.3,38.1127,0.400133
4770000,53,226.006,-21605.8,54.2027,0.386556
4785000,45,205.555,-21615,41.5922,0.397733
4800000,60,261.938,-21621.3,79.1843,0.395889
4815000,51,221.61,-21615.2,42.6773,0.408867
4830000,49,227.808,-21618.2,48.0486,0.391467
4845000,47,207.1,-21625.5,48.5694,0.405567
4860000,52,221.983,-21621.3,60.0986,0.4084
4875000,51,210.973,-21602.5,60.6555,0.390133
4890000,52,231.24,-21637.5,61.2371,0.405067
4905000,62,269.481,-21604.5,48.9755,0.406907
4920000,51,235.448,-21606.5,50.0264,0.400167
4935000,65,303.708,-21616,85.7245,0.410467
4950000,62,293.129,-21621.4,73.4889,0.410911
4965000,53,236.908,-21622.5,46.9106,0.4102
4980000,43,193.226,-21646.7,43.759,0.384787
4995000,52,236.975,-21625.3,62.2587,0.40745
5010000,34,152.341,-21633,28.3848,0.3888
5025000,38,175.25,-21625.9,52.1246,0.3696
5040000,44,199.471,-21633.9,47.6086,0.371667
5055000,43,185.26,-21651.2,42.8287,0.387711
5070000,40,178.939,-21640.1,47.6385,0.3856
5085000,40,180.347,-21634.2,30.2415,0.394111
5100000,39,174.046,-21628.8,45.1041,0.376667
5115000,40,183.796,-21623.9,41.5282,0.3838
5130000,48,205.856,-21620.5,44.1981,0.37145
5145000,47,202.762,-21620.9,58.4811,0.385042
5160000,45,200.19,-21644.6,45.4141,0.392133
5175000,46,203.938,-21638.9,50.8608,0.3894
5190000,58,252.595,-21625.2,53.9545,0.402967
5205000,58,254,-21623.5,54.3861,0.394133
5220000,46,211.022,-21629.3,42.3163,0.402467
5235000,47,199.851,-21631.4,54.4615,0.383133
5250000,36,150.445,-21651,34.5375,0.364747
5265000,40,170.311,-21630.7,47.994,0.381067
5280000,57,253.153,-21634.7,54.7464,0.385939
5295000,42,170.422,-21632.9,34.6617,0.360311
5310000,46,219.55,-21631.6,50.0412,0.386533
5325000,55,237.803,-21621.2,56.3646,0.4118
5340000,41,170.829,-21634.9,42.336,0.3672
5355000,56,255.172,-21603.8,50.584,0.397667
5370000,45,190.21,-21642.8,34.9529,0.378467
5385000,53,229.363,-21641.2,73.5224,0.401233
5400000,62,266.118,-21624.6,61.1493,0.409
5415000,54,245.826,-21640.2,57.2293,0.371213
5430000,54,245.134,-21610.6,54.3565,0.403133
5445000,52,231.783,-21621.2,49.4566,0.403733
5460000,53,237.88,-21601.1,43.7905,0.393422
5475000,60,273.377,-21627.9,76.7321,0.415
5490000,53,222.902,-21640.1,51.1791,0.398467
5505000,45,197.459,-21633,62.711,0.396844
5520000,45,193.917,-21628.1,42.3934,0.3883
5535000,44,190.154,-21618.8,49.7429,0.382433
5550000,51,220.973,-21604.1,37.2548,0.381467
5565000,46,201.76,-21600.5,39.4181,0.380133
5580000,46,214.51,-21611.1,43.0912,0.396933
5595000,34,140.942,-21665.2,35.0146,0.387049
5610000,50,225.455,-21616.8,50.7171,0.385067
