generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24229.2,100,0
15000,0,1.1423,-22074.1,0.0225506,0.144924
30000,3,14.779,-22031.7,3.2705,0.293933
45000,3,12.2619,-22017.4,3.52043,0.258089
60000,3,17.3597,-22025.4,8.64698,0.337167
75000,5,21.8768,-22000.2,3.81063,0.294649
90000,8,37.2338,-21982.7,10.4622,0.3268
105000,8,28.9861,-21970.4,9.77645,0.353933
120000,6,25.4754,-21934.3,4.1265,0.33704
135000,7,27.2411,-21934.4,9.3891,0.31876
150000,8,34.3899,-21894.9,4.92383,0.328844
165000,9,42.1712,-21892.2,7.57326,0.316833
180000,14,62.2379,-21892.5,7.31528,0.323267
195000,12,60.245,-21882.1,14.4761,0.343733
210000,11,46.8011,-21884.1,8.44983,0.341533
225000,14,69.2594,-21866.9,12.7217,0.3318
240000,19,94.1577,-21867.2,19.2594,0.3538
255000,11,52.2727,-21859.5,9.06778,0.329133
270000,8,35.4954,-21899.2,7.75946,0.319086
285000,18,75.1888,-21808.7,18.5072,0.324767
300000,19,72.4677,-21774.9,24.1846,0.355733
315000,25,110.56,-21785.3,31.0437,0.342933
330000,34,157.06,-21778.1,34.9741,0.380733
345000,26,117.141,-21776.5,21.9364,0.385333
360000,33,142.113,-21764,40.7869,0.379667
375000,33,135.148,-21757.1,33.5117,0.370733
390000,42,187.004,-21773.7,44.1851,0.391733
405000,44,189.11,-21769.9,42.5961,0.36759
420000,48,201.414,-21744.1,60.7103,0.3842
435000,31,132.028,-21788.9,29.6834,0.344721
450000,37,155.768,-21757.5,36.1722,0.3952
465000,42,176.902,-21740.3,36.1389,0.380667
480000,45,205.244,-21723.9,52.7182,0.396933
495000,41,179.025,-21722.8,55.0313,0.392733
510000,45,194.802,-21729.5,52.7708,0.370733
525000,39,167.41,-21717.7,29.7144,0.382067
540000,42,182.451,-21714.1,42.9497,0.381133
555000,42,184.297,-21728.3,40.7809,0.380933
570000,51,210.431,-21708.6,50.7624,0.3888
585000,58,245.282,-21730.1,60.1064,0.396733
600000,37,157.079,-21754.6,40.7005,0.390174
615000,38,160.053,-21731.1,28.8645,0.387233
630000,38,168.351,-21751.7,39.5596,0.379
645000,42,189.567,-21728.8,36.7679,0.388333
660000,33,162.907,-21761,24.8815,0.375
675000,30,134.565,-21760.8,22.7541,0.382667
690000,39,170.537,-21737.4,46.7516,0.374978
705000,35,163.062,-21727.6,35.5608,0.3726
720000,38,157.557,-21724.8,34.13,0.379744
735000,35,162.456,-21750.6,35.935,0.375517
750000,33,156.077,-21739.2,31.3305,0.3808
765000,40,179.289,-21752.1,42.1086,0.377133
780000,39,173.07,-21752.1,35.1621,0.396467
795000,33,157.434,-21716.9,32.2358,0.378356
810000,32,144.664,-21716.6,24.6083,0.3654
825000,36,170.102,-21732,39.9651,0.366333
840000,38,178.643,-21736,41.9979,0.373074
855000,37,164.722,-21723.3,39.5374,0.3813
870000,48,209.383,-21723.6,46.798,0.384444
885000,38,168.14,-21725.3,37.485,0.378733
900000,32,139.53,-21724,37.774,0.373333
915000,37,173.288,-21719.9,36.6594,0.387511
930000,49,212.888,-21717.2,50.1303,0.383
945000,40,181.329,-21704.5,53.1375,0.376
960000,33,151.369,-21723.5,37.4486,0.379848
975000,43,193.93,-21711.4,42.68,0.385493
990000,41,181.418,-21701.5,43.1842,0.3828
1005000,31,128.43,-21718.3,29.2254,0.362733
1020000,50,215.36,-21706.4,47.5994,0.3899
1035000,40,179.601,-21726.6,35.4974,0.3791
1050000,47,211.48,-21712.1,58.7159,0.404547
1065000,45,203.711,-21716.5,35.5493,0.4012
1080000,47,213.696,-21714.9,48.9102,0.3952
1095000,40,177.333,-21726.9,30.8286,0.392107
1110000,52,236.194,-21718.5,57.6271,0.399167
1125000,60,284.633,-21676.6,53.8278,0.4152
1140000,70,301.135,-21693.8,65.0392,0.404467
1155000,66,301.562,-21685,88.785,0.422067
1170000,63,269.632,-21677.3,65.8139,0.406933
1185000,58,251.17,-21679.4,58.0118,0.398933
1200000,62,272.727,-21687.2,52.7687,0.408867
1215000,60,256.517,-21701.8,74.644,0.416133
1230000,57,257.136,-21686.7,51.5728,0.409133
1245000,40,170.336,-21711,39.2511,0.382533
1260000,53,244.885,-21656,54.7103,0.400933
1275000,62,265.028,-21666.1,61.6998,0.393733
1290000,71,322.513,-21670.9,78.1168,0.4112
1305000,73,332.423,-21648.5,70.423,0.416067
1320000,46,197.11,-21728.6,60.5092,0.38712
1335000,60,270.417,-21668.4,58.8256,0.398367
1350000,69,292.665,-21680.1,77.2273,0.4066
1365000,52,215.784,-21682.9,54.7072,0.408933
1380000,58,253.213,-21693.1,50.9272,0.393933
1395000,57,252.572,-21679.1,43.2701,0.398067
1410000,69,310.876,-21669.3,60.5553,0.41
1425000,70,307.084,-21690.5,66.1143,0.411867
1440000,74,335.752,-21681.8,65.6557,0.410333
1455000,57,252.692,-21692,42.3833,0.411733
1470000,54,241.528,-21706.3,50.2316,0.389347
1485000,65,294.213,-21689.8,52.3341,0.3973
1500000,63,278.966,-21689.8,50.0914,0.383439
1515000,61,293.814,-21698,65.1325,0.409889
1530000,49,224.736,-21714.9,43.0182,0.3938
1545000,49,217.785,-21712.7,54.022,0.40025
1560000,49,199.626,-21707.4,61.0331,0.402667
1575000,53,241.541,-21715.5,47.5448,0.3988
1590000,43,191.416,-21728.6,51.2053,0.391867
1605000,38,160.948,-21722.1,41.3382,0.397267
1620000,56,235.034,-21716.4,54.0558,0.405022
1635000,48,209.461,-21707.1,51.062,0.384474
1650000,37,156.63,-21728.2,32.8048,0.380578
1665000,58,243.877,-21690.2,58.7726,0.398156
1680000,67,299.814,-21674.6,67.5891,0.4024
1695000,65,284.765,-21667.1,48.4913,0.4116
1710000,62,250.018,-21669.4,52.9009,0.410267
1725000,51,218.747,-21708.4,51.4424,0.397827
1740000,46,190.882,-21690.3,53.2163,0.389333
1755000,31,129.208,-21705.1,35.8693,0.380133
1770000,55,214.324,-21699.8,50.8981,0.385633
1785000,36,163.267,-21709.2,38.6369,0.3672
1800000,39,164.163,-21730.1,41.5415,0.387
1815000,52,214.363,-21699,56.6273,0.399933
1830000,57,254.652,-21688.8,59.599,0.3916
1845000,45,183.079,-21698.9,47.0462,0.4028
1860000,46,194.8,-21679.3,51.6857,0.38872
1875000,62,288.18,-21675,61.9177,0.3987
1890000,67,301.744,-21682.1,61.4651,0.409267
1905000,51,229.338,-21711.5,45.4711,0.399152
1920000,78,318.713,-21668.3,84.3355,0.4096
1935000,52,227.179,-21695.9,48.44,0.3969
1950000,51,229.44,-21669.6,51.9992,0.402333
1965000,56,230.831,-21678.9,57.9487,0.3922
1980000,46,206.492,-21702.3,35.809,0.385667
1995000,68,299.267,-21665.6,61.6459,0.409267
2010000,40,177.605,-21721.4,36.5544,0.38768
2025000,62,264.951,-21688.2,79.3189,0.416933
2040000,65,278.144,-21671.8,67.3149,0.4064
2055000,65,280.175,-21668,53.1555,0.401867
2070000,54,238.986,-21709.9,60.0857,0.396678
2085000,63,267.158,-21677.6,49.3607,0.394933
2100000,50,225.306,-21684.1,51.1269,0.3972
2115000,64,285.796,-21688.2,59.7582,0.4006
2130000,35,158.599,-21725.4,37.7351,0.38185
2145000,54,230.133,-21713.4,65.6545,0.39308
2160000,56,247.593,-21698.5,60.2166,0.399667
2175000,54,218.687,-21694.3,51.4142,0.399933
2190000,72,304.678,-21657.5,61.7315,0.396347
2205000,70,300.437,-21666.3,76.6653,0.414133
2220000,60,256.582,-21685.3,52.1456,0.406067
2235000,54,210.081,-21671.8,40.8841,0.391733
2250000,58,237.194,-21673,58.572,0.399667
2265000,58,265.284,-21703.8,61.6897,0.416667
2280000,55,241.889,-21691.2,49.8724,0.404933
2295000,61,280.766,-21691.7,64.2485,0.417267
2310000,39,160.348,-21719,41.1258,0.397674
2325000,59,261.617,-21716.3,64.5325,0.400733
2340000,41,177.643,-21716,44.3749,0.390156
2355000,54,248.643,-21713.7,48.0899,0.396
2370000,51,211.995,-21732.7,55.2585,0.4254
2385000,42,186.597,-21727.6,54.592,0.4054
2400000,32,146.95,-21718.8,29.4817,0.376667
2415000,34,143.687,-21715.9,38.361,0.375667
2430000,42,179.664,-21718.8,47.568,0.394467
2445000,33,137.676,-21739,35.579,0.385592
2460000,34,144.216,-21732.4,30.0574,0.382242
2475000,42,183.848,-21707.1,36.2003,0.374911
2490000,39,172.807,-21733.4,29.6496,0.399067
2505000,43,177.013,-21734,42.1714,0.389117
2520000,38,170.552,-21725.9,33.1363,0.385733
2535000,42,184.401,-21744,41.7268,0.40244
2550000,36,155.014,-21728.5,38.6686,0.383867
2565000,49,214.899,-21740.4,48.401,0.40085
2580000,39,170.473,-21735.7,33.1977,0.380167
2595000,40,169.842,-21711.5,44.9416,0.3826
2610000,56,234.503,-21714.6,61.4736,0.39928
2625000,44,204.065,-21693.8,41.0902,0.397667
2640000,52,231.429,-21706.9,52.5731,0.399493
2655000,48,189.59,-21710.6,53.0552,0.388267
2670000,45,180.535,-21702.8,53.2463,0.391311
2685000,33,143.799,-21703.3,36.9217,0.3685
2700000,38,150.116,-21714.1,36.0093,0.381633
2715000,39,172.788,-21711.2,35.866,0.3617
2730000,48,211.56,-21694.1,58.5538,0.391252
2745000,39,184.328,-21734.1,44.3882,0.382222
2760000,52,233.411,-21687.1,51.5275,0.402167
2775000,35,135.594,-21720.9,38.1439,0.3804
2790000,50,224.495,-21706.1,43.1135,0.4086
2805000,49,214.954,-21695.8,50.2243,0.409867
2820000,46,206.78,-21688.2,52.0716,0.389733
2835000,55,246.427,-21686.8,39.3806,0.393467
2850000,55,257.976,-21706,63.0379,0.3942
2865000,58,255.077,-21718.6,55.2571,0.411733
2880000,49,200.377,-21689.1,44.8959,0.390771
2895000,42,192.273,-21714,41.1865,0.384067
2910000,38,166.436,-21715.3,40.4024,0.367933
2925000,38,169.715,-21704.1,51.6802,0.382356
2940000,50,224.931,-21696.8,48.4628,0.387933
2955000,44,184.368,-21691.1,41.6457,0.386133
2970000,48,208.764,-21688.1,51.7178,0.3896
2985000,47,198.738,-21674.5,53.2034,0.3824
3000000,59,244.511,-21677.2,65.297,0.377307
3015000,47,196.459,-21682.2,35.342,0.398533
3030000,57,247.561,-21670.8,64.1534,0.3994
3045000,52,237.227,-21694.8,53.2319,0.38635
3060000,49,218.102,-21699.6,50.0322,0.400467
3075000,43,182.163,-21713.9,45.0161,0.393933
3090000,68,286.155,-21635,74.2101,0.395333
3105000,66,282.353,-21635.9,63.7831,0.410867
3120000,49,202.606,-21689.9,43.6263,0.383371
3135000,54,228.897,-21641.8,52.2545,0.396367
3150000,56,231.09,-21655.1,46.5347,0.381733
3165000,42,187.88,-21701.9,48.5533,0.399422
3180000,58,263.932,-21666.1,55.7457,0.388833
3195000,55,231.013,-21673.9,57.4619,0.401067
3210000,42,197.766,-21732,49.5507,0.393333
3225000,43,193.046,-21671.3,45.676,0.385467
3240000,44,194.25,-21699,56.8731,0.3794
3255000,52,217.024,-21698.6,62.4304,0.382267
3270000,42,182.148,-21710.9,45.8098,0.399133
3285000,48,217.993,-21722.7,45.4754,0.395267
3300000,45,187.513,-21707.1,44.0543,0.4014
3315000,51,225.438,-21725.7,55.3981,0.384867
3330000,61,261.884,-21672.3,72.2223,0.392933
3345000,69,287.8,-21679.6,79.0589,0.413533
3360000,73,313.026,-21707.1,78.0365,0.420111
3375000,65,283.008,-21701.7,65.6449,0.4234
3390000,55,258.905,-21697.8,57.6138,0.3918
3405000,57,236.555,-21692.5,57.6608,0.411767
3420000,43,188.126,-21705.7,47.3784,0.391033
3435000,47,211.357,-21681.1,47.4891,0.391567
3450000,38,168.466,-21727,40.3553,0.381067
3465000,48,208.364,-21697.2,46.0646,0.3951
3480000,44,178.621,-21709.4,39.1926,0.376567
3495000,48,210.605,-21701.7,46.7231,0.385093
3510000,51,192.7,-21692.2,53.9282,0.3982
3525000,51,203.812,-21686.5,51.0301,0.399333
3540000,50,211.417,-21706.2,40.7297,0.39444
3555000,48,208.053,-21706.4,44.7068,0.389067
3570000,39,156.792,-21693.2,51.3468,0.375867
3585000,51,215.112,-21695.4,53.1428,0.386067
3600000,46,202.371,-21694.2,46.2513,0.382667
3615000,52,225.051,-21695.9,66.9222,0.3908
3630000,59,262.128,-21689.3,64.4467,0.389
3645000,47,200.779,-21683.9,56.0612,0.391311
3660000,60,264.12,-21695.8,67.283,0.3991
3675000,52,213.873,-21697.2,48.7692,0.387
3690000,60,282.168,-21691.5,52.3208,0.395667
3705000,64,289.527,-21700,70.5883,0.402933
3720000,69,308.629,-21685.5,65.8073,0.4196
3735000,66,280.345,-21723.9,60.9063,0.413267
3750000,49,207.339,-21694.5,48.7466,0.3961
3765000,54,239.141,-21723.4,58.2075,0.408767
3780000,56,244.466,-21705.6,50.7479,0.406133
3795000,58,244.85,-21689.1,62.7752,0.408733
3810000,52,222.317,-21712.8,63.2897,0.402867
3825000,52,239.23,-21698.7,58.4508,0.403022
3840000,48,220.635,-21711.9,53.9673,0.414333
3855000,54,238.7,-21698,63.3274,0.398067
3870000,56,253.531,-21709.6,53.2304,0.398533
3885000,56,236.713,-21684.7,65.4357,0.399933
3900000,59,251.499,-21690.7,56.6353,0.410556
3915000,71,324.663,-21700.9,73.5457,0.4154
3930000,44,187.018,-21718.3,52.4782,0.397111
3945000,40,180.696,-21719.5,41.8486,0.4122
3960000,37,155.264,-21758,35.7993,0.39886
3975000,69,307.598,-21718.8,74.6697,0.4006
3990000,53,234.446,-21703.6,54.7999,0.417
4005000,50,217.395,-21698.6,45.6521,0.392413
4020000,37,159.923,-21726.6,33.6488,0.394217
4035000,48,206.584,-21673.8,35.9308,0.398933
4050000,56,261.08,-21716,55.943,0.379533
4065000,37,157.342,-21724.2,34.2957,0.4044
4080000,62,285.103,-21717.1,58.6707,0.405344
4095000,39,150.014,-21713.4,39.5869,0.3934
