generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.20261,-24211.2,43.8838,1
15000,1,3.08602,-22020.7,2.16348,0.244584
30000,1,6.06082,-22023.2,1.88435,0.291924
45000,1,3.68011,-22022.7,2.19851,0.3168
60000,3,12.7229,-22001,2.87624,0.280422
75000,4,15.2579,-21991.6,8.04932,0.289
90000,2,10.1878,-22012.8,0.495878,0.292033
105000,2,10.9469,-22006.8,1.30597,0.348267
120000,2,11.4836,-22009,2.11729,0.3234
135000,2,10.1105,-22005.9,3.77299,0.322867
150000,2,9.79395,-22005,4.81507,0.335267
165000,7,23.1046,-21917.4,6.07944,0.311456
180000,8,30.3895,-21884.5,6.51076,0.284667
195000,9,35.3922,-21857.9,6.34945,0.2852
210000,2,11.4039,-22000.8,1.58382,0.324917
225000,11,49.4688,-21864.3,14.8717,0.2895
240000,3,15.2205,-21984.1,3.13704,0.3189
255000,7,30.9619,-21955.7,11.237,0.335067
270000,11,43.3981,-21851.7,13.8875,0.305644
285000,13,55.604,-21855.2,10.8544,0.304067
300000,11,47.4878,-21857.6,9.60993,0.3136
315000,13,44.8445,-21901.4,8.6596,0.317637
330000,14,59.6329,-21888.8,8.6694,0.3416
345000,16,63.7083,-21907.8,16.2416,0.330967
360000,15,68.9158,-21869.2,12.8354,0.361
375000,15,57.4901,-21846.6,12.9264,0.348044
390000,15,62.226,-21827.2,13.4843,0.341167
405000,26,102.172,-21814.5,27.6249,0.349367
420000,33,131.494,-21785.9,36.663,0.3826
435000,32,136.627,-21765.6,25.234,0.3502
450000,39,172.958,-21731.5,25.197,0.354867
465000,20,84.0391,-21786.6,12.2051,0.327507
480000,55,247.947,-21694.8,51.899,0.3851
495000,38,165.5,-21695.1,29.593,0.389733
510000,48,213.422,-21713,50.4171,0.392867
525000,52,229.724,-21687.2,56.2002,0.387467
540000,53,236.713,-21700.3,50.2156,0.410267
555000,62,285.185,-21696.1,64.2325,0.4166
570000,62,281.379,-21685.2,65.5416,0.407133
585000,50,210.62,-21677.1,43.2777,0.395
600000,52,228.425,-21660,47.1644,0.376533
615000,51,222.276,-21665.4,38.1446,0.384867
630000,47,209.056,-21731.2,49.1645,0.355273
645000,56,254.354,-21646.4,61.6155,0.393033
660000,56,241.01,-21645.5,44.5521,0.385933
675000,52,228.949,-21660.3,58.7493,0.3984
690000,39,169.14,-21702.8,37.2841,0.396717
705000,59,265.155,-21655.4,62.5429,0.400367
720000,59,259.285,-21665.3,74.765,0.4088
735000,49,201.083,-21682.9,54.7827,0.390733
750000,63,281.349,-21663.9,49.5236,0.407733
765000,61,268.514,-21691.3,59.9345,0.401533
780000,71,314.599,-21691.9,70.4998,0.417067
795000,60,260.327,-21672.1,69.6587,0.408222
810000,58,256.158,-21661.2,58.9841,0.409667
825000,58,256.012,-21699.2,53.1335,0.415489
840000,62,266.25,-21660.8,57.6354,0.3962
855000,61,264.497,-21672.3,58.5303,0.4091
870000,56,261.37,-21651.8,54.2212,0.399233
885000,48,209.005,-21680.5,50.2916,0.411033
900000,43,195.022,-21682.3,48.2171,0.381467
915000,52,230.484,-21692.7,51.4387,0.3868
930000,62,282.161,-21682.8,59.1388,0.406333
945000,67,297.065,-21669.1,71.9046,0.402733
960000,57,260.522,-21683.1,46.5503,0.410633
975000,44,201.073,-21691.8,47.2733,0.351603
990000,70,309.242,-21659.9,52.3527,0.408267
1005000,58,263.134,-21676.5,62.3211,0.3964
1020000,55,250.613,-21643,56.8437,0.387667
1035000,42,180.681,-21694.8,45.4689,0.383683
1050000,66,302.098,-21660.9,65.1582,0.3983
1065000,48,218.576,-21710.2,53.1974,0.387167
1080000,57,269.609,-21671.4,63.6974,0.4132
1095000,70,320.553,-21645.7,67.4557,0.400467
1110000,74,317.665,-21640.8,75.065,0.4056
1125000,52,232.71,-21678.2,60.9336,0.3856
1140000,56,249.655,-21664.9,48.4398,0.393667
1155000,67,314.187,-21680.5,65.0052,0.413644
1170000,53,234.805,-21665.4,57.5854,0.414267
1185000,53,242.98,-21682.2,55.1799,0.403662
1200000,59,257.925,-21676.3,57.5897,0.403
1215000,62,262.734,-21681.8,69.0431,0.404067
1230000,50,216.989,-21681.5,53.7767,0.390017
1245000,52,224.58,-21647.8,45.3728,0.3852
1260000,46,210.652,-21711.6,37.5699,0.38445
1275000,54,246.268,-21680.6,44.7069,0.3794
1290000,69,299.397,-21651,71.2746,0.395578
1305000,87,386.286,-21652,103.44,0.411733
1320000,95,415.544,-21671.3,110.352,0.437467
1335000,58,261.041,-21660,56.8199,0.413233
1350000,59,276.446,-21669.1,48.1155,0.4096
1365000,68,292.356,-21675.6,70.4186,0.419556
1380000,44,206.863,-21692.9,41.4214,0.39585
1395000,61,285.333,-21672.4,50.7942,0.393622
1410000,48,205.212,-21675.1,58.1315,0.397733
1425000,42,196.925,-21688,52.5817,0.403933
1440000,40,171.201,-21683.4,29.951,0.382267
1455000,43,186.29,-21684.8,43.1065,0.379844
1470000,50,220.71,-21686.5,48.4558,0.39156
1485000,47,202.95,-21679.6,52.1155,0.3964
1500000,55,245.566,-21677.3,52.0614,0.389933
1515000,51,232.745,-21688.5,44.3859,0.396733
1530000,77,337.006,-21672.5,65.8567,0.400633
1545000,57,237.279,-21691.9,56.5324,0.3957
1560000,49,225.369,-21686.6,40.2706,0.38612
1575000,69,302.67,-21646,58.6765,0.399178
1590000,59,273.239,-21641.1,65.3005,0.395867
1605000,44,197.492,-21678.5,60.7748,0.393467
1620000,44,198.53,-21666.2,40.4057,0.380733
1635000,69,304.715,-21664.8,72.4948,0.395733
1650000,94,423.365,-21625.1,98.5768,0.393333
1665000,64,283.245,-21651.7,68.0631,0.412967
1680000,60,275.805,-21652,73.704,0.3996
1695000,71,299.192,-21636.5,76.6541,0.401933
1710000,61,266.837,-21655.5,55.1671,0.397582
1725000,70,315.75,-21652.8,70.689,0.4082
1740000,72,301.176,-21635.3,66.6516,0.4
1755000,81,350.868,-21626.6,89.8367,0.411771
1770000,73,331.643,-21644.1,64.1829,0.403867
1785000,63,293,-21643.7,69.7296,0.402867
1800000,58,260.637,-21658.3,49.1362,0.39992
1815000,68,275.309,-21642.4,57.5004,0.399333
1830000,70,301.219,-21645.4,81.6421,0.411653
1845000,51,209.782,-21643.6,49.7735,0.399867
1860000,58,275.33,-21668.6,74.029,0.39955
1875000,49,226.527,-21676.1,54.2713,0.393533
1890000,57,258.495,-21678,75.085,0.396978
1905000,63,279.131,-21640.8,71.4556,0.387827
1920000,62,275.797,-21622.8,47.9939,0.393533
1935000,55,248.264,-21660.2,54.1004,0.38235
1950000,55,244.213,-21641.7,59.3861,0.391633
1965000,44,203.359,-21664.5,54.0781,0.374133
1980000,52,230.877,-21673.8,48.1805,0.3734
1995000,56,268.635,-21668.7,54.828,0.393667
2010000,51,231.273,-21641.8,55.0006,0.380275
2025000,59,251.905,-21637.6,55.8643,0.3838
2040000,53,237.197,-21649.5,52.4024,0.385178
2055000,57,252.487,-21657.2,64.4551,0.391217
2070000,60,268.163,-21647.6,44.0702,0.399822
2085000,53,235.871,-21651.8,50.526,0.397422
2100000,53,217.785,-21645.1,55.2846,0.393067
2115000,48,211.678,-21690.9,49.9502,0.392317
2130000,44,202.488,-21675.3,38.8529,0.376733
2145000,65,289.824,-21633,53.5177,0.386756
2160000,62,281.613,-21665.6,53.6146,0.402911
