generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.451118,-22885.9,100,1
15000,0,0.488268,-22024.5,0.397541,0.1466
30000,2,7.68324,-22008.7,5.63099,0.163895
45000,1,3.07078,-22007.4,1.78173,0.2468
60000,2,7.79737,-22001.4,0.716889,0.253844
75000,3,13.0458,-21968.3,3.39021,0.3358
90000,7,28.881,-21894.3,13.6648,0.3289
105000,4,18.5845,-21922.7,7.25328,0.3332
120000,5,21.7809,-21914.1,2.14953,0.327733
135000,8,39.8722,-21914.2,11.3292,0.335133
150000,12,53.1874,-21887.3,17.328,0.335817
165000,9,36.7331,-21872.3,7.05302,0.3482
180000,9,36.6962,-21869,8.49996,0.281365
195000,11,47.8999,-21859.7,12.318,0.324833
210000,14,66.1739,-21833.3,20.9809,0.34132
225000,13,61.8611,-21817.6,13.8148,0.317533
240000,24,116.245,-21780,24.3874,0.3809
255000,31,138.009,-21758.6,31.0041,0.3928
270000,31,133.924,-21763.2,32.4224,0.393467
285000,26,114.274,-21758.1,35.8761,0.34375
300000,50,194.235,-21694,36.9153,0.400033
315000,36,146.32,-21703.3,40.9257,0.384067
330000,37,160.512,-21703.2,53.7301,0.3756
345000,61,257.554,-21682.7,53.7841,0.402133
360000,20,96.6384,-21763,11.6576,0.355787
375000,40,163.101,-21671.7,48.0274,0.409333
390000,48,203.221,-21685.4,50.4864,0.389933
405000,61,256.566,-21689.9,67.4753,0.399533
420000,49,208.712,-21685.6,54.0191,0.366471
435000,68,298.814,-21678.8,68.2348,0.416967
450000,58,239.846,-21667.4,59.2397,0.428333
465000,61,270.553,-21648.3,67.9497,0.410333
480000,69,318.662,-21654.3,67.4853,0.427267
495000,50,217.842,-21664.2,49.4444,0.408
510000,59,256.655,-21663.9,59.2969,0.424667
525000,48,205.031,-21673.1,52.5316,0.407105
540000,45,188.505,-21677.7,58.3021,0.39
555000,33,144.353,-21706.9,35.5723,0.370579
570000,43,188.726,-21685.6,36.5781,0.392583
585000,50,188.305,-21676.2,43.9763,0.395533
600000,45,196.498,-21677.2,46.9978,0.393333
615000,41,177.391,-21688.8,42.3262,0.396867
630000,51,216.446,-21667.5,56.0699,0.3874
645000,46,203.794,-21688.3,54.8068,0.3928
660000,50,202.449,-21689.4,39.7072,0.408267
675000,40,168.881,-21665.1,42.0342,0.39536
690000,61,248.164,-21642.3,57.6037,0.401933
705000,64,280.652,-21642.2,48.3894,0.408733
720000,37,158.533,-21668.4,44.0692,0.3919
735000,57,250.25,-21633.8,62.1841,0.380733
750000,58,259.538,-21634.7,67.8402,0.406511
765000,51,219.226,-21650,54.6676,0.392667
780000,40,178.938,-21672.9,38.3388,0.3918
795000,61,262.556,-21643.8,68.0097,0.401578
810000,73,315.328,-21619,82.2303,0.417333
825000,68,308.172,-21642.5,65.5674,0.409578
840000,60,273.282,-21653.9,59.321,0.42
855000,64,275.004,-21659.9,88.6147,0.411433
870000,46,190.243,-21661.9,58.5565,0.39939
885000,59,266.583,-21633.8,59.6109,0.411244
900000,52,244.748,-21665.1,59.5864,0.399333
915000,61,272.571,-21661.7,51.9706,0.398
930000,55,231.184,-21653.1,51.4703,0.400033
945000,71,277.488,-21650.7,59.672,0.4166
960000,64,264.888,-21641.9,66.2857,0.4076
975000,66,276.821,-21663.5,61.3643,0.417733
990000,72,308.306,-21633.9,70.0703,0.415044
1005000,60,272.253,-21631,59.7944,0.410067
1020000,53,244.673,-21680.5,46.9379,0.404673
1035000,67,269.893,-21632.4,59.4925,0.404467
1050000,67,291.445,-21626.1,60.1341,0.4024
1065000,61,266.032,-21652.7,59.3542,0.4108
1080000,70,300.645,-21633,62.5648,0.418
1095000,57,243.785,-21651.1,49.2589,0.3996
1110000,63,267.075,-21660.2,56.6095,0.4036
1125000,71,300.484,-21675,75.4439,0.400987
1140000,64,286.138,-21635.1,70.2639,0.4174
1155000,67,274.635,-21651.8,59.2883,0.397437
1170000,60,259.775,-21656.3,57.7366,0.415533
1185000,53,215.011,-21650.8,40.3863,0.4018
1200000,71,312.217,-21673.8,81.4644,0.408967
1215000,58,264.272,-21646.2,63.6179,0.410467
1230000,48,208.52,-21664.5,45.7644,0.406667
1245000,61,266.271,-21675.6,65.2287,0.393267
1260000,57,246.12,-21636.9,68.1812,0.40192
1275000,50,207.711,-21643.2,65.1008,0.400933
1290000,68,287.091,-21657.6,51.8098,0.390133
1305000,67,264.074,-21669.1,70.5226,0.399
1320000,60,260.875,-21649.9,54.39,0.408578
1335000,73,302.843,-21602.3,81.3944,0.41
1350000,65,276.87,-21638.8,78.262,0.403111
1365000,45,204.506,-21646.8,49.0269,0.403156
1380000,53,224.763,-21635.4,68.9638,0.389067
1395000,59,275.239,-21638.5,66.4561,0.400367
1410000,61,257.901,-21649,72.1674,0.39308
1425000,56,244.59,-21634.3,51.5945,0.401
1440000,49,206.921,-21667.3,56.1207,0.397283
1455000,59,242.038,-21645.4,70.6511,0.407633
1470000,54,245.058,-21635.8,49.035,0.401067
1485000,51,212.661,-21670.5,54.3541,0.391178
1500000,73,325.883,-21680.2,70.8936,0.413667
1515000,70,306.284,-21618.5,62.509,0.391429
1530000,66,280.87,-21616.9,56.2888,0.407467
1545000,67,291.61,-21622,61.0281,0.411413
1560000,84,357.65,-21602.9,86.5297,0.411
1575000,60,253.689,-21626.9,57.2319,0.415053
1590000,80,338.599,-21618.7,66.7958,0.413356
1605000,67,292.857,-21616.6,64.5253,0.4258
1620000,62,261.126,-21645.6,62.4894,0.4036
1635000,56,241.683,-21645.1,59.9382,0.401467
1650000,71,299.179,-21620.1,53.7345,0.402933
1665000,51,229.852,-21639.8,50.2425,0.4128
1680000,55,229.516,-21634,69.1723,0.403583
1695000,53,230.375,-21640.8,60.326,0.388433
1710000,49,203.391,-21623.1,58.4778,0.3874
1725000,68,302.571,-21623.9,51.7462,0.4097
1740000,56,258.588,-21650.3,68.1018,0.4074
1755000,63,276.974,-21624.4,60.9146,0.403044
1770000,47,212.368,-21662.1,47.8128,0.4203
1785000,55,241.828,-21629.7,70.6877,0.406433
1800000,70,307.991,-21628.7,57.3741,0.4112
1815000,64,272.991,-21629.9,57.103,0.413333
1830000,49,211.519,-21655.9,61.1029,0.406106
1845000,54,250.322,-21654.5,41.9271,0.397467
1860000,57,255.926,-21647.3,52.6097,0.406267
1875000,62,269.799,-21656.1,63.2267,0.4054
1890000,53,215.516,-21631,46.7657,0.3984
1905000,75,312.907,-21649,72.2266,0.4046
1920000,75,322.369,-21638.2,68.5911,0.4128
1935000,53,249.889,-21646.3,45.1456,0.4122
1950000,55,244.033,-21613.9,62.4278,0.392267
1965000,67,283.618,-21627.2,69.3072,0.409307
1980000,72,316.853,-21611.4,73.9602,0.4142
1995000,72,317.142,-21622.7,78.7028,0.4024
2010000,87,390.887,-21605.8,85.5829,0.413067
2025000,84,377.931,-21593.1,80.1871,0.4086
2040000,80,331.723,-21610.5,82.4438,0.415267
2055000,72,306.583,-21618.9,96.4832,0.413333
2070000,82,334.657,-21610.1,72.8769,0.4123
2085000,52,232.453,-21620.7,51.1977,0.3931
2100000,62,266.876,-21600.6,70.7261,0.3944
2115000,64,285.683,-21606.8,60.7253,0.4002
2130000,63,276.764,-21637.2,66.8682,0.404683
2145000,65,274.653,-21612.1,63.0609,0.402267
2160000,77,333.214,-21617.9,92.9782,0.409467
2175000,68,290.349,-21632.5,74.3975,0.423867
2190000,76,329.387,-21619.3,83.4468,0.4178
2205000,63,255.597,-21652.8,55.2634,0.40712
2220000,72,310.305,-21636.7,82.2027,0.4133
2235000,60,249.066,-21623.1,63.4284,0.399267
2250000,74,325.846,-21628.8,73.6422,0.4044
2265000,73,315.649,-21652.4,93.7186,0.4066
2280000,74,321.717,-21617.6,64.2937,0.41645
2295000,51,236.248,-21682.4,46.4089,0.400346
2310000,64,263.71,-21654.4,53.5942,0.408867
2325000,56,251.189,-21667.6,58.5183,0.412383
2340000,72,310.655,-21631.5,72.6533,0.403233
2355000,56,227.482,-21650.7,57.4771,0.410933
2370000,55,239.827,-21649.5,53.0977,0.395333
2385000,50,219.182,-21676.3,49.5624,0.390556
2400000,72,301.317,-21606.1,71.4028,0.408883
2415000,62,282.787,-21651.2,58.2887,0.3967
2430000,54,231.218,-21648.8,61.356,0.4076
2445000,75,334.893,-21616.7,73.4063,0.413644
2460000,60,249.642,-21609,53.7491,0.405067
2475000,63,268.272,-21620.3,61.9009,0.408533
2490000,55,243.473,-21627.8,61.996,0.410867
2505000,48,200.208,-21677.4,51.2854,0.406341
2520000,51,222.119,-21644.2,40.9616,0.393244
2535000,50,218.507,-21677.8,46.2633,0.393567
2550000,72,306.607,-21645.4,60.048,0.4119
2565000,73,333.776,-21633.9,74.0883,0.410267
2580000,65,284.058,-21624.2,70.1314,0.4224
2595000,70,316.986,-21657.8,67.7585,0.412267
2610000,49,210.872,-21655,51.0834,0.409213
2625000,58,265.177,-21655.4,58.0929,0.410933
2640000,56,241.933,-21643.2,59.7009,0.404533
2655000,58,249.027,-21673.8,56.1844,0.403422
2670000,57,236.745,-21656.8,49.1079,0.421133
2685000,78,327.119,-21649.2,73.7082,0.4182
2700000,63,280.994,-21654,67.4897,0.410067
2715000,66,288.736,-21657.1,58.3802,0.418733
2730000,64,272.844,-21637.9,74.1824,0.408667
2745000,52,240.489,-21680,50.3572,0.397084
2760000,66,273.96,-21641.4,52.2268,0.418756
2775000,76,317.717,-21632.1,92.8757,0.421333
2790000,54,251.008,-21667.5,59.8248,0.40835
2805000,54,231.668,-21648.3,56.064,0.398267
2820000,65,267.397,-21646.7,54.0328,0.397844
2835000,70,300.381,-21642,69.4558,0.3942
2850000,64,279.273,-21637.8,66.8415,0.404667
2865000,74,305.467,-21652,81.633,0.408156
2880000,60,261.323,-21640.6,46.3287,0.411267
2895000,52,221.66,-21647.5,45.749,0.403667
2910000,49,198.273,-21678.9,45.0388,0.405291
2925000,45,189.99,-21656.1,47.8688,0.407033
2940000,56,237.616,-21640.6,62.7445,0.415111
2955000,50,214.48,-21652,56.4619,0.389867
2970000,54,226.705,-21666.2,49.6071,0.402711
2985000,61,274.176,-21633.7,49.4328,0.407233
3000000,51,220.991,-21645.4,66.6582,0.397933
3015000,46,197.32,-21668.7,47.2267,0.405711
3030000,50,216.304,-21663.5,41.1055,0.395133
3045000,58,268.598,-21648.8,56.0238,0.397133
3060000,48,217.814,-21663.1,50.6627,0.410267
3075000,52,223.97,-21643.8,48.859,0.39856
3090000,44,179.702,-21677.2,43.9825,0.404517
3105000,61,269.626,-21641.6,71.7963,0.390967
3120000,59,263.315,-21651.2,59.9594,0.401267
3135000,61,258.308,-21654.7,70.1225,0.4146
3150000,62,267.691,-21652.9,83.3172,0.4203
3165000,68,273.224,-21639.8,51.9218,0.411233
3180000,66,283.366,-21645.5,77.478,0.4156
3195000,62,264.723,-21626.2,70.9253,0.411467
3210000,59,247.936,-21641.3,62.0853,0.407067
3225000,64,255.636,-21635.4,63.1812,0.412467
3240000,64,276.72,-21619.8,73.2454,0.399161
3255000,52,221.386,-21619.9,59.1953,0.395267
3270000,55,223.58,-21639.4,66.7688,0.395667
3285000,59,243.792,-21643,56.6292,0.3984
3300000,63,273.604,-21660,64.6156,0.41324
3315000,44,201.669,-21662.9,38.6123,0.408695
3330000,56,227.791,-21655.6,58.3707,0.407333
3345000,56,215.647,-21653.9,55.8557,0.4044
3360000,46,198.332,-21652.6,39.9529,0.394147
3375000,63,273.62,-21653.2,51.3165,0.409467
3390000,67,284.239,-21664,80.7692,0.415356
3405000,69,278.534,-21648.7,66.0478,0.408733
3420000,66,289.503,-21671.5,60.1122,0.385419
3435000,61,237.938,-21636.2,60.5644,0.424889
3450000,67,294.162,-21607.3,56.8576,0.417467
3465000,68,295.265,-21646,69.1326,0.415933
3480000,64,269.567,-21629.6,60.3933,0.422933
3495000,47,198.532,-21681.1,45.6868,0.394373
3510000,48,202.467,-21671.1,48.4929,0.399581
3525000,73,304.936,-21641.6,54.8298,0.415489
3540000,68,292.044,-21658.7,69.7562,0.419
3555000,59,246.067,-21650,61.4751,0.417667
3570000,57,234.769,-21657.2,68.7217,0.4056
3585000,44,198.053,-21629.2,36.0944,0.402633
3600000,54,242.114,-21649.2,52.6488,0.3956
3615000,47,194.841,-21640.1,48.2161,0.401244
3630000,50,223.89,-21623.6,53.167,0.3886
3645000,52,236.536,-21632.5,55.4349,0.3862
3660000,47,200.782,-21635.7,40.9822,0.3804
3675000,52,219.466,-21652.4,49.6454,0.404833
3690000,55,248.259,-21674.8,77.3869,0.383343
