"fb_sci_name";"rls_sci_name";"kingdom";"phylum";"class";"order";"family";"genus";"Aesthetic";"Evol_age";"Coralness";"Benthicness";"Diel_activity";"Length";"Trophic_level";"Temperature";"Di";"Range_005";"Sci_fields";"H_index";"Tot_pubs";"NCBI";"Wiki_views";"FishBase";"Twitter";"Flickr";"acad";"public";"interest";"IUCN";"ClimVuln_SSP126";"ClimVuln_SSP585";"Fishery";"Price";"Aquaculture";"Aquarium"
"Abudefduf_sparoides";"Abudefduf_sparoides";"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";0,442359848464532;0,381598346563885;0,999999999999986;0,666666666666667;1;0,424813723;0,37037037;0,613367118763567;0,191820288751903;0,291348555330514;0,527497289763048;0;0,251890819118112;0,249830707073803;0,366639442426621;0,423076923076923;0,0371783797992522;0,217046881618302;0,262954649548618;0,183675669617548;0,237586266988243;"LC";0,4893728;0,5816402;0;0;0,25;1
"Abudefduf_troschelii";"Abudefduf_troschelii";"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";0,444980901632457;0,394448405894461;0,999999999999986;0,666666666666667;1;0,467095665;0,37037037;0,558343191380549;0,188676654341337;0,539025916791446;0,829568387319665;0,436674622749489;0,447421682462534;0,262039685734033;0,703564536822543;0,512820512820513;0,430367653062496;0,355891477968429;0,465062199011318;0,465240300507619;0,512793745797033;"LC";0,5334595;0,5399196;0;0;0,25;0,333333333333333
"Abudefduf_vaigiensis";"Abudefduf_vaigiensis";"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";0,356896106310819;0,391882017704086;0,999999999999986;0,666666666666667;1;0,467095665;0,222222222;0,551396340499312;0,211056563796604;0,605856962109085;0,834031825925353;0,454749757925545;0,534231835624053;0,479885581340908;0,654710328134343;0,525641025641026;0,496913668992378;0,494177549877126;0,551008001438143;0,540957923974919;0,604779569384124;"LC";0,4227329;0,4838952;0,2;0;0,25;1
"Abudefduf_whitleyi";"Abudefduf_whitleyi";"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";0,401923312433739;0,393546833356765;0,999999999999986;0,666666666666667;1;0,399511775;0,222222222;0,516950446068781;0,211849587100433;0,412087122452272;0,812433498914833;0,339798903703321;0,351392138649173;0,22325985171854;0,370038068856831;0,435897435897436;0,11509388241483;0,232167878998402;0,387750663576401;0,221106597303098;0,329892728755847;"LC";0,5151633;0,5723524;0;0;0,25;0,666666666666667
"Acanthaluteres_brownii";"Acanthaluteres_brownii";"Animalia";"Chordata";"Teleostei";"Tetraodontiformes";"Monacanthidae";"Acanthaluteres";0,415377538031362;0,421830712950994;0,765959955697701;0,666666666666667;1;0,658776988;0,296296296;0,269498308996817;0,419804813031031;0,393711663855401;0;0;0,205993751842305;0,141067403073845;0;0,32051282051282;0,226599168726467;0,0994415286054943;0,150063435817985;0,130882012295539;0,143312257666683;"LC";0,423922651956644;0,4367747;0;0;0,25;0,333333333333333
"Acanthaluteres_spilomelanurus";"Acanthaluteres_spilomelanurus";"Animalia";"Chordata";"Teleostei";"Tetraodontiformes";"Monacanthidae";"Acanthaluteres";0,498008817519188;0,429917582360019;0,434277753208794;0,666666666666667;1;0,399511775;0,333333333;0,246419335991807;0,462675185431965;0,426052037205817;0,87916214960508;0,208346743910471;0,350145698782392;0,133232645153873;0,64906499026158;0,282051282051282;0,30742717332519;0,250962476551334;0,309491382193134;0,360954307125552;0,364936290910243;"LC";0,404628595367397;0,4292023;0;0;0,25;0,333333333333333
"Acanthaluteres_vittiger";"Acanthaluteres_vittiger";"Animalia";"Chordata";"Teleostei";"Tetraodontiformes";"Monacanthidae";"Acanthaluteres";0,50834475302186;0,417941036105632;0,765959955697701;0,666666666666667;1;0,573133425;0;0,260043489561872;0,480882315861719;0,495685252002494;0,775098058427336;0,30522246295664;0,343556281615405;0,109692120137731;0;0,32051282051282;0,320657322904275;0,316488410223796;0,321093512941192;0,261421164870894;0,314903907471964;"LC";0,451665707207524;0,4794246;0;0;0,25;0,333333333333333
"Acanthemblemaria_atrata";"Acanthemblemaria_atrata";"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Chaenopsidae";"Acanthemblemaria";0,193253422330921;0,563689028030785;0,331682202488907;1;1;0,204416248;0,481481481;0,628751432648304;0,380055183869954;0,142557164013944;0;0;0,14863169908314;0;0,642338522564381;0,192307692307692;0,130075170383272;0,125481238275667;0,0699760069382704;0,23647692993838;0,157825913730431;"THR";NA;NA;0;0;0,25;0,333333333333333
"Acanthemblemaria_castroi";"Acanthemblemaria_castroi";"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Chaenopsidae";"Acanthemblemaria";0,26574710239371;0,553288756499966;0,331682202488907;1;1;0,23896311;0,518518519;0,417226116389687;0,366580000075742;0,142557164013944;0,703329719684064;0;0,223542908685336;0,154808713731357;0,64649965506777;0,243589743589744;0,0743567595985043;0,145679206266763;0,207821036161676;0,224507037099;0,229448347966144;"THR";0,5861128;0,6212314;0;0;0,25;0,333333333333333
"Acanthemblemaria_crockeri";"Acanthemblemaria_crockeri";"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Chaenopsidae";"Acanthemblemaria";0,299916553587167;0,52357972749672;0,565722246791192;1;1;0,23896311;0,518518519;0,465968267711989;0,222933499187769;0,241799575613216;0,80214463897852;0,208346743910471;0,323620425490251;0,245463718349752;0,644484048486521;0,333333333333333;0,0822234706425457;0,245120734872258;0,33314803598214;0,270257386843137;0,326790655354227;"LC";0,541400991282826;0,5548167;0;0;0,25;0,333333333333333
