"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Amblyglyphidodon aureus";0,511274037188056;0;0,302181068036489;0,713563418601979;0,19195872000656;0,606022587096803
"Amblyglyphidodon batunai";0,235465950031266;0,0929665563974237;0,173263310091783;0,551204559936553;0,19195872000656;0,173713135703695
"Amblyglyphidodon curacao";0,677698345843906;0,426248174903366;0,39536274757002;0,693254278819291;0,19195872000656;0,575803163086039
"Amblyglyphidodon indicus";0,392175653280062;0,147348505711095;0,296749298694396;0,709572857753028;0;0,479757633820149
"Amblyglyphidodon leucogaster";0,599744469814298;0,321611444677075;0,343658489560486;0,670251378150302;0,19195872000656;0,517161055836337
"Amblyglyphidodon melanopterus";0,46477004186274;0;0,186592985080442;0,544433221832225;0;0
"Amblyglyphidodon orbicularis";0,274381474976883;0,0929665563974237;0,322132985067314;0,545203103376999;0;0,243837213271914
"Amblyglyphidodon ternatensis";0,348578126723841;0;0,22421233782428;0,555134420836491;0,19195872000656;0,201674705120695
"Amphichaetodon howensis";0,33700696261877;0;0,128661826406709;0,66713481969579;0;0,243837213271914
"Amphiprion akallopisos";0,418336936571048;0,321611444677075;0,433110928891984;0,787584699352495;0,19195872000656;0,645746291106989
"Amphiprion akindynos";0,524766804523529;0,387663567819614;0,36707770821547;0,800224548250728;0,19195872000656;0,563860078945584
"Amphiprion allardi";0,349747542501445;0,0929665563974237;0,27612103543798;0,728698400896495;0,19195872000656;0,459071896446914
"Amphiprion bicinctus";0,47498232854731;0,426248174903366;0,502239862835206;0,784237963127188;0,19195872000656;0,816342619200953
"Amphiprion chrysopterus";0,539345338781709;0,394915192750721;0,554861784040906;0,738601522250735;0;0,610898982163782
"Amphiprion clarkii";0,623465937026371;0,654893063183018;0,566087344265181;0,806070098809928;0,38391744001312;0,872658699788451
"Amphiprion ephippium";0,302940828655588;0,147348505711095;0,332688870848972;0,724224130503659;0,30424737289683;0,449041941676737
"Amphiprion frenatus";0,465437347531745;0,529950250546678;0,388218350008572;0,785405249168401;0,445714345041849;0,768832541223279
"Amphiprion latezonatus";0,315348884741533;0,308828215581532;0,289336772904284;0,749585497755348;0,19195872000656;0,362185373824889
"Amphiprion mccullochi";0,422175300458565;0,215861659184109;0,293048500354428;0,736755653171701;0,19195872000656;0,34742627140739
"Amphiprion melanopus";0,539143591929519;0,579071824079312;0,449068980117328;0,754486116475977;0,38391744001312;0,68465932086879
"Amphiprion ocellaris";0,56388512409967;0,691944826269659;0,977993690989719;0,957149410788249;0,856026785470398;0,961920026266133
"Amphiprion percula";0,444349943542023;0,620312406861992;0,448142452556393;0,824436740761812;0,445714345041849;0,806498167854304
"Amphiprion perideraion";0,550930134026095;0,408338625400148;0,464180242688841;0,783351347171778;0,19195872000656;0,814283748482529
"Amphiprion rubrocinctus";0,323060218221635;0;0,207685895843442;0,708255476152499;0,19195872000656;0,275328805973042
"Amphiprion sandaracinos";0,425497853262229;0,215861659184109;0,546314756601644;0,743734202196417;0,19195872000656;0,648610588151616
"Anampses caeruleopunctatus";0,602776761037876;0,0929665563974237;0,343236880423298;0,682405380445644;0,19195872000656;0,510946185165095
"Anampses cuvier";0,549532806066364;0;0,141146513388304;0,644318916175417;0,19195872000656;0,40334941024139
"Anampses elegans";0,464903832734332;0;0,141146513388304;0,663034165174036;0,19195872000656;0,201674705120695
"Anampses femininus";0,326958654759392;0;0,101962402242277;0,643423963029818;0,19195872000656;0,311377538690216
"Anampses geographicus";0,468842492568048;0,0929665563974237;0,245144847344059;0,63800324448774;0,19195872000656;0,224520970838368
"Anampses lennardi";0,368560797282035;0;0,128661826406709;0,635754341341332;0,19195872000656;0,137664402986521
"Anampses lineatus";0,305888419914723;0;0,276955762535303;0,68108178747986;0,19195872000656;0,288531272972542
"Anampses melanurus";0,392958551070809;0;0,194225942768606;0,644318916175417;0,19195872000656;0,330693781123762
"Anampses meleagrides";0,490923434974289;0;0,337942415557868;0,695087924074131;0,19195872000656;0,43030448798449
"Anampses neoguinaicus";0,549042516701685;0,0929665563974237;0,252989830593389;0,645700446176657;0,19195872000656;0,201674705120695
"Anampses twistii";0,568189395146838;0,147348505711095;0,313168639222337;0,683871953593538;0,19195872000656;0,362185373824889
"Anisotremus caesius";0,298050960814562;0;0,290093676071246;0,473990297639969;0;0,0868565678518474
"Anisotremus interruptus";0,441066841580125;0,260990119689053;0,555782986080576;0,629265470009529;0;0,392901065968302
"Anisotremus scapularis";0,308189994102401;0,371866225589695;0,418927198966169;0,725560637314784;0;0,300474357112997
"Anisotremus surinamensis";0,550688413465412;0,278899669192271;0,424844793547228;0,658055632085219;0;0,629530107856685
"Anisotremus taeniatus";0,339166114263302;0;0,388674637487954;0,483579056340423;0;0,300474357112997
"Anisotremus virginicus";0,808467286403891;0,333281618505943;0,389619016363244;0,784953425122796;0,445714345041849;0,780479389907307
"Anyperodon leucogrammicus";0,483865192717798;0,0929665563974237;0,371778344667329;0,695405506981403;0,30424737289683;0,55669769873366
"Aphareus furca";0,723208949454231;0,0929665563974237;0,32027271425765;0,69003347990586;0;0,288531272972542
"Apolemichthys trimaculatus";0,526596360288377;0,147348505711095;0,346457942554498;0,717557788748817;0;0,55521475196213
"Aprion virescens";0,663406418536868;0,371866225589695;0,338985692659786;0,727439645377151;0;0,34742627140739
"Arothron hispidus";0,633455226478183;0,484304940115492;0,43971930144278;0,791203841833597;0,7103316717558;0,793607688488123
"Arothron manilensis";0,493005691877789;0,321611444677075;0,348699874972301;0,709446691623375;0;0,598860206884879
"Arothron mappa";0,425690155367796;0,240315062108519;0,296048765762358;0,698596734757568;0,38391744001312;0,647900628520386
"Arothron meleagris";0,608597662599476;0,436983694149254;0,379209060132663;0,840688572785855;0,30424737289683;0,708299512408358
"Arothron nigropunctatus";0,588833445696472;0,420539977705015;0,390583445269577;0,764335392983849;0,38391744001312;0,77044943513713
"Arothron stellatus";0,53312298997471;0,333281618505943;0,416470300517981;0,825173263520901;0,30424737289683;0,720042584471697
"Atypichthys latus";0,3773192131565;0;0,047677042998408;0,582721777063955;0;0,288531272972542
"Atypichthys strigatus";0,696134725206036;0,29469701142219;0,290826172236049;0,600524761215599;0;0,534145927956962
"Balistapus undulatus";0,77780733926244;0,394915192750721;0,408636087648449;0,742386691958231;0,767834880026241;0,667013284329607
"Balistes polylepis";0,51291628064672;0,371866225589695;0,32480840895977;0,660349440803258;0;0,487674426543828
"Balistes vetula";0,554082958264338;0,476851778873162;0,394901398541303;0,829973315670292;0,637673065048409;0,642814986920786
"Balistoides conspicillum";0,595271083270922;0,278899669192271;0,346601837925476;0,778377800573034;0,730854977448854;0,709175792480826
"Balistoides viridescens";0,599552099310293;0,321611444677075;0,340020778608907;0,812139993169445;0,664068065463838;0,734400702419956
"Belonoperca chabanaudi";0,347395930192883;0,0929665563974237;0,248853605659818;0,494732846160646;0;0,368960404301142
"Bodianus anthioides";0,412202492849034;0,147348505711095;0,246627604160226;0,699128317068375;0,30424737289683;0,465338579208912
