"SurveyID","nb_species","aesthe_survey","aesthe_SR_survey","mean_AE","var_AE","ske_AE","kur_AE"
"10000001",47,1776.7562168984,2602.36394728806,-0.00848068645987498,0.000202932076202918,-0.0204117439956648,2.17509982428473
"10000002",36,1903.94350093459,2464.33502634194,-0.00716652063503672,0.000181582831336862,-0.10990409280212,2.33631841107394
"10000003",26,1908.28381817503,2305.75108410937,-0.00756808638729269,0.000198812030303555,-0.100973114429397,2.27361935512003
"10000004",22,1794.72974512693,2228.3491786518,-0.00983666281417773,0.000197294768484723,0.135153596054422,2.2602714437433
"10000006",26,1871.38634764178,2305.75108410937,-0.00834907818966391,0.000158348036823374,0.286099082627897,2.36714603987157
"10000007",14,1822.01424406293,2031.70713799962,-0.00778098412176009,0.000143914433631712,-0.352006080487834,2.49609554406667
"10000008",11,1839.7204177948,1933.98659929558,-0.0045427140702202,0.000111395239088415,0.599802597833715,1.89385030939817
"10000009",12,1728.23585573693,1968.69006049611,-0.011842475091788,0.000120326162338347,0.0989971930539069,3.32750833464945
"10000010",12,1889.12648350024,1968.69006049611,-0.00375034849762555,0.000123494564965894,0.416975885145483,1.87070472877579
"10000011",17,1891.47741283451,2113.95669457394,-0.00695019865988232,0.000187096523419451,-0.0788557397479779,2.04175415873173
"10000012",14,1894.53100518477,2031.70713799962,-0.00537731362255323,0.000160557243437152,0.146700690282191,3.06807057574243
"10000013",29,1967.65775651321,2357.79423966008,-0.00646009494561549,0.000148769444910236,0.211558542341442,2.55382335086043
"10000014",34,1975.28186183867,2435.71163614839,-0.0065477457453123,0.000164559666435678,0.0492933836880874,2.05197148286622
"10000015",24,1929.03526007049,2268.33468283819,-0.00736481498515569,0.000148119282141287,0.0129116708259298,2.25377755799821
"10000016",17,1754.94143923445,2113.95669457394,-0.0116328696106457,0.000139603899595672,0.265219258238879,2.42225785016146
"10000017",25,1947.01070688802,2287.34065519221,-0.00644378525047466,0.000148850543543056,-0.0782648009734859,3.11154238369756
"10000018",24,1860.48219808173,2268.33468283819,-0.00825876008168271,0.000265266484319724,0.196144718892404,1.93013278640462
"10000019",22,2029.0387647882,2228.3491786518,-0.00425903939416174,0.000158321777144149,0.159764610828916,2.33768048979293
"10000020",35,1994.93955598973,2450.1860183293,-0.00604559398205227,0.000178380104160339,0.0789847539616507,1.85740834421195
"10000021",23,1943.5708326072,2248.68783741607,-0.00662817937190174,0.00020632997839174,-0.324016076326763,2.38428821688452
"10000022",31,1999.53458405509,2390.15469389133,-0.00594812146065243,0.00019376674503876,-0.245675292221016,2.28528402976121
"10000023",23,1935.86858041663,2248.68783741607,-0.00651264166061006,0.000240771420369748,-0.415820319846844,2.15898139260637
"10000024",22,1892.03698802097,2228.3491786518,-0.00743668238938484,0.000139899497173607,0.315171344339797,2.65939478317872
"10000025",23,1901.17214329471,2248.68783741607,-0.00729896735859077,0.000202577962308567,0.0659283103925639,2.07333964994336
"10000026",33,1896.4264336166,2420.89448855093,-0.0076301813891861,0.000158278357205937,0.226585965794648,2.51441240314539
