generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24254,100,0
15000,2,10.296,-22108.9,0.969893,0.268582
30000,1,5.06405,-22102.9,1.96463,0.266967
45000,5,18.9602,-22064.9,5.7651,0.296133
60000,4,12.4165,-22076,3.12918,0.274729
75000,9,40.3925,-22055.8,11.0219,0.323633
90000,12,48.9969,-22025.5,21.1516,0.344533
105000,14,52.1523,-22009,12.9523,0.337733
120000,7,32.2287,-22022.9,7.14713,0.324417
135000,8,31.1459,-22002.9,9.76264,0.342733
150000,12,53.7511,-21974.7,8.78552,0.304825
165000,19,83.2169,-21939.6,15.29,0.348033
180000,24,109.06,-21886.3,28.1044,0.350267
195000,26,116.289,-21891.8,34.1323,0.348933
210000,26,111.623,-21872.2,24.5797,0.363267
225000,28,121.782,-21867.9,25.4161,0.352533
240000,31,136.984,-21855.2,29.0039,0.352067
255000,32,131.594,-21841,35.4053,0.368333
270000,42,165.884,-21836.6,45.0799,0.387333
285000,30,130.203,-21903.9,34.0228,0.360453
300000,38,161.304,-21817,28.972,0.390567
315000,49,206.259,-21844.2,51.9976,0.387147
330000,37,149.9,-21816.8,35.9636,0.386033
345000,54,242.315,-21793,65.9879,0.3926
360000,43,197.371,-21804.7,55.1386,0.381293
375000,52,219.36,-21803.5,38.386,0.385867
390000,38,178.713,-21825.6,32.7329,0.399767
405000,47,221.524,-21833,39.3349,0.378467
420000,53,235.112,-21822,41.9093,0.4086
435000,56,261.502,-21780.7,67.8896,0.399244
450000,55,237.423,-21830,59.2185,0.397567
465000,54,234.129,-21775,63.5396,0.392033
480000,44,190.264,-21798.1,44.9203,0.387867
495000,52,236.076,-21794.6,64.139,0.4008
510000,44,200.035,-21768.7,57.6342,0.391652
525000,44,188.198,-21763.8,48.0706,0.387717
540000,43,197.559,-21774.8,52.521,0.375133
555000,53,222.288,-21781.4,42.2897,0.397133
570000,40,184.785,-21774.4,38.4862,0.393283
585000,53,229.578,-21756.4,52.4998,0.378
600000,50,229.173,-21769.7,50.9523,0.377152
615000,61,281.733,-21780.4,54.5685,0.396267
630000,48,208.39,-21760.9,50.8438,0.379967
645000,57,223.117,-21759,59.1163,0.380267
660000,53,225.713,-21753.7,49.231,0.3926
675000,63,270.834,-21738.7,67.6043,0.3902
690000,66,280.772,-21727.7,62.9245,0.396343
705000,63,270.538,-21757.4,62.0112,0.394433
720000,65,284.686,-21744.3,78.8865,0.391433
735000,84,334.286,-21738.4,77.6765,0.398117
750000,66,286.214,-21733.4,50.7198,0.403933
765000,68,280.559,-21753.5,68.2866,0.4018
780000,55,228.93,-21729.7,56.3415,0.399617
795000,52,211.707,-21743.9,52.548,0.400467
810000,67,292.057,-21736.6,72.5479,0.400667
825000,66,282.762,-21740.3,59.5591,0.4054
840000,69,310.683,-21772.2,82.6702,0.398253
855000,61,270.691,-21752.3,68.8891,0.4016
870000,53,236.477,-21763.4,46.2441,0.403467
885000,43,183.773,-21743.3,39.4447,0.379933
900000,50,202.183,-21748.3,40.8923,0.3678
915000,58,259.632,-21762.9,61.1913,0.400889
930000,62,264.376,-21752.7,61.8899,0.411733
945000,56,241.148,-21779.6,63.9357,0.38446
960000,57,240.096,-21731.5,45.317,0.392733
975000,58,252.987,-21725.8,57.5683,0.3912
990000,59,266.8,-21752.5,53.9646,0.3942
1005000,62,279.391,-21723.5,65.8657,0.3844
1020000,51,226.154,-21764.5,51.102,0.40072
1035000,56,241.727,-21771,61.2966,0.403467
1050000,57,253.36,-21737.9,50.3879,0.396708
1065000,57,238.394,-21759.4,64.4839,0.389333
1080000,65,287.482,-21740,61.2834,0.394573
1095000,53,236.041,-21752.5,48.591,0.397667
1110000,54,216.309,-21746.6,65.8508,0.399693
1125000,49,209.846,-21740.1,52.0633,0.3928
1140000,48,190.825,-21755.3,39.2865,0.383333
1155000,54,237.333,-21756,62.2657,0.396978
1170000,51,221.288,-21743,48.4734,0.395733
1185000,50,219.008,-21754.1,46.7974,0.389333
1200000,49,222.381,-21761.9,55.2562,0.383867
1215000,47,204.474,-21742.6,53.6119,0.394667
1230000,45,180.466,-21777.1,52.4211,0.384617
1245000,52,226.412,-21764.6,56.4469,0.398667
1260000,54,247.458,-21745.6,57.4901,0.392613
1275000,63,281.983,-21731,67.3346,0.404267
1290000,56,255.253,-21748.8,55.9827,0.392533
1305000,52,227.223,-21751.3,54.4474,0.3738
1320000,55,223.142,-21723.3,62.8941,0.402733
1335000,52,229.778,-21735.1,53.6139,0.3844
1350000,55,249.556,-21744.4,58.115,0.393733
1365000,44,160.464,-21774.5,45.7059,0.390104
1380000,43,186.755,-21753.6,37.4974,0.389615
1395000,48,200.684,-21758.7,45.0022,0.380333
1410000,51,222.109,-21742.6,50.1061,0.394133
