generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.47402,-24207.7,16.7434,1
15000,2,7.11194,-21982.9,4.88767,0.239184
30000,1,4.02641,-21988.1,5.45575,0.264167
45000,2,8.03669,-21981.1,1.69038,0.285616
60000,1,2.19587,-21982.8,0.952847,0.301533
75000,1,1.37267,-21986,0.97001,0.3046
90000,2,8.99358,-21973.9,1.32633,0.310983
105000,3,15.6049,-21966,3.72272,0.3231
120000,5,18.0687,-21921.8,4.80488,0.302833
135000,4,20.161,-21939.5,9.63279,0.315
150000,12,48.409,-21907.8,15.7306,0.273267
165000,7,29.4578,-21901.8,9.15714,0.329933
180000,6,27.9455,-21918.9,9.55725,0.309022
195000,10,44.8514,-21864.9,15.0323,0.309183
210000,10,43.5112,-21843.1,20.1912,0.318133
225000,12,49.6688,-21820.2,15.4789,0.3131
240000,17,75.6311,-21799.3,14.4206,0.351333
255000,15,64.3486,-21800.4,16.9112,0.3154
270000,21,90.2684,-21791.6,18.974,0.315
285000,17,70.5365,-21791.8,19.8606,0.328267
300000,20,70.5851,-21789.3,18.7401,0.311333
315000,19,77.0944,-21770.6,20.9333,0.331733
330000,20,87.17,-21762.7,21.7103,0.311933
345000,15,59.6557,-21748,14.3331,0.3076
360000,18,71.7217,-21806.9,20.7552,0.292
375000,19,80.9445,-21793,10.7966,0.3308
390000,20,81.9224,-21784.7,16.708,0.3276
405000,18,71.2481,-21738.5,18.3036,0.310017
420000,27,125.986,-21741.3,30.5,0.299467
435000,25,97.1924,-21751,23.1494,0.316733
450000,22,89.9235,-21737.2,22.5448,0.324467
465000,23,98.6612,-21745.1,18.0492,0.341027
480000,23,105.745,-21751.7,32.0862,0.3137
495000,21,91.7767,-21734.4,19.6016,0.332733
510000,28,116.738,-21708.4,29.469,0.364422
525000,25,100.308,-21720.6,21.4341,0.348133
540000,21,86.8617,-21733.1,26.7291,0.302467
555000,37,165.115,-21702.1,36.4598,0.368633
570000,41,181.201,-21676.1,41.4401,0.3794
585000,25,103.814,-21719.9,22.2768,0.328933
600000,15,54.2951,-21765.3,13.7139,0.290152
615000,31,129.926,-21711.8,25.6347,0.349867
630000,56,245.31,-21653.8,65.8186,0.398067
645000,41,160.75,-21681.3,39.5539,0.3731
660000,53,237.016,-21645.7,46.4667,0.3998
675000,66,300.684,-21631.6,63.7549,0.4074
690000,57,250.418,-21649.1,80.2119,0.4152
