generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24225.4,100,0
15000,1,4.66822,-22040.4,2.66952,0.261649
30000,1,4.70136,-22036.9,3.33343,0.281333
45000,3,10.6427,-21997.5,1.52023,0.291016
60000,3,14.6187,-21970.8,4.81369,0.279933
75000,4,17.9665,-21956.5,5.9719,0.296356
90000,6,26.1362,-21962.6,4.23653,0.260733
105000,8,31.6579,-21925.9,10.0004,0.274844
120000,8,33.487,-21912.6,10.1133,0.2692
135000,10,47.7709,-21890.1,16.6473,0.336667
150000,15,65.6416,-21878.8,13.2277,0.349467
165000,16,61.2535,-21851.3,17.0698,0.3646
180000,16,57.7833,-21863,20.4395,0.295517
195000,14,53.6714,-21841.7,12.3202,0.323133
210000,18,71.9559,-21811.2,16.83,0.329667
225000,28,111.37,-21797.8,28.9572,0.362
240000,31,136.141,-21804.1,25.192,0.389467
255000,22,93.083,-21776.2,19.9496,0.352156
270000,31,123.201,-21785.7,22.832,0.367933
285000,32,134.369,-21758.5,34.2786,0.346233
300000,46,202.289,-21768.3,51.7497,0.405533
315000,38,159.818,-21753.4,38.7409,0.4156
330000,48,194.483,-21733.3,54.4869,0.398644
345000,38,171.448,-21732.1,31.89,0.3882
360000,41,176.909,-21729.1,45.8859,0.380933
375000,42,188.964,-21741.2,36.2097,0.383467
390000,51,218.714,-21702.3,47.5387,0.399
405000,55,225.663,-21724.3,50.6942,0.408133
420000,43,182.705,-21710.9,43.5618,0.406267
435000,64,283.801,-21664.2,50.701,0.401947
450000,75,335.826,-21700.4,73.0573,0.4069
465000,76,336.172,-21708.6,79.9254,0.422267
480000,41,179.305,-21693.5,50.7125,0.402133
495000,51,235.463,-21699.5,52.2139,0.374733
510000,55,235.838,-21678.8,45.9374,0.401044
525000,59,247.705,-21663,66.9059,0.392733
540000,58,253.13,-21682.4,43.2067,0.405933
555000,80,336.727,-21682.3,65.6212,0.4112
570000,70,299.622,-21654.7,69.8022,0.4016
585000,69,286.751,-21652.2,64.5463,0.4052
600000,66,291.431,-21676.8,55.2906,0.4044
615000,66,271.852,-21674.8,56.1256,0.4016
630000,54,227.33,-21674.3,50.3739,0.396267
645000,45,203.71,-21714,44.9413,0.364778
660000,52,237.55,-21685,45.745,0.390679
675000,57,253.912,-21675.8,64.8367,0.3934
690000,54,229.839,-21676.6,57.4272,0.387367
705000,51,221.494,-21701.7,45.339,0.388689
720000,58,248.106,-21678.7,48.2253,0.393233
735000,51,226.5,-21685.5,43.6616,0.3842
750000,69,282.616,-21663.3,72.8764,0.402267
765000,53,239.549,-21653.5,65.7393,0.398933
780000,67,285.066,-21663.7,69.5738,0.4006
795000,72,310.055,-21675.3,81.4924,0.408
810000,72,304.905,-21685.8,65.9199,0.412467
825000,55,235.745,-21695.4,42.2562,0.389753
840000,64,266.465,-21658.1,51.1122,0.399
855000,53,213.859,-21680.7,56.2995,0.38695
870000,51,226.177,-21689.3,61.772,0.3808
885000,58,257.766,-21666,69.8498,0.3944
900000,67,290.808,-21645.6,81.5792,0.3818
915000,64,270.831,-21633.5,77.4081,0.403
930000,61,269.95,-21669.4,57.0087,0.401876
945000,81,349.265,-21655.4,98.3806,0.4078
960000,75,324.145,-21634.1,72.3874,0.3882
975000,81,351.573,-21643.1,78.3516,0.41
990000,78,321.844,-21647.4,71.8966,0.410933
1005000,61,255.034,-21670.9,66.7077,0.382741
1020000,72,310.125,-21643.7,66.2305,0.3941
1035000,72,305.284,-21623.2,70.3139,0.403133
1050000,75,320.588,-21632.7,84.3432,0.4018
1065000,56,248.835,-21669.6,38.2003,0.384417
1080000,64,278.796,-21663.7,71.7653,0.394133
1095000,69,307.311,-21683,53.7175,0.406022
1110000,73,318.456,-21669.7,67.4245,0.404133
1125000,80,359.303,-21685.1,68.6578,0.4244
1140000,68,297.846,-21676.8,62.095,0.411667
1155000,67,279.672,-21682.7,70.2416,0.403533
1170000,50,209.324,-21699,38.8876,0.396
1185000,53,243.631,-21708.4,46.2472,0.408817
1200000,47,216.214,-21681.9,46.2343,0.3752
1215000,44,199.136,-21713.4,43.5433,0.397818
1230000,54,229.671,-21680.8,47.3089,0.384067
1245000,63,273.718,-21720.6,53.479,0.402433
1260000,50,228.411,-21702.6,52.2681,0.3952
1275000,57,255.272,-21688.9,61.4942,0.390267
1290000,53,240.725,-21700.2,54.3733,0.385981
1305000,55,240.563,-21690.9,55.3419,0.3996
1320000,41,187.02,-21699.8,48.1716,0.400933
1335000,51,225.484,-21681.2,46.8374,0.387333
1350000,52,230.421,-21687.4,60.023,0.404133
1365000,69,291.015,-21661.5,74.0776,0.385311
1380000,46,187.084,-21683.8,54.597,0.3965
1395000,60,261.156,-21691.6,60.1538,0.389552
1410000,54,233.558,-21675.1,42.2235,0.396133
1425000,48,219.576,-21686.4,48.8255,0.3828
1440000,49,216.244,-21696.9,47.8968,0.389717
1455000,45,194.309,-21723,36.5734,0.3667
1470000,48,212.614,-21703.7,62.1899,0.3896
1485000,51,227.637,-21696.9,55.2033,0.385978
1500000,64,278.746,-21684.7,64.665,0.408167
1515000,63,289.02,-21685.6,66.6579,0.401667
1530000,66,288.703,-21688.7,66.4421,0.401933
1545000,57,255.276,-21680.5,68.0795,0.4002
1560000,55,244.181,-21667.3,50.9692,0.409433
1575000,50,219.088,-21699.9,50.2515,0.406133
1590000,56,230.006,-21659.7,56.5309,0.395333
1605000,46,203.233,-21686.6,50.9979,0.386375
1620000,68,278.098,-21696.8,67.9887,0.4108
1635000,50,209.789,-21677.1,61.8952,0.383533
1650000,63,289.309,-21673.8,51.8045,0.372
1665000,68,296.921,-21678.7,61.8717,0.405467
1680000,70,313.574,-21656.5,65.5132,0.415133
1695000,66,274.118,-21660.2,54.9232,0.394475
1710000,34,138.913,-21718.8,40.0196,0.394456
1725000,48,211.729,-21683.3,47.23,0.392689
1740000,39,174.063,-21710.8,36.7074,0.3872
1755000,60,259.898,-21686.9,53.6222,0.391383
1770000,60,263.134,-21676.9,47.7612,0.397133
1785000,60,266.531,-21718.2,56.8467,0.397067
1800000,46,206.701,-21723.7,44.1144,0.388333
1815000,47,208.413,-21706.2,38.3024,0.401
1830000,52,217.181,-21705.4,41.985,0.398333
1845000,55,236.032,-21717.1,65.409,0.4076
1860000,44,195.986,-21703.5,49.6483,0.387408
1875000,46,202.221,-21675.3,50.893,0.378067
1890000,46,198.422,-21709.6,45.5167,0.387489
1905000,56,258.484,-21701.1,57.1215,0.391333
1920000,55,227.305,-21712.4,57.7611,0.397467
1935000,48,221.28,-21681.2,41.7979,0.395533
1950000,44,203.407,-21713,28.8874,0.374067
1965000,44,175.966,-21696.2,41.6934,0.390092
1980000,56,240.42,-21741.5,52.8145,0.392933
1995000,56,247.826,-21719.5,57.1156,0.417467
2010000,50,223.151,-21686.5,47.2146,0.400017
2025000,54,243.828,-21667.3,50.0067,0.3896
2040000,52,208.514,-21717.8,61.8576,0.391578
2055000,43,179.962,-21681.1,45.295,0.3917
2070000,50,218.65,-21713.3,47.6328,0.407567
2085000,52,226.496,-21673.2,63.9409,0.392567
2100000,50,225.469,-21705.1,62.3369,0.386629
2115000,53,234.416,-21675.6,56.1074,0.403467
2130000,68,308.577,-21688.1,70.7544,0.407778
2145000,62,281.196,-21687.6,62.4208,0.403933
2160000,53,239.432,-21675.8,55.542,0.405378
