ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
1,Abalistes stellatus,Abalistes stellatus,species,Abalistes stellatus,Abalistes stellatus,Abalistes,Balistidae,Actinopterygii,219873,1,
2,Abudefduf abdominalis,Abudefduf abdominalis,species,Abudefduf abdominalis,Abudefduf abdominalis,Abudefduf,Pomacentridae,Actinopterygii,254879,1,
3,Abudefduf bengalensis,Abudefduf bengalensis,species,Abudefduf bengalensis,Abudefduf bengalensis,Abudefduf,Pomacentridae,Actinopterygii,212885,1,
4,Abudefduf concolor,Abudefduf concolor,species,Abudefduf concolor,Abudefduf concolor,Abudefduf,Pomacentridae,Actinopterygii,273696,1,
5,Abudefduf conformis,Abudefduf conformis,species,Abudefduf conformis,Abudefduf conformis,Abudefduf,Pomacentridae,Actinopterygii,273697,1,
6,Abudefduf luridus,Abudefduf luridus,species,Abudefduf luridus,Similiparma lurida,Similiparma,Pomacentridae,Actinopterygii,889885,1,
7,Abudefduf notatus,Abudefduf notatus,species,Abudefduf notatus,Abudefduf notatus,Abudefduf,Pomacentridae,Actinopterygii,212870,1,
8,Abudefduf saxatilis,Abudefduf saxatilis,species,Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf,Pomacentridae,Actinopterygii,159288,1,
9,Abudefduf septemfasciatus,Abudefduf septemfasciatus,species,Abudefduf septemfasciatus,Abudefduf septemfasciatus,Abudefduf,Pomacentridae,Actinopterygii,212878,1,
10,Abudefduf sexfasciatus,Abudefduf sexfasciatus,species,Abudefduf sexfasciatus,Abudefduf sexfasciatus,Abudefduf,Pomacentridae,Actinopterygii,159289,1,
11,Abudefduf sordidus,Abudefduf sordidus,species,Abudefduf sordidus,Abudefduf sordidus,Abudefduf,Pomacentridae,Actinopterygii,212888,1,
12,Abudefduf sparoides,Abudefduf sparoides,species,Abudefduf sparoides,Abudefduf sparoides,Abudefduf,Pomacentridae,Actinopterygii,212862,1,
13,Abudefduf spp.,Abudefduf spp.,genus,,,Abudefduf,Pomacentridae,Actinopterygii,,,
14,Abudefduf troschelii,Abudefduf troschelii,species,Abudefduf troschelii,Abudefduf troschelii,Abudefduf,Pomacentridae,Actinopterygii,273702,1,
15,Abudefduf vaigiensis,Abudefduf vaigiensis,species,Abudefduf vaigiensis,Abudefduf vaigiensis,Abudefduf,Pomacentridae,Actinopterygii,212879,1,
16,Abudefduf whitleyi,Abudefduf whitleyi,species,Abudefduf whitleyi,Abudefduf whitleyi,Abudefduf,Pomacentridae,Actinopterygii,273703,1,
17,Acanthaluteres brownii,Acanthaluteres brownii,species,Acanthaluteres brownii,Acanthaluteres brownii,Acanthaluteres,Monacanthidae,Actinopterygii,279462,1,
18,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,species,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Acanthaluteres,Monacanthidae,Actinopterygii,279463,1,
19,Acanthaluteres vittiger,Acanthaluteres vittiger,species,Acanthaluteres vittiger,Acanthaluteres vittiger,Acanthaluteres,Monacanthidae,Actinopterygii,279464,1,
20,Acanthemblemaria crockeri,Acanthemblemaria crockeri,species,Acanthemblemaria crockeri,Acanthemblemaria crockeri,Acanthemblemaria,Chaenopsidae,Actinopterygii,279449,1,
21,Acanthemblemaria hancocki,Acanthemblemaria hancocki,species,Acanthemblemaria hancocki,Acanthemblemaria hancocki,Acanthemblemaria,Chaenopsidae,Actinopterygii,279452,1,
22,Acanthemblemaria spinosa,Acanthemblemaria spinosa,species,Acanthemblemaria spinosa,Acanthemblemaria spinosa,Acanthemblemaria,Chaenopsidae,Actinopterygii,254883,1,
23,Acanthistius cinctus,Acanthistius cinctus,species,Acanthistius cinctus,Acanthistius cinctus,Acanthistius,Serranidae,Actinopterygii,278721,1,
24,Acanthistius ocellatus,Acanthistius ocellatus,species,Acanthistius ocellatus,Acanthistius ocellatus,Acanthistius,Serranidae,Actinopterygii,278723,1,
25,Acanthistius pardalotus,Acanthistius pardalotus,species,Acanthistius pardalotus,Acanthistius pardalotus,Acanthistius,Serranidae,Actinopterygii,278724,1,
26,Acanthistius patachonicus,Acanthistius patachonicus,species,Acanthistius patachonicus,Acanthistius patachonicus,Acanthistius,Serranidae,Actinopterygii,278725,1,
27,Acanthistius sebastoides,Acanthistius sebastoides,species,Acanthistius sebastoides,Acanthistius sebastoides,Acanthistius,Serranidae,Actinopterygii,218166,1,
28,Acanthistius serratus,Acanthistius serratus,species,Acanthistius serratus,Acanthistius serratus,Acanthistius,Serranidae,Actinopterygii,278728,1,
29,Acanthochromis polyacanthus,Acanthochromis polyacanthus,species,Acanthochromis polyacanthus,Acanthochromis polyacanthus,Acanthochromis,Pomacentridae,Actinopterygii,279469,1,
30,Acanthocybium solandri,Acanthocybium solandri,species,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium,Scombridae,Actinopterygii,127014,1,
31,Acanthopagrus australis,Acanthopagrus australis,species,Acanthopagrus australis,Acanthopagrus australis,Acanthopagrus,Sparidae,Actinopterygii,279070,1,
32,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,species,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Acanthopagrus,Sparidae,Actinopterygii,218589,1,
33,Acanthopagrus latus,Acanthopagrus latus,species,Acanthopagrus latus,Acanthopagrus latus,Acanthopagrus,Sparidae,Actinopterygii,218587,1,
34,Acanthostracion polygonius,Acanthostracion polygonius,species,Acanthostracion polygonius,Acanthostracion polygonius,Acanthostracion,Ostraciidae,Actinopterygii,158919,1,
35,Acanthostracion quadricornis,Acanthostracion quadricornis,species,Acanthostracion quadricornis,Acanthostracion quadricornis,Acanthostracion,Ostraciidae,Actinopterygii,158920,1,
36,Acanthurid spp.,Acanthurid spp.,higher,,,,,,,,
37,Acanthurus achilles,Acanthurus achilles,species,Acanthurus achilles,Acanthurus achilles,Acanthurus,Acanthuridae,Actinopterygii,272957,1,
38,Acanthurus albipectoralis,Acanthurus albipectoralis,species,Acanthurus albipectoralis,Acanthurus albipectoralis,Acanthurus,Acanthuridae,Actinopterygii,272958,1,
39,Acanthurus auranticavus,Acanthurus auranticavus,species,Acanthurus auranticavus,Acanthurus auranticavus,Acanthurus,Acanthuridae,Actinopterygii,219633,1,
40,Acanthurus bahianus,Acanthurus bahianus,species,Acanthurus bahianus,Acanthurus bahianus,Acanthurus,Acanthuridae,Actinopterygii,159578,1,
41,Acanthurus bariene,Acanthurus bariene,species,Acanthurus bariene,Acanthurus bariene,Acanthurus,Acanthuridae,Actinopterygii,219637,1,
42,Acanthurus blochii,Acanthurus blochii,species,Acanthurus blochii,Acanthurus blochii,Acanthurus,Acanthuridae,Actinopterygii,219639,1,
43,Acanthurus chirurgus,Acanthurus chirurgus,species,Acanthurus chirurgus,Acanthurus chirurgus,Acanthurus,Acanthuridae,Actinopterygii,159580,1,
44,Acanthurus coeruleus,Acanthurus coeruleus,species,Acanthurus coeruleus,Acanthurus coeruleus,Acanthurus,Acanthuridae,Actinopterygii,159581,1,
45,Acanthurus dussumieri,Acanthurus dussumieri,species,Acanthurus dussumieri,Acanthurus dussumieri,Acanthurus,Acanthuridae,Actinopterygii,219641,1,
46,Acanthurus fowleri,Acanthurus fowleri,species,Acanthurus fowleri,Acanthurus fowleri,Acanthurus,Acanthuridae,Actinopterygii,272960,1,
47,Acanthurus gahhm,Acanthurus gahhm,species,Acanthurus gahhm,Acanthurus gahhm,Acanthurus,Acanthuridae,Actinopterygii,219636,1,
48,Acanthurus grammoptilus,Acanthurus grammoptilus,species,Acanthurus grammoptilus,Acanthurus grammoptilus,Acanthurus,Acanthuridae,Actinopterygii,272961,1,
49,Acanthurus grammoptilus (cf),Acanthurus spp.,species,Acanthurus grammoptilus,Acanthurus grammoptilus,Acanthurus,Acanthuridae,Actinopterygii,272961,1,
50,Acanthurus guttatus,Acanthurus guttatus,species,Acanthurus guttatus,Acanthurus guttatus,Acanthurus,Acanthuridae,Actinopterygii,219650,1,
51,Acanthurus leucocheilus,Acanthurus leucocheilus,species,Acanthurus leucocheilus,Acanthurus leucocheilus,Acanthurus,Acanthuridae,Actinopterygii,219629,1,
52,Acanthurus leucopareius,Acanthurus leucopareius,species,Acanthurus leucopareius,Acanthurus leucopareius,Acanthurus,Acanthuridae,Actinopterygii,219624,1,
53,Acanthurus leucosternon,Acanthurus leucosternon,species,Acanthurus leucosternon,Acanthurus leucosternon,Acanthurus,Acanthuridae,Actinopterygii,219628,1,
54,Acanthurus lineatus,Acanthurus lineatus,species,Acanthurus lineatus,Acanthurus lineatus,Acanthurus,Acanthuridae,Actinopterygii,159582,1,
55,Acanthurus maculiceps,Acanthurus maculiceps,species,Acanthurus maculiceps,Acanthurus maculiceps,Acanthurus,Acanthuridae,Actinopterygii,272963,1,
56,Acanthurus mata,Acanthurus mata,species,Acanthurus mata,Acanthurus mata,Acanthurus,Acanthuridae,Actinopterygii,219651,1,
57,Acanthurus nigricans,Acanthurus nigricans,species,Acanthurus nigricans,Acanthurus nigricans,Acanthurus,Acanthuridae,Actinopterygii,219638,1,
58,Acanthurus nigricauda,Acanthurus nigricauda,species,Acanthurus nigricauda,Acanthurus nigricauda,Acanthurus,Acanthuridae,Actinopterygii,219626,1,
59,Acanthurus nigrofuscus,Acanthurus nigrofuscus,species,Acanthurus nigrofuscus,Acanthurus nigrofuscus,Acanthurus,Acanthuridae,Actinopterygii,219640,1,
60,Acanthurus nigroris,Acanthurus nigroris,species,Acanthurus nigroris,Acanthurus nigroris,Acanthurus,Acanthuridae,Actinopterygii,219642,1,
61,Acanthurus nubilus,Acanthurus nubilus,species,Acanthurus nubilus,Acanthurus nubilus,Acanthurus,Acanthuridae,Actinopterygii,272964,1,
62,Acanthurus olivaceus,Acanthurus olivaceus,species,Acanthurus olivaceus,Acanthurus olivaceus,Acanthurus,Acanthuridae,Actinopterygii,219625,1,
63,Acanthurus pyroferus,Acanthurus pyroferus,species,Acanthurus pyroferus,Acanthurus pyroferus,Acanthurus,Acanthuridae,Actinopterygii,219648,1,
64,Acanthurus reversus,Acanthurus reversus,species,Acanthurus reversus,Acanthurus reversus,Acanthurus,Acanthuridae,Actinopterygii,272966,1,
65,Acanthurus sohal,Acanthurus sohal,species,Acanthurus sohal,Acanthurus sohal,Acanthurus,Acanthuridae,Actinopterygii,219649,1,
66,Acanthurus spp.,Acanthurus spp.,genus,,,Acanthurus,Acanthuridae,Actinopterygii,,,
67,Acanthurus tennentii,Acanthurus tennentii,species,Acanthurus tennentii,Acanthurus tennentii,Acanthurus,Acanthuridae,Actinopterygii,219632,1,
68,Acanthurus thompsoni,Acanthurus thompsoni,species,Acanthurus thompsoni,Acanthurus thompsoni,Acanthurus,Acanthuridae,Actinopterygii,219646,1,
69,Acanthurus tractus,Acanthurus tractus,species,Acanthurus tractus,Acanthurus tractus,Acanthurus,Acanthuridae,Actinopterygii,301914,1,
70,Acanthurus triostegus,Acanthurus triostegus,species,Acanthurus triostegus,Acanthurus triostegus,Acanthurus,Acanthuridae,Actinopterygii,219630,1,
71,Acanthurus tristis,Acanthurus tristis,species,Acanthurus tristis,Acanthurus tristis,Acanthurus,Acanthuridae,Actinopterygii,219644,1,
72,Acanthurus xanthopterus,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Acanthurus xanthopterus,Acanthurus,Acanthuridae,Actinopterygii,219634,1,
73,Achoerodus gouldii,Achoerodus gouldii,species,Achoerodus gouldii,Achoerodus gouldii,Achoerodus,Labridae,Actinopterygii,279497,1,
74,Achoerodus viridis,Achoerodus viridis,species,Achoerodus viridis,Achoerodus viridis,Achoerodus,Labridae,Actinopterygii,279498,1,
75,Actinopterygii spp.,Actinopterygii spp.,higher,,,,,,,,
76,Aeoliscus strigatus,Aeoliscus strigatus,species,Aeoliscus strigatus,Aeoliscus strigatus,Aeoliscus,Centriscidae,Actinopterygii,217968,1,
77,Aetapcus maculatus,Aetapcus maculatus,species,Aetapcus maculatus,Aetapcus maculatus,Aetapcus,Pataecidae,Actinopterygii,279511,1,
78,Aethaloperca rogaa,Aethaloperca rogaa,species,Aethaloperca rogaa,Aethaloperca rogaa,Aethaloperca,Serranidae,Actinopterygii,218168,1,
79,Aetobatus narinari,Aetobatus narinari,species,Aetobatus narinari,Aetobatus narinari,Aetobatus,Aetobatidae,Elasmobranchii,217426,1,
80,Aetobatus ocellatus,Aetobatus ocellatus,species,Aetobatus ocellatus,Aetobatus ocellatus,Aetobatus,Aetobatidae,Elasmobranchii,278243,1,
81,Afurcagobius tamarensis,Afurcagobius tamarensis,species,Afurcagobius tamarensis,Afurcagobius tamarensis,Afurcagobius,Gobiidae,Actinopterygii,279515,1,
82,Aioliops megastigma,Aioliops megastigma,species,Aioliops megastigma,Aioliops megastigma,Aioliops,Microdesmidae,Actinopterygii,279528,1,
83,Aioliops novaeguineae,Aioliops novaeguineae,species,Aioliops novaeguineae,Aioliops novaeguineae,Aioliops,Microdesmidae,Actinopterygii,279529,1,
84,Aioliops spp.,Aioliops spp.,genus,,,Aioliops,Microdesmidae,Actinopterygii,,,
85,Alectis ciliaris,Alectis ciliaris,species,Alectis ciliaris,Alectis ciliaris,Alectis,Carangidae,Actinopterygii,159629,1,
86,Alectis indica,Alectis indicus,species,Alectis indica,Alectis indica,Alectis,Carangidae,Actinopterygii,401562,1,
87,Alepes spp.,Alepes spp.,genus,,,Alepes,Carangidae,Actinopterygii,,,
88,Alloclinus holderi,Alloclinus holderi,species,Alloclinus holderi,Alloclinus holderi,Alloclinus,Labrisomidae,Actinopterygii,279560,1,
89,Allomycterus pilatus,Allomycterus pilatus,species,Allomycterus pilatus,Allomycterus pilatus,Allomycterus,Diodontidae,Actinopterygii,279562,1,
90,Alphestes immaculatus,Alphestes immaculatus,species,Alphestes immaculatus,Alphestes immaculatus,Alphestes,Serranidae,Actinopterygii,279568,1,
91,Aluterus scriptus,Aluterus scriptus,species,Aluterus scriptus,Aluterus scriptus,Aluterus,Monacanthidae,Actinopterygii,159491,1,
92,Amanses scopas,Amanses scopas,species,Amanses scopas,Amanses scopas,Amanses,Monacanthidae,Actinopterygii,212242,1,
93,Amanses spp.,Amanses spp.,genus,,,Amanses,Monacanthidae,Actinopterygii,,,
94,Ambassis jacksoniensis,Ambassis jacksoniensis,species,Ambassis jacksoniensis,Ambassis jacksoniensis,Ambassis,Ambassidae,Actinopterygii,277734,1,
95,Amblycirrhitus bimacula,Amblycirrhitus bimacula,species,Amblycirrhitus bimacula,Amblycirrhitus bimacula,Amblycirrhitus,Cirrhitidae,Actinopterygii,218851,1,
96,Amblycirrhitus pinos,Amblycirrhitus pinos,species,Amblycirrhitus pinos,Amblycirrhitus pinos,Amblycirrhitus,Cirrhitidae,Actinopterygii,277569,1,
97,Amblyeleotris fasciata,Amblyeleotris fasciata,species,Amblyeleotris fasciata,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopterygii,278965,1,
97,Amblyeleotris fasciata,Amblyeleotris fasciata,species,Amblyeleotris fasciata,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopterygii,278965,1,
98,Amblyeleotris guttata,Amblyeleotris guttata,species,Amblyeleotris guttata,Amblyeleotris guttata,Amblyeleotris,Gobiidae,Actinopterygii,278967,1,
99,Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,species,Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,Amblyeleotris,Gobiidae,Actinopterygii,278968,1,
100,Amblyeleotris japonica,Amblyeleotris japonica,species,Amblyeleotris japonica,Amblyeleotris japonica,Amblyeleotris,Gobiidae,Actinopterygii,278970,1,
101,Amblyeleotris katherine,Amblyeleotris katherine,species,Amblyeleotris katherine,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopterygii,278965,1,
101,Amblyeleotris katherine,Amblyeleotris katherine,species,Amblyeleotris katherine,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopterygii,278965,1,
102,Amblyeleotris periophthalma,Amblyeleotris periophthalma,species,Amblyeleotris periophthalma,Amblyeleotris periophthalma,Amblyeleotris,Gobiidae,Actinopterygii,278979,1,
103,Amblyeleotris spp.,Amblyeleotris spp.,genus,,,Amblyeleotris,Gobiidae,Actinopterygii,,,
104,Amblyeleotris steinitzi,Amblyeleotris steinitzi,species,Amblyeleotris steinitzi,Amblyeleotris steinitzi,Amblyeleotris,Gobiidae,Actinopterygii,209273,1,
105,Amblyeleotris sungami,Amblyeleotris sungami,species,Amblyeleotris sungami,Amblyeleotris sungami,Amblyeleotris,Gobiidae,Actinopterygii,209270,1,
106,Amblyeleotris wheeleri,Amblyeleotris wheeleri,species,Amblyeleotris wheeleri,Amblyeleotris wheeleri,Amblyeleotris,Gobiidae,Actinopterygii,209274,1,
107,Amblyglyphidodon aureus,Amblyglyphidodon aureus,species,Amblyglyphidodon aureus,Amblyglyphidodon aureus,Amblyglyphidodon,Pomacentridae,Actinopterygii,277595,1,
108,Amblyglyphidodon batunai,Amblyglyphidodon batunai,species,Amblyglyphidodon batunai,Amblyglyphidodon batunai,Amblyglyphidodon,Pomacentridae,Actinopterygii,277596,1,
109,Amblyglyphidodon curacao,Amblyglyphidodon curacao,species,Amblyglyphidodon curacao,Amblyglyphidodon curacao,Amblyglyphidodon,Pomacentridae,Actinopterygii,277597,1,
110,Amblyglyphidodon flavilatus,Amblyglyphidodon flavilatus,species,Amblyglyphidodon flavilatus,Amblyglyphidodon flavilatus,Amblyglyphidodon,Pomacentridae,Actinopterygii,218778,1,
111,Amblyglyphidodon indicus,Amblyglyphidodon indicus,species,Amblyglyphidodon indicus,Amblyglyphidodon indicus,Amblyglyphidodon,Pomacentridae,Actinopterygii,277598,1,
112,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,species,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,Amblyglyphidodon,Pomacentridae,Actinopterygii,218779,1,
113,Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,species,Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,Amblyglyphidodon,Pomacentridae,Actinopterygii,277599,1,
114,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,species,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,Amblyglyphidodon,Pomacentridae,Actinopterygii,277600,1,
115,Amblyglyphidodon spp.,Amblyglyphidodon spp.,genus,,,Amblyglyphidodon,Pomacentridae,Actinopterygii,,,
116,Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,species,Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,Amblyglyphidodon,Pomacentridae,Actinopterygii,277601,1,
117,Amblygobius buanensis,Amblygobius buanensis,species,Amblygobius buanensis,Amblygobius buanensis,Amblygobius,Gobiidae,Actinopterygii,278649,1,
118,Amblygobius bynoensis,Amblygobius bynoensis,species,Amblygobius bynoensis,Amblygobius bynoensis,Amblygobius,Gobiidae,Actinopterygii,278650,1,
119,Amblygobius decussatus,Amblygobius decussatus,species,Amblygobius decussatus,Amblygobius decussatus,Amblygobius,Gobiidae,Actinopterygii,278651,1,
120,Amblygobius nocturnus,Amblygobius nocturnus,species,Amblygobius nocturnus,Amblygobius nocturnus,Amblygobius,Gobiidae,Actinopterygii,219377,1,
121,Amblygobius phalaena,Amblygobius phalaena,species,Amblygobius phalaena,Amblygobius phalaena,Amblygobius,Gobiidae,Actinopterygii,278655,1,
122,Amblygobius spp.,Amblygobius spp.,genus,,,Amblygobius,Gobiidae,Actinopterygii,,,
123,Amblyrhynchotes honckenii,Amblyrhynchotes honckenii,species,Amblyrhynchotes honckenii,Amblyrhynchotes honckenii,Amblyrhynchotes,Tetraodontidae,Actinopterygii,219919,1,
124,Ammodytes tobianus,Ammodytes tobianus,species,Ammodytes tobianus,Ammodytes tobianus,Ammodytes,Ammodytidae,Actinopterygii,126752,1,
125,Amphichaetodon howensis,Amphichaetodon howensis,species,Amphichaetodon howensis,Amphichaetodon howensis,Amphichaetodon,Chaetodontidae,Actinopterygii,279588,1,
126,Amphichthys cryptocentrus,Amphichthys cryptocentrus,species,Amphichthys cryptocentrus,Amphichthys cryptocentrus,Amphichthys,Batrachoididae,Actinopterygii,279590,1,
127,Amphiprion akallopisos,Amphiprion akallopisos,species,Amphiprion akallopisos,Amphiprion akallopisos,Amphiprion,Pomacentridae,Actinopterygii,212770,1,
128,Amphiprion akindynos,Amphiprion akindynos,species,Amphiprion akindynos,Amphiprion akindynos,Amphiprion,Pomacentridae,Actinopterygii,278392,1,
129,Amphiprion allardi,Amphiprion allardi,species,Amphiprion allardi,Amphiprion allardi,Amphiprion,Pomacentridae,Actinopterygii,212771,1,
130,Amphiprion bicinctus,Amphiprion bicinctus,species,Amphiprion bicinctus,Amphiprion bicinctus,Amphiprion,Pomacentridae,Actinopterygii,212778,1,
131,Amphiprion chrysopterus,Amphiprion chrysopterus,species,Amphiprion chrysopterus,Amphiprion chrysopterus,Amphiprion,Pomacentridae,Actinopterygii,278393,1,
132,Amphiprion clarkii,Amphiprion clarkii,species,Amphiprion clarkii,Amphiprion clarkii,Amphiprion,Pomacentridae,Actinopterygii,212783,1,
133,Amphiprion ephippium,Amphiprion ephippium,species,Amphiprion ephippium,Amphiprion ephippium,Amphiprion,Pomacentridae,Actinopterygii,212782,1,
134,Amphiprion frenatus,Amphiprion frenatus,species,Amphiprion frenatus,Amphiprion frenatus,Amphiprion,Pomacentridae,Actinopterygii,278394,1,
135,Amphiprion fuscocaudatus,Amphiprion fuscocaudatus,species,Amphiprion fuscocaudatus,Amphiprion fuscocaudatus,Amphiprion,Pomacentridae,Actinopterygii,212774,1,
136,Amphiprion latezonatus,Amphiprion latezonatus,species,Amphiprion latezonatus,Amphiprion latezonatus,Amphiprion,Pomacentridae,Actinopterygii,278395,1,
137,Amphiprion leucokranos,Amphiprion leucokranos,species,Amphiprion leucokranos,Amphiprion leucokranos,Amphiprion,Pomacentridae,Actinopterygii,278396,1,
138,Amphiprion mccullochi,Amphiprion mccullochi,species,Amphiprion mccullochi,Amphiprion mccullochi,Amphiprion,Pomacentridae,Actinopterygii,278397,1,
139,Amphiprion melanopus,Amphiprion melanopus,species,Amphiprion melanopus,Amphiprion melanopus,Amphiprion,Pomacentridae,Actinopterygii,278398,1,
140,Amphiprion nigripes,Amphiprion nigripes,species,Amphiprion nigripes,Amphiprion nigripes,Amphiprion,Pomacentridae,Actinopterygii,278399,1,
141,Amphiprion ocellaris,Amphiprion ocellaris,species,Amphiprion ocellaris,Amphiprion ocellaris,Amphiprion,Pomacentridae,Actinopterygii,278400,1,
142,Amphiprion percula,Amphiprion percula,species,Amphiprion percula,Amphiprion percula,Amphiprion,Pomacentridae,Actinopterygii,278402,1,
143,Amphiprion perideraion,Amphiprion perideraion,species,Amphiprion perideraion,Amphiprion perideraion,Amphiprion,Pomacentridae,Actinopterygii,278403,1,
144,Amphiprion polymnus,Amphiprion polymnus,species,Amphiprion polymnus,Amphiprion polymnus,Amphiprion,Pomacentridae,Actinopterygii,212781,1,
145,Amphiprion rubrocinctus,Amphiprion rubrocinctus,species,Amphiprion rubrocinctus,Amphiprion rubrocinctus,Amphiprion,Pomacentridae,Actinopterygii,278404,1,
146,Amphiprion sandaracinos,Amphiprion sandaracinos,species,Amphiprion sandaracinos,Amphiprion sandaracinos,Amphiprion,Pomacentridae,Actinopterygii,278405,1,
147,Amphiprion spp.,Amphiprion spp.,genus,,,Amphiprion,Pomacentridae,Actinopterygii,,,
148,Amphistichus koelzi,Amphistichus koelzi,species,Amphistichus koelzi,Amphistichus koelzi,Amphistichus,Embiotocidae,Actinopterygii,279595,1,
149,Anampses caeruleopunctatus,Anampses caeruleopunctatus,species,Anampses caeruleopunctatus,Anampses caeruleopunctatus,Anampses,Labridae,Actinopterygii,218920,1,
150,Anampses cuvier,Anampses cuvier,species,Anampses cuvier,Anampses cuvier,Anampses,Labridae,Actinopterygii,279169,1,
151,Anampses elegans,Anampses elegans,species,Anampses elegans,Anampses elegans,Anampses,Labridae,Actinopterygii,279170,1,
152,Anampses femininus,Anampses femininus,species,Anampses femininus,Anampses femininus,Anampses,Labridae,Actinopterygii,279171,1,
153,Anampses geographicus,Anampses geographicus,species,Anampses geographicus,Anampses geographicus,Anampses,Labridae,Actinopterygii,218916,1,
154,Anampses lennardi,Anampses lennardi,species,Anampses lennardi,Anampses lennardi,Anampses,Labridae,Actinopterygii,279172,1,
155,Anampses lineatus,Anampses lineatus,species,Anampses lineatus,Anampses lineatus,Anampses,Labridae,Actinopterygii,218921,1,
156,Anampses melanurus,Anampses melanurus,species,Anampses melanurus,Anampses melanurus,Anampses,Labridae,Actinopterygii,279173,1,
157,Anampses meleagrides,Anampses meleagrides,species,Anampses meleagrides,Anampses meleagrides,Anampses,Labridae,Actinopterygii,218923,1,
158,Anampses neoguinaicus,Anampses neoguinaicus,species,Anampses neoguinaicus,Anampses neoguinaicus,Anampses,Labridae,Actinopterygii,279174,1,
159,Anampses spp.,Anampses spp.,genus,,,Anampses,Labridae,Actinopterygii,,,
160,Anampses twistii,Anampses twistii,species,Anampses twistii,Anampses twistii,Anampses,Labridae,Actinopterygii,218918,1,
161,Anarrhichthys ocellatus,Anarrhichthys ocellatus,species,Anarrhichthys ocellatus,Anarrhichthys ocellatus,Anarrhichthys,Anarhichadidae,Actinopterygii,279605,1,
162,Anguilla anguilla,Anguilla anguilla,species,Anguilla anguilla,Anguilla anguilla,Anguilla,Anguillidae,Actinopterygii,126281,1,
163,Anisotremus caesius,Anisotremus caesius,species,Anisotremus caesius,Anisotremus caesius,Anisotremus,Haemulidae,Actinopterygii,279616,1,
164,Anisotremus davidsonii,Anisotremus davidsonii,species,Anisotremus davidsonii,Anisotremus davidsonii,Anisotremus,Haemulidae,Actinopterygii,279617,1,
165,Anisotremus interruptus,Anisotremus interruptus,species,Anisotremus interruptus,Anisotremus interruptus,Anisotremus,Haemulidae,Actinopterygii,279619,1,
166,Anisotremus scapularis,Anisotremus scapularis,species,Anisotremus scapularis,Anisotremus scapularis,Anisotremus,Haemulidae,Actinopterygii,279622,1,
167,Anisotremus surinamensis,Anisotremus surinamensis,species,Anisotremus surinamensis,Anisotremus surinamensis,Anisotremus,Haemulidae,Actinopterygii,279623,1,
168,Anisotremus taeniatus,Anisotremus taeniatus,species,Anisotremus taeniatus,Anisotremus taeniatus,Anisotremus,Haemulidae,Actinopterygii,279624,1,
169,Anisotremus virginicus,Anisotremus virginicus,species,Anisotremus virginicus,Anisotremus virginicus,Anisotremus,Haemulidae,Actinopterygii,279625,1,
170,Anoplocapros amygdaloides,Anoplocapros amygdaloides,species,Anoplocapros amygdaloides,Anoplocapros amygdaloides,Anoplocapros,Aracanidae,Actinopterygii,277921,1,
171,Anoplocapros inermis,Anoplocapros inermis,species,Anoplocapros inermis,Anoplocapros inermis,Anoplocapros,Aracanidae,Actinopterygii,277922,1,
172,Anoplocapros lenticularis,Anoplocapros lenticularis,species,Anoplocapros lenticularis,Anoplocapros lenticularis,Anoplocapros,Aracanidae,Actinopterygii,277923,1,
173,Anthias anthias,Anthias anthias,species,Anthias anthias,Anthias anthias,Anthias,Serranidae,Actinopterygii,127031,1,
174,Anyperodon leucogrammicus,Anyperodon leucogrammicus,species,Anyperodon leucogrammicus,Anyperodon leucogrammicus,Anyperodon,Serranidae,Actinopterygii,212549,1,
175,Aphareus furca,Aphareus furca,species,Aphareus furca,Aphareus furca,Aphareus,Lutjanidae,Actinopterygii,218470,1,
176,Aphareus rutilans,Aphareus rutilans,species,Aphareus rutilans,Aphareus rutilans,Aphareus,Lutjanidae,Actinopterygii,218468,1,
177,Aploactisoma milesii,Aploactisoma milesii,species,Aploactisoma milesii,Aploactisoma milesii,Aploactisoma,Aploactinidae,Actinopterygii,279647,1,
