ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
903,Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,species,Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,Dunckerocampus,Syngnathidae,Actinopterygii,218005,1,
904,Echeneis naucrates,Echeneis naucrates,species,Echeneis naucrates,Echeneis naucrates,Echeneis,Echeneidae,Actinopterygii,126848,1,
905,Echeneis neucratoides,Echeneis neucratoides,species,Echeneis neucratoides,Echeneis neucratoides,Echeneis,Echeneidae,Actinopterygii,159678,1,
906,Echidna nebulosa,Echidna nebulosa,species,Echidna nebulosa,Echidna nebulosa,Echidna,Muraenidae,Actinopterygii,217469,1,
907,Echidna nocturna,Echidna nocturna,species,Echidna nocturna,Echidna nocturna,Echidna,Muraenidae,Actinopterygii,278678,1,
908,Ecsenius ?frontalis,Ecsenius spp.,genus,,,,,,,,
909,Ecsenius aequalis,Ecsenius aequalis,species,Ecsenius aequalis,Ecsenius aequalis,Ecsenius,Blenniidae,Actinopterygii,277646,1,
910,Ecsenius alleni,Ecsenius alleni,species,Ecsenius alleni,Ecsenius alleni,Ecsenius,Blenniidae,Actinopterygii,277647,1,
911,Ecsenius australianus,Ecsenius australianus,species,Ecsenius australianus,Ecsenius australianus,Ecsenius,Blenniidae,Actinopterygii,277648,1,
912,Ecsenius bandanus,Ecsenius bandanus,species,Ecsenius bandanus,Ecsenius bandanus,Ecsenius,Blenniidae,Actinopterygii,277650,1,
913,Ecsenius bathi,Ecsenius bathi,species,Ecsenius bathi,Ecsenius bathi,Ecsenius,Blenniidae,Actinopterygii,277651,1,
914,Ecsenius bicolor,Ecsenius bicolor,species,Ecsenius bicolor,Ecsenius bicolor,Ecsenius,Blenniidae,Actinopterygii,277652,1,
915,Ecsenius fijiensis,Ecsenius fijiensis,species,Ecsenius fijiensis,Ecsenius fijiensis,Ecsenius,Blenniidae,Actinopterygii,277658,1,
