generation,rank_1,rank_2,swapAccepted
354000,1,3,0
355000,2,3,1
356000,1,2,1
357000,1,3,1
358000,1,3,1
359000,2,3,1
360000,1,3,1
361000,1,2,1
362000,2,3,1
363000,1,3,1
364000,2,3,1
365000,1,3,0
366000,2,3,1
367000,2,3,1
368000,2,3,1
369000,1,3,1
370000,2,3,1
371000,2,3,0
372000,1,3,1
373000,1,3,1
374000,2,3,1
375000,2,3,1
376000,2,3,1
377000,1,2,1
378000,1,3,1
379000,1,3,1
380000,1,2,1
381000,2,3,1
382000,1,3,1
383000,1,2,1
384000,1,2,0
385000,2,3,1
386000,1,3,1
387000,1,3,1
388000,2,3,1
389000,1,3,0
390000,2,3,1
391000,1,3,0
392000,2,3,1
393000,1,3,1
394000,1,2,1
395000,2,3,1
396000,1,2,1
397000,2,3,1
398000,1,2,1
399000,1,2,1
400000,1,2,1
401000,1,3,1
402000,2,3,1
403000,2,3,1
404000,1,3,1
405000,1,2,1
406000,1,3,0
407000,2,3,1
408000,1,3,1
409000,1,3,1
410000,1,2,1
411000,1,2,1
412000,2,3,1
413000,1,3,1
414000,1,2,1
415000,1,2,1
416000,1,2,1
417000,2,3,1
418000,1,3,1
419000,1,3,1
420000,1,2,1
421000,1,2,0
422000,1,3,0
423000,1,3,0
424000,1,2,1
425000,2,3,0
426000,1,2,1
427000,2,3,0
428000,2,3,0
429000,2,3,0
430000,1,2,1
431000,2,3,0
432000,2,3,1
433000,1,2,1
434000,2,3,1
435000,1,3,1
436000,1,3,1
437000,2,3,1
438000,2,3,1
439000,1,3,1
440000,2,3,0
441000,1,2,1
442000,1,3,1
443000,1,3,1
444000,1,2,1
445000,1,2,1
446000,1,3,0
447000,1,3,1
448000,2,3,1
449000,1,3,1
450000,1,3,1
451000,2,3,1
452000,1,3,1
453000,1,3,1
454000,2,3,1
455000,1,2,1
456000,1,2,1
457000,1,3,1
458000,1,3,0
459000,1,2,1
460000,1,2,1
461000,1,2,1
462000,1,3,1
463000,1,3,1
464000,1,2,1
465000,1,3,1
466000,2,3,1
467000,1,3,1
468000,1,2,0
469000,1,3,1
470000,1,2,1
471000,2,3,1
472000,1,2,1
473000,1,3,1
474000,2,3,1
475000,1,3,0
476000,1,2,1
477000,2,3,1
478000,1,3,1
479000,2,3,1
480000,1,3,0
481000,1,3,0
482000,1,3,0
483000,2,3,1
484000,1,2,1
485000,1,3,1
486000,1,3,0
487000,1,3,1
488000,1,3,1
489000,2,3,0
490000,2,3,1
491000,2,3,1
492000,1,3,0
493000,2,3,0
494000,1,2,1
495000,1,2,0
496000,1,2,0
497000,1,3,0
498000,1,3,0
499000,1,3,0
500000,2,3,0
501000,2,3,0
502000,2,3,1
503000,2,3,1
504000,1,2,0
505000,1,3,0
506000,2,3,1
507000,2,3,1
508000,2,3,1
509000,2,3,1
510000,1,2,0
511000,1,3,0
512000,1,3,0
513000,2,3,1
514000,1,3,0
515000,1,3,0
516000,1,3,0
517000,2,3,1
518000,1,2,0
519000,2,3,0
520000,1,3,0
521000,1,3,0
522000,1,3,0
523000,2,3,1
524000,1,3,1
525000,1,2,1
526000,2,3,1
527000,1,2,1
528000,2,3,1
529000,2,3,1
530000,2,3,1
531000,1,3,0
532000,2,3,0
533000,1,2,1
534000,2,3,0
535000,2,3,0
536000,1,3,0
537000,1,2,1
538000,1,3,0
539000,1,2,0
540000,2,3,0
541000,1,3,0
542000,1,2,1
543000,2,3,0
544000,1,3,0
545000,1,3,0
546000,1,3,0
547000,1,2,1
548000,1,3,0
549000,1,3,0
550000,1,3,0
551000,1,3,0
552000,1,3,0
553000,2,3,0
554000,1,3,0
555000,1,3,0
556000,2,3,1
557000,2,3,1
558000,1,3,0
559000,2,3,0
560000,1,2,1
561000,1,3,0
562000,1,2,1
563000,1,3,0
564000,2,3,0
565000,1,3,0
566000,2,3,0
567000,1,2,0
568000,2,3,0
569000,1,2,1
570000,2,3,0
571000,1,2,1
572000,1,2,0
573000,2,3,0
574000,2,3,0
575000,1,2,1
576000,1,2,1
577000,2,3,0
578000,1,2,1
579000,2,3,0
580000,1,3,0
581000,1,2,1
582000,2,3,1
583000,2,3,1
584000,2,3,0
585000,1,3,0
586000,2,3,0
587000,1,3,0
588000,2,3,0
589000,2,3,0
590000,1,2,1
591000,1,2,1
592000,2,3,1
593000,1,3,0
594000,2,3,1
595000,1,3,0
596000,1,3,0
597000,2,3,0
598000,2,3,0
599000,2,3,0
600000,2,3,0
601000,1,2,1
602000,1,3,0
603000,1,3,0
604000,1,3,0
605000,1,3,0
606000,1,2,1
607000,2,3,0
608000,1,3,0
609000,1,3,0
610000,1,3,0
611000,1,3,0
612000,1,3,0
613000,1,2,0
614000,1,2,0
615000,1,2,0
616000,1,3,0
617000,1,2,0
618000,1,2,1
619000,1,2,1
620000,1,3,0
621000,1,2,0
622000,1,3,1
623000,1,2,1
624000,1,2,0
625000,1,3,1
626000,1,2,0
627000,2,3,1
628000,2,3,0
629000,1,3,0
630000,1,3,0
631000,2,3,0
632000,1,3,0
633000,1,3,0
634000,1,2,1
635000,1,2,1
636000,2,3,0
637000,1,2,0
638000,1,2,0
639000,2,3,0
640000,1,2,1
641000,2,3,1
642000,1,3,1
643000,1,2,0
644000,1,2,0
645000,1,3,0
646000,1,2,1
647000,1,2,1
648000,1,3,1
649000,1,2,1
650000,2,3,1
651000,2,3,0
652000,2,3,1
653000,2,3,1
654000,1,2,1
655000,1,2,0
656000,2,3,1
657000,1,3,0
658000,2,3,0
659000,2,3,0
660000,1,3,0
661000,1,3,0
662000,1,2,1
663000,1,2,1
664000,1,3,0
665000,2,3,0
666000,1,2,1
667000,2,3,0
668000,1,3,0
669000,1,2,1
670000,1,2,1
671000,1,3,0
672000,1,3,0
673000,2,3,0
674000,2,3,0
675000,2,3,0
676000,1,3,0
677000,1,3,0
678000,1,2,1
679000,2,3,0
680000,2,3,0
681000,2,3,1
682000,2,3,1
683000,1,2,1
684000,1,2,1
685000,1,2,0
686000,1,3,0
687000,1,3,0
688000,1,3,0
689000,1,3,0
690000,2,3,0
691000,1,2,1
692000,1,2,1
693000,2,3,0
694000,1,2,0
695000,1,3,0
696000,2,3,0
697000,1,3,0
698000,1,2,1
699000,2,3,0
700000,1,2,1
701000,1,3,0
702000,1,3,0
703000,1,2,1
704000,2,3,0
705000,1,3,0
706000,2,3,0
707000,1,3,0
708000,1,3,0
709000,1,3,0
710000,1,3,0
711000,1,3,0
712000,1,3,0
713000,2,3,0
714000,2,3,0
715000,2,3,0
716000,1,2,1
717000,2,3,0
718000,1,3,0
719000,1,2,1
720000,2,3,0
721000,1,2,0
722000,2,3,0
723000,1,3,0
724000,1,2,0
725000,1,2,1
726000,2,3,0
727000,1,2,1
728000,1,3,0
729000,1,2,1
730000,2,3,0
731000,1,3,0
732000,2,3,0
733000,1,2,1
734000,2,3,0
735000,1,3,0
736000,1,3,0
737000,1,3,0
738000,1,3,0
739000,1,2,1
740000,1,3,0
