generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.578363,-23027.3,100,1
15000,1,5.2775,-21995.1,2.56878,0.282867
30000,4,18.206,-21941.8,8.66429,0.276324
45000,2,9.29932,-21940.1,1.89574,0.21044
60000,8,29.9224,-21893.8,8.81685,0.303333
75000,2,11.3554,-21970.1,0.775666,0.316783
90000,10,45.7079,-21852,6.83157,0.335367
105000,12,49.7816,-21848,11.7409,0.323733
120000,10,35.6286,-21848.2,8.14913,0.326867
135000,17,81.7742,-21854.5,18.1627,0.318333
150000,15,71.1851,-21870.8,7.82464,0.371267
165000,15,67.0433,-21838.2,23.0194,0.339533
180000,12,53.9343,-21813.8,20.1624,0.337533
195000,12,43.7788,-21814.4,19.1195,0.333533
210000,17,78.9968,-21829.8,17.0287,0.306983
225000,15,65.5162,-21817.1,15.2604,0.353667
240000,14,59.4182,-21807.1,12.0505,0.308467
255000,14,55.8949,-21797.4,7.82044,0.3136
270000,21,81.4445,-21778.2,20.5603,0.336159
285000,21,84.3314,-21780.2,23.969,0.3295
300000,19,85.8755,-21767.4,33.8271,0.359333
315000,19,80.0667,-21751.1,26.5769,0.3714
330000,20,83.8532,-21776.7,27.1316,0.325947
345000,30,136.595,-21756.1,31.9246,0.364947
360000,22,98.1634,-21757.9,23.5357,0.354967
375000,31,132.431,-21739.2,29.7818,0.396433
390000,30,131.036,-21734.5,20.5048,0.378453
405000,25,108.595,-21743.5,22.182,0.347711
420000,39,158.878,-21684,44.0985,0.391111
435000,41,183.982,-21706.2,32.7396,0.391689
450000,37,176.1,-21708,35.9848,0.394
465000,40,159.03,-21687.8,33.1294,0.393867
480000,51,224.671,-21672.2,45.9664,0.398133
495000,45,193.61,-21680.1,35.2125,0.403467
510000,43,184.977,-21672.6,37.5873,0.399933
525000,47,198.656,-21662.6,39.4156,0.3828
540000,53,221.926,-21687.4,50.022,0.4012
555000,63,271.055,-21624.7,62.7789,0.404213
570000,73,328.414,-21646.4,74.5093,0.413867
585000,58,258.981,-21635.6,69.337,0.414933
600000,41,185.696,-21666.3,33.2122,0.393767
615000,54,241.614,-21626,42.5473,0.3827
630000,49,216.345,-21660.2,49.4267,0.382333
645000,51,227.584,-21658.9,58.0126,0.385879
660000,59,267.467,-21646.2,66.6233,0.398833
675000,62,286.8,-21646.9,59.2314,0.4022
690000,65,275.706,-21614.7,65.9245,0.411867
705000,57,252.687,-21618.1,49.4876,0.4134
720000,58,267.914,-21623.9,57.974,0.410667
735000,66,286.891,-21615.9,50.3405,0.410933
750000,68,297.031,-21609.1,91.8646,0.4066
765000,63,270.849,-21630.6,58.5795,0.4224
780000,60,258.931,-21611.2,54.9348,0.397933
795000,71,306.906,-21621.5,66.1858,0.402667
810000,60,248.682,-21612.8,59.6672,0.404667
825000,76,328.151,-21630.7,73.9391,0.411067
840000,77,328.023,-21633.3,69.1079,0.4172
855000,35,147.726,-21692.3,33.1502,0.394871
870000,48,204.414,-21658.8,45.5969,0.399781
885000,68,282.426,-21624.9,75.2577,0.403244
900000,67,285.694,-21626.2,78.9775,0.412267
915000,65,283.749,-21631.4,63.5429,0.410267
930000,62,276.112,-21635.1,54.8197,0.401067
945000,67,290,-21638.1,67.8817,0.397587
960000,67,288.637,-21632.3,68.7746,0.4126
975000,36,162.531,-21682.7,39.5666,0.38885
990000,46,206.245,-21637,56.2528,0.3946
1005000,50,220.316,-21632.6,53.0031,0.401133
1020000,49,200.226,-21640.7,54.2057,0.4088
1035000,58,270.106,-21629.3,56.9674,0.4112
1050000,49,217.559,-21615.2,44.123,0.3854
1065000,60,255.865,-21623.1,64.9688,0.413133
1080000,61,261.686,-21629.9,66.0436,0.409333
1095000,53,210.445,-21647.8,54.1646,0.387513
1110000,53,238.545,-21640.4,63.139,0.393519
1125000,71,308.465,-21621.6,88.7465,0.406644
1140000,58,265.497,-21635.8,51.7392,0.407233
1155000,51,231.934,-21625.1,50.8213,0.3984
