generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.924773,-24227.4,71.668,1
15000,0,0.115558,-22063.4,3.05932,0.147257
30000,1,6.07541,-22061.6,2.1993,0.149567
45000,0,1.2009,-22066.3,0.601243,0.150286
60000,3,16.6519,-22024.1,1.8522,0.2027
75000,2,10.7174,-22023.8,2.85565,0.254133
90000,2,10.9657,-22021.5,1.2659,0.3012
105000,4,18.8221,-21993.4,3.73214,0.292667
120000,4,10.9181,-21995.6,5.14895,0.295533
135000,7,29.2271,-21955.3,13.9217,0.271008
150000,9,36.933,-21945.3,7.28306,0.299789
165000,6,27.7041,-21954,8.46233,0.317333
180000,7,29.5585,-21929.8,8.88367,0.3122
195000,14,64.9245,-21877.7,11.3827,0.32405
210000,7,29.9824,-21935.2,4.90969,0.323856
225000,8,25.9155,-21906.1,12.1988,0.290533
240000,9,35.908,-21875.8,11.2387,0.306
255000,11,40.2253,-21860.3,11.0174,0.319867
270000,17,67.2399,-21859.3,23.5139,0.317067
285000,27,114.282,-21814.2,44.5582,0.337533
300000,30,107.185,-21761.5,33.5931,0.373467
315000,33,142.689,-21776.4,27.022,0.3694
330000,33,130.577,-21759.7,28.5814,0.359533
345000,41,174.924,-21752.7,28.8476,0.3826
360000,39,172.79,-21742,37.1511,0.387333
375000,35,158.602,-21752.1,45.4184,0.375
390000,40,168.006,-21709.1,45.6816,0.3814
405000,42,187.548,-21735,35.726,0.3854
420000,41,179.47,-21721.6,40.7516,0.378533
435000,36,164.594,-21736,40.4281,0.400733
450000,32,141.997,-21779.9,43.5525,0.352324
465000,25,105.343,-21787.2,18.1484,0.325525
480000,37,154.685,-21702.4,29.2871,0.380889
495000,39,177.377,-21708.3,46.292,0.3744
510000,35,160.193,-21728.7,31.5133,0.388267
525000,28,115.396,-21753.7,26.4301,0.38304
540000,38,178.997,-21746.6,42.4923,0.390467
555000,26,110.447,-21729.3,30.9954,0.368111
570000,42,192.784,-21685.7,35.387,0.384683
585000,29,131.509,-21758.3,20.276,0.384178
600000,26,117.011,-21744.3,29.6919,0.363133
615000,48,216.774,-21743.9,45.3951,0.381867
630000,42,189.203,-21684.1,38.4647,0.388383
645000,47,208.123,-21706.9,39.1908,0.3832
660000,45,206.104,-21687.6,58.4643,0.395933
675000,44,188.349,-21700.9,53.4975,0.375333
690000,55,237.997,-21694.6,43.2886,0.38177
705000,44,188.744,-21698.3,36.6161,0.396
720000,42,183.958,-21712.8,46.1289,0.386067
735000,49,220.684,-21665.2,63.2813,0.385133
