generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24246.3,100,0
15000,1,0.372167,-22102.1,1.04546,0.1476
30000,6,22.5951,-22022.5,10.1999,0.218793
45000,7,26.706,-22017.3,10.81,0.294333
60000,6,21.7849,-21973.8,6.60472,0.296067
75000,9,28.8199,-21936.4,7.43289,0.306333
90000,11,44.1516,-21905.4,14.8969,0.324
105000,22,78.0082,-21899.8,30.384,0.356533
120000,9,41.9732,-21978,8.85552,0.281695
135000,17,62.7805,-21886.8,25.7334,0.373433
150000,17,69.6678,-21880.2,25.2233,0.353467
165000,18,63.1731,-21849.2,20.9009,0.369533
180000,23,82.9492,-21837.7,30.9331,0.368867
195000,34,137.693,-21816.1,38.356,0.382067
210000,31,128.65,-21802.4,27.7658,0.3842
225000,40,158.034,-21800.7,29.868,0.397
240000,54,227.156,-21797.8,46.4893,0.4096
255000,42,179.53,-21772.8,56.0557,0.419533
270000,23,95.8495,-21836.3,24.0705,0.35808
285000,36,135.818,-21769.4,38.4671,0.396267
300000,33,147.148,-21776.4,28.8075,0.381333
315000,40,174.12,-21760.9,37.9685,0.391867
330000,33,139.172,-21759.2,50.7186,0.381267
345000,40,172.351,-21757.4,39.8699,0.384133
360000,36,148.635,-21785.8,33.3272,0.392156
375000,33,138.655,-21799.1,34.7778,0.401733
390000,40,171.818,-21775.9,30.7919,0.398733
405000,55,234.687,-21743.2,59.4902,0.416333
420000,52,234.103,-21730.5,53.3507,0.412
435000,39,162.033,-21738.7,32.8126,0.399344
450000,41,176.403,-21738.3,34.5148,0.3817
465000,41,169.167,-21745.2,49.2846,0.3906
480000,43,175.668,-21746.8,55.308,0.395467
495000,39,179.046,-21746.6,45.5649,0.385756
510000,50,224.81,-21739.4,53.918,0.385133
525000,41,164.062,-21740.8,38.2138,0.393533
540000,46,190.519,-21738.3,52.7032,0.396417
555000,59,253.902,-21734.9,54.1164,0.3858
570000,44,163.053,-21734,39.6485,0.3888
585000,49,208.859,-21749.1,51.6013,0.382467
600000,56,235.633,-21729.7,51.8582,0.410133
615000,58,227.803,-21732.8,69.636,0.408
630000,54,208.772,-21716.1,47.6264,0.4084
645000,57,227.682,-21690.1,63.4166,0.404733
660000,67,287.857,-21685.2,73.195,0.403171
675000,70,317.519,-21663.4,64.3051,0.390933
690000,60,241.638,-21709.2,48.9029,0.404956
705000,55,227.365,-21729.2,51.4283,0.4058
720000,48,200.584,-21720.8,50.982,0.403867
735000,58,262.08,-21712.7,67.278,0.4056
750000,51,210.247,-21709.8,60.6589,0.4002
765000,46,178.817,-21702.7,36.9332,0.3998
780000,64,290.103,-21710,51.6115,0.3964
795000,51,209.032,-21723.8,51.5209,0.33689
810000,64,265.981,-21722.3,70.7247,0.399
825000,74,317.908,-21700.2,73.6105,0.395
840000,70,315.979,-21705.2,75.3356,0.405083
855000,79,339.543,-21662.5,84.4635,0.409
870000,79,328.797,-21672.1,90.9514,0.406867
885000,68,280.537,-21684.5,53.9948,0.399467
900000,63,241.825,-21677.6,58.6135,0.399067
915000,68,283.211,-21704.4,63.6066,0.402524
930000,55,235.197,-21703.3,67.4954,0.3982
945000,61,264.393,-21713.6,59.4744,0.392171
960000,66,283.788,-21683.9,52.0836,0.403667
975000,68,298.927,-21678.5,88.8243,0.396644
990000,58,243.255,-21683.4,64.7965,0.4014
1005000,55,246.175,-21695.8,62.4697,0.404167
1020000,61,256.447,-21687.3,72.6182,0.389867
1035000,56,243.282,-21689.3,51.5816,0.396733
1050000,55,241.497,-21698,53.7482,0.392771
1065000,72,306.694,-21703.1,75.7756,0.3942
1080000,57,251.03,-21692.9,51.0195,0.402667
1095000,64,277.501,-21689.7,62.6736,0.4006
1110000,71,312.384,-21680.7,74.6597,0.399983
1125000,64,278.782,-21681.2,61.1235,0.396095
1140000,51,209.242,-21687.3,45.9004,0.393567
1155000,60,247.74,-21663.1,52.0993,0.385533
1170000,67,291.148,-21686.1,81.665,0.385333
1185000,60,260.403,-21698.4,77.0737,0.388
1200000,84,362.176,-21668.5,79.6799,0.419333
1215000,53,223.448,-21721.6,51.7439,0.400117
1230000,84,375.597,-21701,80.4509,0.409367
1245000,74,326.097,-21702.1,83.912,0.426133
1260000,69,311.704,-21695.6,75.199,0.414267
1275000,83,355.974,-21718.4,85.6961,0.4124
1290000,84,357.667,-21702.9,78.7192,0.416133
1305000,75,330.251,-21699.2,75.21,0.4138
1320000,92,409.845,-21682.1,88.9299,0.408859
1335000,76,327.759,-21727.8,68.2159,0.4101
1350000,70,304.627,-21699.7,65.5641,0.413867
1365000,75,327.821,-21677,76.9837,0.409533
1380000,51,223.669,-21686.8,42.0865,0.387067
1395000,56,251.191,-21695.5,63.4377,0.389422
1410000,55,233.105,-21678,69.9074,0.375867
1425000,65,274.354,-21685.2,75.0985,0.384444
1440000,82,359.242,-21711.6,81.0176,0.41
1455000,74,302.305,-21690.9,65.6438,0.4132
1470000,80,347.242,-21711.8,62.9678,0.4192
1485000,72,301.43,-21688.9,75.8885,0.39448
1500000,80,342.767,-21680.9,68.1776,0.404133
1515000,79,349.9,-21680.7,65.2588,0.417133
1530000,73,316.649,-21690.8,71.8701,0.404067
1545000,75,316.499,-21677,68.9512,0.398
1560000,59,250.868,-21678.4,58.334,0.404
1575000,54,241.055,-21690.2,59.1187,0.394467
1590000,59,250.006,-21689.6,64.3576,0.3908
1605000,56,241.71,-21707.1,51.3632,0.40323
1620000,59,255.197,-21726.1,65.7419,0.393667
1635000,44,200.643,-21730.7,46.737,0.399679
1650000,53,219.954,-21717.2,61.1381,0.391283
1665000,62,272.7,-21713.7,63.8801,0.3934
1680000,53,226.621,-21709.1,58.137,0.392583
1695000,57,237.025,-21688.4,63.1858,0.4058
1710000,47,205.066,-21707.6,66.5191,0.386587
1725000,68,297.17,-21687.7,62.718,0.396956
1740000,73,315.109,-21694.4,80.229,0.412067
1755000,66,290.403,-21705.4,65.9357,0.408933
1770000,61,285.772,-21698.3,55.9054,0.403067
1785000,53,215.357,-21706.5,48.595,0.390367
1800000,59,257.545,-21733.9,58.1057,0.392467
1815000,68,306.078,-21719,66.7901,0.4076
1830000,75,318.379,-21695.9,67.9586,0.411717
1845000,72,288.881,-21712.6,72.3431,0.396627
1860000,79,329.442,-21700.9,65.5812,0.409733
1875000,84,368.927,-21699.2,91.7496,0.414467
1890000,74,299.887,-21698.9,76.6042,0.405933
1905000,49,213.368,-21677.3,32.118,0.384267
1920000,63,284.852,-21685.4,55.7407,0.379467
1935000,64,278.996,-21676.5,55.522,0.392533
1950000,66,283.842,-21664.8,67.8535,0.402267
1965000,74,323.955,-21668.1,78.4449,0.3944
1980000,66,274.016,-21699.5,77.2057,0.399667
1995000,53,227.972,-21696.5,53.2139,0.399473
2010000,74,304.048,-21679.4,90.5983,0.408067
2025000,55,233.932,-21684.4,44.0902,0.401133
2040000,66,286.934,-21684.3,57.023,0.407067
2055000,62,257.453,-21705.2,53.4722,0.405067
2070000,69,292.617,-21702.7,77.3543,0.405667
2085000,64,292.976,-21696.9,56.1461,0.412467
2100000,72,328.551,-21674.3,63.9681,0.410778
2115000,67,305.585,-21694.9,69.5783,0.415067
2130000,59,250.746,-21724.1,73.4568,0.4178
2145000,67,300.337,-21719.7,68.2461,0.417133
2160000,58,250.624,-21724.5,57.2043,0.402692
2175000,59,268.334,-21718.7,78.1548,0.411883
2190000,59,249.919,-21730.8,61.1609,0.401567
2205000,68,263.386,-21691.5,76.7077,0.399933
2220000,68,277.088,-21704.9,74.5737,0.407467
2235000,61,259.533,-21730.7,63.6079,0.397667
2250000,72,298.12,-21699.4,91.4463,0.4026
2265000,71,301.789,-21703.1,79.1076,0.399378
2280000,69,302.769,-21717.7,62.1505,0.415867
2295000,67,290.185,-21695.2,63.913,0.410387
2310000,69,308.786,-21677.5,80.4453,0.413667
2325000,54,227.302,-21710.2,63.7061,0.403783
2340000,59,251.998,-21696.1,59.2552,0.400533
2355000,72,304.105,-21695.5,71.2617,0.406
2370000,59,245.302,-21692.8,63.9616,0.400378
2385000,70,262.32,-21698.5,70.7783,0.408467
2400000,73,319.779,-21695,85.471,0.408267
2415000,58,251.359,-21682.9,66.9879,0.40196
2430000,52,199.149,-21694.2,46.8803,0.381133
2445000,60,253.741,-21696.4,66.2147,0.402683
2460000,56,239.638,-21682.5,64.2533,0.3963
2475000,69,299.229,-21670.9,62.4229,0.4093
2490000,66,292.595,-21689.6,63.9801,0.404133
2505000,67,307.312,-21704.6,62.2324,0.416667
2520000,63,275.626,-21704.8,59.449,0.397408
2535000,56,236.681,-21736.1,40.5973,0.403507
2550000,52,227.662,-21709.8,67.6203,0.391467
2565000,49,213.98,-21704.7,42.8099,0.394467
2580000,57,249.421,-21707.6,57.1479,0.402093
2595000,57,252.417,-21691,67.3213,0.4046
2610000,58,261.368,-21687.2,60.7143,0.401333
2625000,57,234.357,-21705.1,64.1214,0.401895
2640000,50,211.285,-21697.1,51.2655,0.4051
2655000,66,284.946,-21667.3,49.036,0.3959
2670000,81,363.391,-21680.8,96.4894,0.402
2685000,67,277.204,-21658.7,67.3573,0.401533
2700000,75,310.556,-21653.6,78.7061,0.390733
2715000,50,221.148,-21676.3,55.4464,0.395133
2730000,55,250.737,-21689.8,50.3812,0.388
2745000,74,308.431,-21666.8,79.1043,0.396956
2760000,81,353.598,-21663.7,73.0641,0.399133
2775000,86,375.679,-21675.6,84.5181,0.408667
2790000,68,302.07,-21658.6,60.4458,0.410533
2805000,63,258.651,-21642.9,69.9328,0.3822
2820000,82,355.57,-21675.6,80.856,0.391533
2835000,86,383.127,-21682.7,90.1104,0.396705
2850000,75,330.752,-21684.9,73.1595,0.430467
2865000,71,295.478,-21678.2,77.9694,0.408933
2880000,64,272.868,-21683.2,64.376,0.399933
2895000,84,346.3,-21622.6,81.7045,0.41028
2910000,66,293.077,-21698.9,77.1285,0.407167
2925000,80,336.395,-21638.7,90.0405,0.401533
2940000,83,335.491,-21663,75.6884,0.391667
2955000,84,347.695,-21659.1,72.2522,0.407
2970000,78,332.673,-21654.6,73.5091,0.408867
2985000,81,362.743,-21675.1,86.607,0.405467
3000000,60,258.059,-21711,62.1844,0.396971
3015000,54,225.896,-21701,45.8908,0.403467
3030000,60,261.792,-21698.1,75.181,0.401267
3045000,57,257.084,-21692.4,53.509,0.389733
3060000,54,233.636,-21698.2,46.9917,0.391933
3075000,59,244.557,-21693.2,77.3099,0.392967
