generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-198.566,-22319.8,100,1
15000,0,-0.0480439,-22075.4,0.464418,0.161723
30000,1,5.07244,-22054.9,2.27398,0.201267
45000,3,14.0096,-22052.9,2.79494,0.237684
60000,4,14.8425,-21992.3,3.32543,0.283778
75000,5,17.3075,-21980.9,5.93375,0.285
90000,6,28.1368,-21968.4,4.57718,0.316467
105000,9,39.14,-21940.8,12.4592,0.317707
120000,9,36.9299,-21900.6,9.78291,0.3229
135000,13,46.3316,-21897.1,12.8019,0.3472
150000,13,46.7048,-21874.7,9.26074,0.336933
165000,14,61.8062,-21870.3,9.88957,0.331867
180000,21,83.6791,-21834.1,21.7725,0.344963
195000,21,96.4286,-21827.4,15.5681,0.366833
210000,22,90.5708,-21812.3,30.2595,0.380333
225000,12,47.6967,-21857.5,12.3216,0.318517
240000,22,92.6991,-21758.1,25.3291,0.38045
255000,31,132.156,-21786.6,34.5889,0.382756
270000,38,153.351,-21750.4,26.2171,0.369667
285000,31,126.684,-21731.2,30.1961,0.376
300000,52,209.619,-21721.1,48.5055,0.385889
315000,47,195.84,-21714.7,51.5153,0.376867
330000,49,212.604,-21715.9,47.8294,0.392467
345000,40,170.419,-21704.5,46.7898,0.386
360000,52,221.901,-21711.8,73.8172,0.394983
375000,59,251.904,-21690.9,63.1997,0.398367
390000,44,186.564,-21709.7,49.7219,0.387867
405000,49,202.08,-21702.2,62.7532,0.380733
420000,42,177.625,-21685.2,43.6249,0.393178
435000,37,155.303,-21678.7,36.1778,0.364533
450000,43,190.774,-21696.4,53.2941,0.392956
465000,50,223.36,-21692.2,46.9741,0.381233
480000,48,211.717,-21673.3,43.1598,0.390733
495000,55,226.803,-21677.5,44.9419,0.392067
510000,47,213.716,-21695.9,40.6906,0.3848
525000,38,168.849,-21708,29.0083,0.37956
540000,47,206.616,-21672.6,39.3228,0.381
555000,38,160.01,-21737,42.2405,0.351433
570000,50,211.943,-21693.7,50.023,0.379133
585000,39,174.452,-21713.3,30.3767,0.371167
600000,50,214.965,-21679.8,56.4862,0.379
615000,71,298.952,-21658.8,73.1564,0.388267
630000,66,291.443,-21646.6,65.7333,0.405267
645000,71,304.226,-21635.8,70.8836,0.3876
660000,57,258.756,-21670.7,61.268,0.391333
675000,58,264.611,-21684.8,55.6012,0.395162
690000,61,276.353,-21631,61.1058,0.399833
705000,66,273.835,-21627.6,73.7093,0.397567
720000,74,339.896,-21671.7,66.1773,0.405267
735000,79,339.012,-21645,87.9043,0.394867
750000,78,339.619,-21618,78.014,0.4028
765000,84,369.048,-21621.3,86.3901,0.393867
780000,80,340.766,-21615.6,85.0007,0.3998
795000,49,206.286,-21670.4,45.993,0.390508
810000,84,370.628,-21633.9,105.351,0.401267
825000,56,254.428,-21663,69.5972,0.392981
840000,79,332.59,-21626.6,83.2719,0.414
855000,53,240.103,-21682.8,42.4867,0.3848
870000,81,350.541,-21637.2,77.7048,0.411
885000,66,274.776,-21609.6,61.1478,0.3868
900000,47,197.3,-21668,42.6731,0.383622
915000,58,244.274,-21672.2,57.3236,0.383733
