generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.20885,-24201.7,43.2605,1
15000,2,6.93434,-21957.3,3.21421,0.233718
30000,4,17.7837,-21950.4,4.96637,0.2536
45000,7,33.2738,-21919.1,8.26142,0.292933
60000,7,27.8151,-21916.2,5.31569,0.249467
75000,5,21.9054,-21890.5,7.45613,0.275933
90000,12,57.743,-21852.5,14.0854,0.287352
105000,17,66.7379,-21806.7,26.7407,0.328567
120000,18,82.1594,-21802.9,20.718,0.335667
135000,14,54.4807,-21805.5,13.4085,0.313667
150000,15,65.933,-21761.2,14.4075,0.310133
165000,30,120.254,-21708.7,32.9447,0.355422
180000,32,135.118,-21700.3,30.4093,0.363133
195000,17,84.6434,-21756.4,18.6044,0.321489
210000,46,199.26,-21610.3,42.1714,0.375767
225000,52,221.706,-21603.8,40.7709,0.378667
240000,53,218.408,-21588.3,45.5402,0.389867
255000,14,61.3619,-21804.8,19.7033,0.307211
270000,58,238.127,-21586.6,73.138,0.3923
285000,57,251.937,-21577.4,51.9185,0.402733
300000,58,251.568,-21566.6,56.3436,0.405667
315000,60,270.349,-21568.1,55.5617,0.3856
330000,67,293.25,-21578.7,70.0866,0.3952
345000,54,220.768,-21568.3,42.6433,0.386867
360000,61,253.008,-21577.9,70.0982,0.387533
375000,50,196.395,-21565.5,44.2469,0.374533
390000,60,227.102,-21581.2,64.5335,0.374067
405000,70,311.095,-21567.5,59.2384,0.388867
420000,56,251.943,-21553.4,52.6488,0.3878
435000,57,249.082,-21563.5,52.6471,0.383333
450000,39,178.448,-21642.8,36.3988,0.343004
465000,60,267.762,-21574.4,53.6424,0.3913
480000,53,227.831,-21589,58.6352,0.395933
495000,63,255.57,-21572.1,66.2813,0.390133
510000,63,259.586,-21564.9,55.2797,0.381933
525000,51,199.98,-21570.4,46.1645,0.383533
540000,64,254.377,-21561.1,64.6697,0.392467
555000,57,235.426,-21550.1,54.9927,0.382333
570000,56,218.853,-21546.5,64.0707,0.374333
585000,56,232.615,-21542.4,68.775,0.380333
600000,58,244.766,-21550.1,56.9023,0.388733
615000,60,255.865,-21550.2,64.5877,0.391867
630000,62,256.36,-21535.1,51.5722,0.394733
645000,57,242.314,-21544.9,58.4981,0.387267
660000,59,254.89,-21552.6,70.3218,0.385267
675000,52,216.17,-21542.8,43.8593,0.381733
690000,49,204.551,-21576.5,51.468,0.377333
705000,57,240.559,-21564.8,62.5579,0.376333
720000,60,253.509,-21550.8,64.8074,0.386733
735000,57,236.483,-21528.3,51.5154,0.3868
750000,53,209.463,-21528.1,58.9297,0.3776
765000,45,200.996,-21598.4,42.56,0.344702
780000,64,261.546,-21529.6,54.6045,0.375633
795000,55,217.501,-21572.9,52.824,0.36727
810000,44,184.285,-21607.2,46.1958,0.378889
825000,64,260.403,-21517.9,56.7641,0.382444
840000,42,169.727,-21615.2,36.2507,0.3696
855000,52,230.696,-21568.5,42.8391,0.373133
870000,66,281.442,-21545.5,62.3144,0.388489
885000,61,267.048,-21505.9,69.8704,0.372267
900000,54,234.444,-21580.3,49.1997,0.373378
915000,61,260.935,-21509.5,64.3324,0.3819
930000,60,237.557,-21532.7,64.0029,0.374467
945000,74,313.402,-21516.6,75.976,0.3796
960000,71,310.237,-21513.8,70.3501,0.392467
975000,64,270.974,-21517.2,49.8805,0.385667
990000,72,312.738,-21519.6,78.6742,0.386
1005000,71,309.331,-21509.8,79.9118,0.391
1020000,65,273.394,-21528.6,71.178,0.392667
1035000,68,271.542,-21515.4,61.5979,0.3914
1050000,61,252.45,-21581.6,67.8154,0.378043
1065000,70,288.332,-21553.5,63.3678,0.385158
1080000,72,310.613,-21498.2,80.2702,0.397222
1095000,62,269.129,-21511.8,63.2709,0.383533
1110000,61,262.736,-21541.6,54.5628,0.399333
1125000,62,257.861,-21548,78.7248,0.3964
1140000,58,251.606,-21544.9,54.8137,0.381467
1155000,64,283.065,-21541.3,63.4784,0.387267
1170000,53,226.465,-21551.7,56.2787,0.390467
1185000,61,258.282,-21529.4,61.1029,0.376944
1200000,43,177.761,-21573.2,44.8455,0.374207
1215000,60,253.572,-21537.6,61.1358,0.3793
1230000,67,274.096,-21556.5,70.8722,0.383417
1245000,49,205.829,-21555.1,44.5179,0.392467
1260000,51,218.884,-21545.4,47.1201,0.392578
1275000,53,221.629,-21572.8,44.3769,0.379867
1290000,63,250.484,-21532.6,60.6256,0.375033
1305000,56,241.989,-21527.1,48.6026,0.393633
1320000,62,263.215,-21547.4,63.0948,0.387267
1335000,59,247.608,-21521.9,57.333,0.3734
1350000,64,264.208,-21556.5,66.1758,0.375567
1365000,64,277.906,-21542.4,71.5807,0.3856
1380000,89,386.35,-21517.1,91.7735,0.397689
1395000,82,359.072,-21509.3,101.473,0.405933
1410000,64,268.65,-21542.4,66.8406,0.3844
1425000,74,329.341,-21537.7,85.1692,0.400933
1440000,70,302.488,-21520.5,75.9345,0.397267
1455000,68,293.896,-21540.5,59.4335,0.394467
1470000,52,219.32,-21569.4,59.6698,0.384341
1485000,73,317.149,-21539.2,90.7153,0.3976
1500000,64,264.628,-21522.1,63.8361,0.392
1515000,73,314.291,-21538.1,73.9506,0.391333
1530000,68,290.774,-21524.9,77.6618,0.377733
1545000,77,323.154,-21521.9,74.0704,0.390067
1560000,80,349.029,-21548.7,79.7674,0.394
1575000,62,261.83,-21531.8,61.5808,0.397067
1590000,62,248.718,-21526,63.2946,0.390733
1605000,69,274.763,-21536.3,72.8174,0.3948
1620000,65,267.976,-21532.1,74.5303,0.391443
1635000,69,291.055,-21552.8,65.322,0.3868
1650000,64,281.631,-21555.8,55.8679,0.387373
1665000,70,281.186,-21543.4,75.3383,0.392367
1680000,70,306.237,-21528.2,68.5346,0.4052
1695000,53,229.16,-21521.4,54.0018,0.385067
1710000,76,324.815,-21535.2,67.0968,0.3908
1725000,63,257.179,-21526,48.2552,0.3851
1740000,61,257.767,-21525.8,59.3029,0.392
1755000,56,231.044,-21546.7,56.0169,0.381667
1770000,62,247.247,-21550.2,51.9366,0.370342
1785000,71,297.591,-21547.5,51.3917,0.399267
1800000,76,311.089,-21539.9,83.8232,0.394011
1815000,72,325.213,-21520.1,75.0789,0.4062
1830000,69,308.589,-21529.3,62.6623,0.402667
1845000,57,242.382,-21563.1,71.2963,0.387917
1860000,50,216.983,-21570.3,51.5093,0.376933
1875000,61,272.096,-21575.6,49.8985,0.384625
1890000,62,275.114,-21585.6,71.8688,0.3902
1905000,63,252.805,-21559.2,61.3022,0.404253
1920000,55,232.933,-21559.6,57.7495,0.3866
1935000,54,238.4,-21587.6,58.0192,0.390867
1950000,64,279.308,-21552.1,76.2445,0.3913
1965000,63,250.005,-21534.3,72.5474,0.389533
1980000,54,216.728,-21571.9,49.5916,0.386
1995000,54,230.796,-21568.9,49.4357,0.3824
2010000,69,297.456,-21551.1,75.6396,0.398044
2025000,71,296.43,-21537.8,74.2022,0.391867
2040000,49,218.966,-21568.2,56.2997,0.371511
2055000,55,219.394,-21547.7,57.1022,0.390567
2070000,51,233.757,-21556,42.4174,0.370167
2085000,62,270.346,-21574.7,66.777,0.391667
2100000,57,242.077,-21546.9,69.1947,0.3891
2115000,52,225.385,-21557.7,42.8582,0.378467
2130000,58,252.85,-21547.1,58.5421,0.3816
2145000,62,274.022,-21552.4,61.0929,0.3881
2160000,64,269.621,-21557.5,74.5427,0.388667
2175000,67,292.508,-21548.9,54.2481,0.408
2190000,48,197.919,-21558.2,55.5219,0.380667
2205000,59,262.623,-21548.8,60.7667,0.396233
2220000,67,291.256,-21542,58.2136,0.3912
2235000,61,234.85,-21550.1,65.3148,0.386293
2250000,65,289.002,-21562.2,64.6185,0.374783
2265000,68,283.559,-21547.6,73.5912,0.396111
2280000,52,218.876,-21553.5,45.3944,0.385167
2295000,65,273.702,-21557.2,73.7768,0.3874
2310000,50,216.192,-21518,55.2127,0.377333
2325000,63,274.756,-21547.3,63.66,0.374067
2340000,78,348.018,-21537.6,81.1265,0.381867
2355000,75,335.37,-21522.8,61.9259,0.4006
2370000,56,245.255,-21545.8,39.7286,0.3856
2385000,57,243.815,-21539,65.754,0.364733
2400000,56,233.381,-21561.9,58.2011,0.394356
2415000,68,290.018,-21569.9,80.4395,0.390733
2430000,58,233.802,-21590.4,59.9742,0.38437
2445000,52,218.113,-21552.7,53.8127,0.394433
2460000,60,250.188,-21544.4,58.5588,0.369867
2475000,65,275.023,-21557.1,56.4462,0.366122
2490000,67,273.743,-21519,73.5615,0.3923
2505000,61,261.837,-21529,74.282,0.404933
2520000,77,327.753,-21539.5,87.1042,0.396533
2535000,74,323.793,-21520.6,67.8839,0.4028
2550000,53,207.719,-21558.1,52.1737,0.385042
2565000,73,295.313,-21516.8,77.174,0.4006
2580000,69,295.05,-21543.1,58.0951,0.3951
2595000,68,293.081,-21533.9,76.6602,0.400133
2610000,52,215.21,-21539,55.7507,0.388867
2625000,75,307.53,-21516.4,83.7713,0.3943
2640000,70,293.3,-21514.1,73.5643,0.395267
2655000,75,307.671,-21533.6,78.5483,0.395333
2670000,69,299.411,-21524.8,71.3223,0.3878
2685000,67,271.467,-21510.9,60.1237,0.374973
2700000,76,324.334,-21548.7,76.4291,0.3909
2715000,64,263.585,-21515.8,75.7888,0.378233
2730000,52,217.488,-21536.8,58.8968,0.391
2745000,53,224.066,-21557.4,52.7697,0.375378
2760000,56,240.086,-21550.3,70.7988,0.389867
2775000,61,246.608,-21518.4,65.0653,0.380356
2790000,64,270.609,-21538.6,58.712,0.382867
2805000,54,244.24,-21550.6,43.6854,0.368
2820000,59,244.009,-21526.6,57.1274,0.3822
2835000,64,282.646,-21509.1,64.7469,0.382783
2850000,63,268.267,-21534.4,53.0211,0.369
2865000,74,314.738,-21510.6,76.6933,0.381822
2880000,65,276.608,-21565,71.2629,0.389833
2895000,68,301.446,-21545.9,65.0841,0.37375
2910000,70,302.685,-21544.9,58.6291,0.392
2925000,67,263.909,-21527.7,67.9567,0.392933
2940000,67,290.839,-21520.9,61.9032,0.388933
2955000,63,269.388,-21524.9,62.1358,0.369
2970000,61,270.954,-21535.6,57.3584,0.379133
2985000,62,256.328,-21549.9,85.8544,0.3834
3000000,53,221.814,-21559.2,55.833,0.385637
3015000,69,280.208,-21527,59.514,0.377933
3030000,60,247.075,-21508.5,56.9717,0.369133
3045000,51,214.533,-21527.4,59.682,0.372467
3060000,65,300.221,-21551.4,66.1476,0.374507
3075000,54,228.814,-21534.4,68.0678,0.377533
3090000,48,201.58,-21565.8,48.9159,0.372144
3105000,57,237.27,-21544.9,60.9466,0.385333
3120000,66,280.828,-21548.9,67.5068,0.380044
3135000,52,226.66,-21540.9,45.0583,0.3704
3150000,69,287.235,-21535.9,63.3392,0.386733
3165000,67,298.699,-21545.1,77.9945,0.3934
3180000,74,301.371,-21529.6,57.4076,0.4046
3195000,70,297.114,-21506.5,61.2913,0.3936
3210000,59,250.336,-21529.9,54.9398,0.383533
3225000,65,254.715,-21542,71.8614,0.386036
3240000,79,334.663,-21557.8,90.1087,0.4096
3255000,74,298.962,-21545.8,65.8162,0.4228
3270000,60,251.14,-21515,65.5985,0.39315
3285000,67,300.789,-21527.6,66.877,0.391479
3300000,62,258.461,-21508.5,66.6666,0.3762
3315000,62,256.285,-21535,75.5728,0.3888
3330000,58,249.687,-21536.5,57.4613,0.383267
3345000,65,277.331,-21547.4,65.8014,0.377867
3360000,57,244.096,-21563,54.5971,0.38679
3375000,66,272.681,-21547.3,65.4255,0.3712
3390000,64,283.838,-21548.6,58.28,0.3906
3405000,59,255.1,-21551.3,54.1236,0.3738
3420000,58,237.934,-21535.7,44.8439,0.3638
3435000,59,240.03,-21540.2,56.5058,0.379926
3450000,52,205.969,-21528.1,61.6745,0.3775
3465000,56,237.205,-21593.7,59.4187,0.377838
3480000,55,225.296,-21538.7,63.1129,0.3654
3495000,61,265.111,-21545.4,53.1482,0.371133
3510000,66,288.401,-21546.5,72.5761,0.384373
3525000,65,253.763,-21519.6,55.9504,0.378667
3540000,52,202.696,-21558.7,49.7261,0.379133
3555000,55,233.849,-21552.4,65.859,0.371867
3570000,66,283.834,-21525.4,77.0499,0.385467
3585000,60,266.902,-21528.6,77.8161,0.387267
3600000,55,234.82,-21545.3,57.4306,0.362667
3615000,57,243.882,-21534.4,53.2121,0.378667
3630000,70,294.818,-21537.6,65.8656,0.390867
3645000,75,309.906,-21535.5,69.9821,0.400333
3660000,64,270.19,-21555,71.9639,0.38999
3675000,66,289.64,-21545.8,78.8313,0.382786
3690000,61,246.245,-21551.6,77.6327,0.400867
3705000,64,283.38,-21550.9,58.9887,0.3742
3720000,74,316.796,-21537.3,67.5104,0.388067
3735000,76,324.407,-21522.8,62.7267,0.404333
3750000,55,235.128,-21542.7,62.0053,0.388867
3765000,58,237.61,-21543.2,55.5438,0.383943
3780000,49,205.671,-21559.8,48.0391,0.391947
3795000,51,216.487,-21551,56.9593,0.377633
3810000,54,232.694,-21549.8,52.421,0.366667
3825000,61,255.052,-21559.1,51.3217,0.388467
3840000,57,236.28,-21543.8,47.6333,0.373244
3855000,48,199.771,-21565.3,43.9234,0.362667
3870000,51,215.116,-21543.8,44.597,0.377067
3885000,60,239.322,-21566.1,63.4636,0.3671
3900000,59,251.632,-21553.9,47.9968,0.364433
3915000,57,257.225,-21543.3,67.5443,0.369033
3930000,56,232.253,-21533.3,57.0416,0.379667
3945000,62,252.268,-21564.3,61.8816,0.3848
3960000,64,273.942,-21549.5,60.9593,0.383422
3975000,62,251.414,-21518.5,58.9025,0.383933
3990000,49,213.909,-21563.2,49.2062,0.382511
4005000,60,254.177,-21557.9,71.5852,0.376233
4020000,56,234.053,-21552.1,65.3967,0.390507
4035000,68,300.894,-21540.1,65.5852,0.391
4050000,60,257.543,-21530.6,61.1333,0.383133
4065000,69,282.698,-21529.4,71.1438,0.3772
4080000,53,233.995,-21553,50.9863,0.372878
4095000,64,268.434,-21558,64.7477,0.387387
4110000,56,244.361,-21545.7,62.154,0.387333
4125000,58,244.841,-21531.4,57.5813,0.3684
4140000,57,233.959,-21543.3,66.3597,0.383267
4155000,69,298.313,-21547.1,58.9374,0.383667
4170000,68,290.573,-21555.1,68.8729,0.384438
4185000,57,218.371,-21542.3,68.5401,0.394233
4200000,62,259.878,-21554.1,56.618,0.391
4215000,54,229.206,-21558.3,48.8824,0.390244
4230000,51,216.142,-21540.5,47.5177,0.388033
4245000,57,230.056,-21564.3,48.6184,0.388233
4260000,51,215.695,-21559.2,47.5885,0.380567
4275000,60,251.195,-21558.7,59.8384,0.374908
4290000,49,199.707,-21565.4,51.0605,0.381033
4305000,56,237.448,-21549.8,52.2581,0.4025
4320000,65,280.057,-21578.9,57.6565,0.390533
4335000,56,239.49,-21539.2,63.8698,0.3788
4350000,51,212.779,-21539.3,50.3882,0.3732
4365000,70,293.188,-21572.1,73.1641,0.387044
4380000,79,341.471,-21532.8,92.7914,0.387733
4395000,54,227.022,-21547.6,52.815,0.385867
4410000,73,312.194,-21547.2,70.9514,0.396533
4425000,87,373.987,-21536.2,74.4796,0.398867
4440000,67,291.497,-21558.2,74.6742,0.381207
4455000,83,348.091,-21526.5,76.8966,0.41
4470000,89,396.821,-21529.2,89.6053,0.412533
4485000,82,352.462,-21497.8,103.171,0.406133
4500000,68,279.386,-21553.4,61.8417,0.397181
4515000,65,279.329,-21561.4,63.7995,0.38144
4530000,62,275.944,-21535.9,50.3542,0.393689
4545000,61,273.317,-21569.4,66.1875,0.372533
4560000,65,288.222,-21546.7,59.7338,0.38695
4575000,68,295.795,-21533.2,69.1881,0.392
4590000,55,242.52,-21556.5,45.4773,0.393967
4605000,64,280.833,-21557.2,57.6947,0.375117
4620000,58,257.831,-21558.2,48.2426,0.387667
4635000,57,253.856,-21546.2,61.3261,0.3818
4650000,55,235.013,-21557,73.41,0.3919
4665000,48,215.665,-21569.4,52.5927,0.391611
4680000,51,212.313,-21551.2,50.9418,0.380733
4695000,60,260.302,-21580.6,48.1006,0.378689
4710000,57,239.223,-21570.1,51.6699,0.380133
4725000,45,183.033,-21534.7,41.9143,0.367544
4740000,53,226.577,-21556.6,51.4967,0.377067
4755000,59,234.174,-21561.2,62.0442,0.376733
4770000,59,257.499,-21563.5,49.8653,0.382867
4785000,56,235.285,-21550.8,46.6957,0.389178
4800000,69,278.782,-21559.4,65.3154,0.3946
4815000,64,278.881,-21565.1,55.6986,0.400333
4830000,55,220.93,-21570.9,69.3277,0.375583
4845000,77,322.324,-21549.1,68.0056,0.388689
4860000,66,274.873,-21538.3,57.7489,0.3802
4875000,63,277.677,-21551.4,53.4395,0.3774
4890000,66,283.662,-21556.5,73.9717,0.398333
4905000,59,253.419,-21549.8,65.0456,0.391
4920000,40,164.894,-21567.9,48.6314,0.3795
4935000,72,305.972,-21554.7,68.144,0.39085
4950000,68,291.968,-21534,68.0186,0.387756
4965000,79,334.835,-21548.7,67.6209,0.4038
4980000,74,327.258,-21520,73.0204,0.3993
4995000,78,336.439,-21548.3,76.678,0.398933
5010000,66,281.588,-21536.7,70.5949,0.3938
5025000,64,254.445,-21548,59.5113,0.388133
5040000,78,336.553,-21557.1,93.3762,0.3926
5055000,72,296.289,-21543.1,70.6774,0.388444
5070000,67,297.883,-21539.7,58.4584,0.393333
5085000,67,287.935,-21526.8,82.4887,0.3938
5100000,65,274.391,-21555.8,62.4006,0.384733
5115000,77,326.3,-21512.4,92.6445,0.387293
5130000,54,248.998,-21556.5,53.2961,0.376138
5145000,91,411.234,-21493,93.9043,0.404267
5160000,97,416.677,-21527.9,91.1557,0.411133
5175000,91,399.137,-21520.2,91.0018,0.408933
5190000,52,230.101,-21541.2,57.4884,0.394156
5205000,57,251.49,-21582.8,67.1907,0.375733
5220000,59,268.64,-21540.5,69.0936,0.401467
5235000,64,271.917,-21539.7,56.5863,0.379848
5250000,59,269.068,-21563.7,61.9535,0.384511
5265000,70,311.174,-21557.4,61.5797,0.376356
5280000,61,268.604,-21535.6,43.5021,0.4018
5295000,61,253.357,-21531.9,59.984,0.386867
5310000,60,268.733,-21560.8,50.9695,0.388467
5325000,59,256.452,-21520.5,50.8883,0.368833
5340000,55,225.21,-21554.6,60.0605,0.3844
5355000,62,260.789,-21571.9,52.7671,0.3806
5370000,52,219.499,-21579.8,51.0466,0.394867
5385000,53,218.258,-21559,46.6106,0.38455
5400000,61,263.534,-21563.3,56.6252,0.394692
5415000,59,261.829,-21563.9,57.6913,0.402667
5430000,76,324.808,-21553.1,94.6238,0.3806
5445000,71,310.757,-21556.4,59.9674,0.396911
5460000,67,292.583,-21562.5,69.7929,0.4158
5475000,57,232.665,-21522.4,39.6792,0.379556
5490000,64,265.063,-21540,68.7018,0.375667
5505000,58,246.845,-21533.7,56.7259,0.3817
5520000,56,240.598,-21540.5,56.5652,0.3768
5535000,41,164.998,-21564.7,47.0828,0.39116
5550000,57,245.344,-21548,52.2783,0.378089
5565000,62,251.955,-21571.8,66.6017,0.378667
5580000,64,282.416,-21537.7,63.8682,0.38
5595000,69,291.617,-21526.7,53.1585,0.399267
5610000,67,289.557,-21555.9,55.5353,0.395267
5625000,61,262.954,-21533.4,56.6794,0.394733
5640000,64,285.079,-21533.8,60.9378,0.387133
5655000,58,235.887,-21506.3,69.0074,0.374933
5670000,50,207.545,-21578,50.8552,0.379067
5685000,60,257.543,-21562.8,56.5182,0.3786
5700000,55,231.387,-21534,57.8241,0.365333
5715000,58,237.643,-21531.4,60.2742,0.375933
5730000,63,283.568,-21554,53.479,0.3842
5745000,62,259.141,-21536.3,53.084,0.3876
5760000,50,219.562,-21568.4,67.0847,0.374446
5775000,58,239.526,-21557.7,58.7894,0.3842
5790000,54,226.699,-21559.3,56.823,0.384
5805000,61,261.668,-21522.7,62.1622,0.3878
5820000,61,251.133,-21539.5,67.4224,0.400733
5835000,57,237.05,-21549.5,53.9439,0.382733
5850000,67,276.647,-21547.9,54.5781,0.38055
5865000,60,257.374,-21532.2,52.6822,0.379456
5880000,52,223.027,-21547.1,49.5621,0.389867
5895000,51,220.712,-21529.1,58.8017,0.366367
5910000,56,219.007,-21553.8,54.9874,0.366167
5925000,48,187.542,-21537.1,64.6181,0.378533
5940000,53,239.769,-21548.9,48.4804,0.3756
5955000,69,295.375,-21555.8,68.4017,0.396267
5970000,74,332.446,-21555.5,76.4797,0.406133
5985000,61,251.106,-21546.4,64.5852,0.3815
6000000,56,247.01,-21532.8,51.0024,0.391733
6015000,64,282.939,-21545.5,49.2062,0.384467
