generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24243.7,100,0
15000,2,9.36783,-22076.7,2.6855,0.232451
30000,2,9.89251,-22064.7,1.97658,0.302067
45000,2,8.78129,-22038.9,5.54723,0.3105
60000,3,15.7346,-22042.4,2.30485,0.331
75000,8,38.3858,-21966.5,7.57767,0.3307
90000,4,21.1009,-22031.4,3.85743,0.341533
105000,14,69.9537,-21899.8,8.88536,0.346767
120000,14,63.6707,-21899.8,14.7271,0.368
135000,15,71.4635,-21915.2,12.6173,0.3736
150000,8,35.9552,-21943.6,9.17506,0.346967
165000,9,46.1552,-21966.4,12.7764,0.310368
180000,11,43.6476,-21916,7.07633,0.3655
195000,20,88.2203,-21913.8,18.2178,0.3586
210000,28,120.436,-21846.8,25.8627,0.372187
225000,23,105.437,-21900.1,15.4179,0.360933
240000,29,122.774,-21883.5,30.9983,0.381956
255000,29,141.439,-21857.8,32.8553,0.398
270000,31,138.247,-21887,38.7172,0.3898
285000,25,113.005,-21871.5,26.1485,0.386533
300000,28,129.373,-21829.2,26.6984,0.3852
315000,27,119.332,-21807.1,24.068,0.379067
330000,45,207.624,-21817.4,54.6379,0.398027
345000,33,135.776,-21793.2,36.0829,0.404967
360000,41,191.68,-21768.1,39.8317,0.381133
375000,47,204.905,-21775.9,45.5762,0.417267
390000,45,188.302,-21771.7,48.455,0.406867
405000,43,200.808,-21750.5,44.1626,0.39316
420000,59,249.526,-21760.8,67.0899,0.422933
435000,49,217.461,-21761.8,49.1147,0.3959
450000,40,181.709,-21770.2,32.867,0.38083
465000,58,247.814,-21754.7,66.1834,0.412111
480000,66,280.048,-21741.6,82.0896,0.398533
495000,62,271.468,-21731,58.9765,0.4136
510000,48,211.227,-21730.4,44.9168,0.393867
525000,50,208.81,-21712,49.3874,0.399367
540000,45,183.389,-21752.7,44.892,0.400544
555000,58,272.041,-21738,48.3732,0.416067
570000,37,165.373,-21727.9,34.6039,0.406667
585000,39,173.223,-21757.1,31.0344,0.391773
600000,60,268.972,-21709.9,68.4233,0.39848
615000,51,224.424,-21740.2,50.5465,0.395533
630000,55,233.012,-21729.7,53.6863,0.410667
645000,56,246.676,-21736.2,57.7105,0.4106
660000,57,251.916,-21711.5,65.2255,0.398767
675000,48,195.091,-21718.6,47.3893,0.381933
690000,51,224.482,-21716.3,47.6479,0.390162
705000,53,232.454,-21719,72.0782,0.393067
720000,56,230.178,-21719.2,62.9411,0.3994
735000,72,305.006,-21704.4,78.9011,0.388267
750000,56,239.455,-21704.4,49.1351,0.38341
765000,57,247.143,-21711.6,48.2493,0.388467
780000,75,330.909,-21704.9,81.3615,0.414933
795000,59,261.939,-21684,52.7554,0.384967
810000,53,234.682,-21680.6,38.2005,0.373267
825000,72,334.517,-21696.6,89.2998,0.394133
840000,57,257.711,-21709.3,75.0891,0.3942
855000,71,309.275,-21705.8,84.5789,0.402067
870000,56,247.919,-21711.1,53.659,0.4014
885000,54,254.142,-21683.4,54.2749,0.384489
900000,65,306.725,-21702,54.3854,0.394733
915000,65,295.342,-21687,81.2987,0.405333
930000,68,297.341,-21705.7,59.5899,0.410083
945000,61,262.006,-21708.7,49.1838,0.3868
960000,58,248.101,-21707.4,61.8322,0.400994
975000,55,235.833,-21726,59.1589,0.419133
