generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,3,1
3000,1,2,1
4000,1,2,1
5000,1,2,1
6000,1,3,1
7000,1,3,1
8000,2,3,1
9000,1,3,1
10000,1,3,1
11000,2,3,1
12000,2,3,1
13000,1,3,1
14000,1,2,1
15000,1,2,1
16000,1,3,1
17000,1,3,1
18000,1,3,1
19000,1,2,1
20000,2,3,1
21000,2,3,1
22000,1,3,1
23000,1,2,1
24000,2,3,1
25000,2,3,1
26000,1,3,1
27000,2,3,1
28000,1,2,1
29000,1,2,1
30000,1,2,1
31000,2,3,0
32000,2,3,1
33000,1,3,1
34000,1,2,1
35000,1,2,1
36000,1,3,1
37000,1,3,1
38000,1,2,1
39000,2,3,1
40000,2,3,1
41000,1,2,1
42000,2,3,1
43000,1,3,0
44000,2,3,1
45000,1,3,1
46000,2,3,1
47000,2,3,0
48000,1,2,1
49000,1,3,1
50000,1,3,1
51000,2,3,1
52000,2,3,1
53000,1,2,1
54000,1,3,1
55000,1,3,1
56000,2,3,1
57000,2,3,1
58000,1,2,1
59000,1,2,1
60000,1,2,1
61000,1,2,1
62000,2,3,1
63000,1,2,1
64000,1,2,1
65000,2,3,1
66000,1,3,1
67000,2,3,1
68000,1,3,1
69000,1,2,1
70000,2,3,1
71000,2,3,1
72000,2,3,0
73000,2,3,1
74000,2,3,1
75000,2,3,1
76000,1,3,1
77000,1,3,1
78000,1,3,1
79000,1,3,1
80000,2,3,1
81000,1,2,1
82000,2,3,1
83000,1,3,1
84000,2,3,1
85000,2,3,1
86000,2,3,1
87000,1,3,0
88000,1,2,1
89000,1,3,0
90000,1,2,1
91000,1,2,1
92000,1,3,1
93000,2,3,1
94000,1,2,1
95000,1,2,1
96000,1,2,1
97000,1,3,1
98000,1,3,1
99000,1,2,1
100000,1,2,1
101000,1,3,1
102000,1,2,1
103000,1,2,1
104000,1,3,1
105000,1,2,0
106000,2,3,1
107000,1,3,1
108000,2,3,1
109000,2,3,0
110000,1,2,1
111000,1,2,0
112000,2,3,1
113000,1,3,1
114000,1,2,1
115000,1,2,1
116000,2,3,1
117000,2,3,1
118000,1,3,1
119000,1,3,1
120000,2,3,1
121000,2,3,1
122000,2,3,1
123000,2,3,1
124000,2,3,1
125000,2,3,1
126000,1,2,1
127000,1,3,1
128000,2,3,1
129000,2,3,1
130000,1,3,1
131000,1,2,0
132000,1,3,1
133000,2,3,1
134000,2,3,1
135000,1,3,1
136000,1,3,1
137000,1,2,0
138000,1,3,1
139000,1,3,1
140000,1,3,0
141000,2,3,1
142000,1,2,1
143000,1,2,1
144000,2,3,1
145000,2,3,1
146000,1,3,0
147000,1,2,1
148000,2,3,1
149000,2,3,1
150000,1,2,1
151000,1,2,1
152000,2,3,0
153000,1,3,1
154000,2,3,1
155000,2,3,1
156000,1,2,1
157000,1,3,0
158000,1,3,1
159000,1,2,1
160000,1,3,1
161000,1,2,1
162000,1,3,0
163000,1,2,1
164000,2,3,0
165000,1,2,1
166000,2,3,0
167000,2,3,0
168000,1,3,0
169000,2,3,0
170000,1,3,1
171000,1,2,1
172000,2,3,1
173000,1,3,1
174000,1,3,1
175000,1,2,1
176000,1,2,1
177000,1,2,1
178000,1,2,1
179000,1,2,1
180000,1,3,1
181000,1,3,1
182000,2,3,1
183000,1,2,1
184000,2,3,1
185000,1,3,1
186000,2,3,1
187000,1,3,1
188000,1,2,0
189000,1,3,1
190000,1,3,1
191000,1,2,0
192000,1,3,0
193000,2,3,1
194000,1,2,1
195000,1,2,1
196000,1,2,1
197000,1,2,1
198000,2,3,0
199000,2,3,1
200000,1,3,0
201000,1,2,0
202000,1,3,0
203000,1,3,1
204000,1,2,1
205000,2,3,1
