generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-80.5698,-22324.1,100,1
15000,1,5.02636,-22071.5,3.70675,0.225985
30000,1,5.61099,-22044.9,0.359592,0.225633
45000,2,5.61215,-22058.1,1.53225,0.3141
60000,2,9.52375,-22025.3,3.68542,0.2546
75000,2,8.44049,-22042.6,0.80836,0.3103
90000,2,8.21536,-22045,3.8294,0.2708
105000,3,12.8995,-22004.6,5.31074,0.285397
120000,5,23.4699,-22039.1,10.2828,0.318033
135000,5,24.1991,-21996.8,5.77912,0.243853
150000,4,17.078,-22007.1,5.49604,0.277267
165000,8,38.3115,-21979.9,6.62583,0.305867
180000,3,14.001,-22005.6,3.38478,0.277867
195000,12,51.0463,-21944,8.41001,0.310922
210000,9,44.3639,-21931.5,6.70997,0.307067
225000,5,24.3174,-21987.5,3.55849,0.279044
240000,8,38.2962,-21934.6,12.2803,0.3151
255000,12,55.1605,-21933.5,16.0808,0.317067
270000,8,36.8831,-21954,11.6845,0.325173
285000,10,44.3041,-21950.1,8.89682,0.322333
300000,9,40.6896,-21947.3,8.54813,0.348133
315000,13,62.2403,-21926.7,12.6596,0.342933
330000,21,93.6809,-21877.5,20.4982,0.33928
345000,21,93.4269,-21859.9,15.68,0.381533
360000,18,78.8037,-21866.9,23.8935,0.362733
375000,16,73.503,-21860.3,18.5462,0.354
390000,24,96.286,-21865.1,32.4677,0.376667
405000,21,96.1198,-21857.6,12.8648,0.389333
420000,14,60.8275,-21891.1,17.8736,0.356543
435000,17,67.8217,-21879.7,15.226,0.331867
450000,28,119.16,-21830.2,30.3867,0.379333
465000,32,144.415,-21800.3,31.212,0.3728
480000,38,137.788,-21846,45.1955,0.366622
495000,48,202.647,-21782.4,63.1735,0.3978
510000,57,251.512,-21780.9,62.3103,0.3912
525000,37,171.106,-21788.3,25.7378,0.387667
540000,62,278.211,-21749.6,62.2045,0.401689
555000,36,152.274,-21776.2,25.7106,0.385533
570000,64,266.036,-21756.8,65.342,0.415767
585000,59,252.283,-21759.4,51.4458,0.4126
600000,58,244.032,-21714.7,58.9091,0.400267
615000,71,306.806,-21697.5,70.6432,0.407533
630000,70,303.566,-21743.7,70.9098,0.412813
645000,71,298.721,-21692.5,63.8746,0.4151
660000,76,343.515,-21708,80.0629,0.410733
675000,76,333.811,-21683.7,70.9062,0.4206
690000,75,336.273,-21692.9,71.1673,0.4342
705000,82,354.844,-21758.6,92.1044,0.422387
720000,66,290.385,-21707.5,75.2646,0.414933
