generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24236.6,100,0
15000,1,2.40425,-22065.2,1.44433,0.257583
30000,3,14.4407,-22047.6,6.80233,0.332067
45000,5,21.3339,-22012.6,8.45232,0.318371
60000,7,28.3614,-21996.2,3.9958,0.3584
75000,9,37.0422,-21989.3,16.8125,0.358978
90000,13,59.0246,-21952.4,17.584,0.339333
105000,13,51.544,-21917.6,12.3075,0.354178
120000,12,50.2971,-21917.5,10.8388,0.325533
135000,11,46.6323,-21928.9,12.2829,0.356533
150000,10,36.5296,-21913.9,7.87418,0.316767
165000,16,68.1443,-21908.1,22.1909,0.333533
180000,13,58.4365,-21899.9,12.8184,0.363467
195000,15,65.397,-21879.9,14.443,0.3262
210000,14,67.6949,-21890,17.9325,0.354533
225000,30,128.335,-21851.8,35.8763,0.348178
240000,35,153.901,-21837.9,31.9397,0.382733
255000,42,198.918,-21826.7,47.3435,0.404467
270000,32,145.006,-21804.4,26.8197,0.364467
285000,29,129.132,-21825.7,30.8584,0.3939
300000,43,178.36,-21783.6,41.7044,0.400467
315000,40,173.349,-21761.1,45.6169,0.392222
330000,37,153.416,-21749.7,47.883,0.3716
345000,43,188.887,-21747.7,43.3374,0.391
360000,46,188.623,-21744.4,54.7894,0.3934
375000,46,200.777,-21750.6,47.0426,0.392093
390000,46,191.997,-21756.6,36.9717,0.399467
405000,42,184.501,-21749,30.9854,0.3784
420000,52,245.228,-21741.7,54.7316,0.3976
435000,52,223.866,-21704.3,55.5991,0.400233
450000,44,192.904,-21745.2,38.5412,0.4004
465000,60,260.045,-21687.2,60.6967,0.4094
480000,60,262.037,-21690.1,57.9355,0.399667
495000,62,267.346,-21670.1,72.2946,0.407067
510000,38,180.497,-21739.7,33.8276,0.38415
525000,51,209.244,-21690.4,46.9079,0.385767
540000,58,251.553,-21680.8,44.2531,0.396333
555000,59,254.686,-21704.3,42.74,0.407267
570000,59,239.092,-21677,61.5836,0.402067
585000,63,271.455,-21692.9,56.9312,0.3966
600000,66,274.799,-21684.9,58.9438,0.4034
615000,66,286.63,-21697.2,66.5424,0.3988
630000,61,257.849,-21687.6,56.8988,0.399867
645000,56,244.289,-21686.2,50.9512,0.401533
660000,44,203.239,-21745.6,39.4989,0.38092
675000,56,251.083,-21722.2,58.0648,0.4151
690000,61,274.098,-21738,62.8987,0.409733
705000,51,218.467,-21736.6,47.063,0.3872
720000,45,195.908,-21737.8,45.6611,0.36085
735000,56,245.136,-21702.7,52.5984,0.387133
750000,61,256.376,-21675.7,57.325,0.4026
765000,62,266.503,-21685.7,53.2013,0.405333
780000,46,213.144,-21751.6,40.3192,0.3879
795000,69,299.983,-21670.5,66.5679,0.406333
810000,51,202.833,-21721.2,57.2506,0.380667
825000,67,269.386,-21694.9,76.8096,0.4084
840000,66,287.234,-21693.4,58.633,0.3928
855000,39,174.266,-21740.8,49.9616,0.375622
