"","record_number","in_ref_id","individual_id","predator","predator_common_name","predator_taxon","predator_lifestage","type_of_feeding_interaction","predator_length","predator_length_unit","predator_dimension_measured","predator_standard_length","predator_fork_length","predator_total_length","predator_tl_fl_sl_conversion_reference","standardised_predator_length","predator_measurement_type","predator_length_mass_conversion_method","predator_length_mass_conversion_reference","predator_quality_of_length_mass_conversion","predator_mass","predator_mass_unit","predator_mass_check","predator_mass_check_diff","predator_ratio_mass_mass","si_predator_mass","diet_coverage","prey","prey_common_name","prey_taxon","prey_length","prey_length_unit","prey_conversion_to_length_method","prey_quality_of_conversion_to_length","prey_conversion_to_length_reference","si_prey_length","prey_dimension_measured","prey_width","prey_width_unit","prey_measurement_type","prey_mass","prey_mass_unit","prey_mass_check","prey_mass_check_diff","prey_ratio_mass_mass","si_prey_mass","prey_conversion_to_mass_method","prey_conversion_to_mass_reference","prey_quality_of_conversion_to_mass","geographic_location","latitude","lonitude","depth","mean_annual_temp","sd_annual_temp","mean_pp","sd_pp","reference","specific_habitat","notes_assumptions"
"388",387,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"389",388,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"390",389,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",24,"cm","",0,"",24,"total length",NA,"","individual",127.03,"g",723.46,596.42,5.6951,127.03,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"391",390,"88097",202,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",119,"cm","curved fork length",112.81,119,127.93,"Fishbase (species)",119,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,28397,"g",88190,59793,3.1057,28397,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",30,"cm","",0,"",30,"total length",NA,"","individual",258.94,"g",1413,1154.1,5.4568,258.94,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"392",391,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"393",392,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"394",393,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"395",394,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",24,"cm","",0,"",24,"total length",NA,"","individual",127.03,"g",723.46,596.42,5.6951,127.03,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"396",395,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",24,"cm","",0,"",24,"total length",NA,"","individual",127.03,"g",723.46,596.42,5.6951,127.03,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"397",396,"89047",203,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",208,"cm","curved fork length",197.18,208,223.6,"Fishbase (species)",208,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,146150,"g",470940,324790,3.2222,146150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",24,"cm","",0,"",24,"total length",NA,"","individual",127.03,"g",723.46,596.42,5.6951,127.03,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
