generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.641453,-24225,100,0
15000,0,1.11975,-22057.5,0.390531,0.151667
30000,0,0.0380729,-22052.5,0.135841,0.179327
45000,0,0.727847,-22053.6,0.41481,0.1488
60000,0,0.533234,-22052.4,1.93537,0.163267
75000,1,4.7133,-22034.5,2.15154,0.2192
90000,3,15.0872,-22029.2,3.40914,0.184107
105000,5,25.7074,-21976.4,13.0214,0.276733
120000,5,20.94,-21952.5,8.92218,0.286444
135000,8,39.2176,-21926.4,12.0901,0.229072
150000,10,44.9636,-21921.2,7.82758,0.328
165000,9,43.3642,-21919.3,6.93565,0.344133
180000,7,24.6562,-21938,12.1902,0.2965
195000,13,52.7293,-21919,20.864,0.330267
210000,12,54.0859,-21890,17.4609,0.337653
225000,14,56.6266,-21895.2,11.5008,0.332533
240000,16,65.5349,-21905.1,22.4813,0.344289
255000,13,56.587,-21878.5,8.97148,0.3506
270000,15,70.3977,-21882.5,20.9914,0.3274
285000,16,77.2037,-21877.1,14.8621,0.320467
300000,15,66.1842,-21862.7,14.549,0.324707
315000,17,75.4393,-21862.6,12.7495,0.334267
330000,19,79.8561,-21869,26.0254,0.320467
345000,15,67.0429,-21877.6,13.3717,0.3326
360000,21,99.6332,-21870.2,28.3447,0.354067
375000,15,65.0734,-21870,13.2761,0.295195
390000,14,58.3711,-21853.6,12.1538,0.2844
405000,16,65.4902,-21842.5,18.6793,0.33892
420000,15,68.9394,-21858.5,14.6296,0.281067
435000,14,67.4249,-21880.5,8.17912,0.34396
450000,26,116.907,-21792.6,24.0648,0.352444
465000,28,127.374,-21803.2,31.8393,0.3686
480000,19,87.1689,-21870.5,17.5453,0.338533
495000,30,128.947,-21785.5,36.3102,0.3646
510000,35,152.114,-21764.7,36.0165,0.375533
525000,18,78.4503,-21835.3,18.9392,0.327171
540000,32,141.151,-21786.8,34.672,0.366533
555000,36,152.734,-21796.3,40.4449,0.385333
570000,35,141.157,-21803.5,26.9263,0.390267
585000,20,87.7709,-21867.6,16.5985,0.342295
600000,19,89.7623,-21815.4,20.6629,0.3446
615000,39,179.878,-21781.5,39.9491,0.387867
630000,20,88.1641,-21878.7,22.1129,0.352733
645000,28,116.981,-21783.9,27.576,0.365233
660000,37,145.458,-21777,39.7623,0.3828
675000,21,100.141,-21832.1,19.2965,0.3466
690000,47,217.919,-21773.6,42.232,0.371533
705000,42,197.836,-21774.4,36.896,0.401667
720000,36,169.748,-21760.6,44.4632,0.3688
735000,20,92.0956,-21832.4,25.5507,0.361705
750000,22,102.564,-21815.8,24.9577,0.330733
765000,37,171.502,-21785.1,35.2612,0.379511
780000,23,88.2136,-21806.6,24.9339,0.356978
795000,37,164.847,-21769.2,40.5223,0.3717
810000,43,197.767,-21774.2,47.9747,0.381933
825000,44,189.198,-21760.2,55.6831,0.386667
840000,45,207.613,-21756.5,53.5238,0.360433
855000,45,205.009,-21747.4,51.3788,0.372867
870000,46,199.656,-21747.3,45.8126,0.390067
885000,43,185.43,-21765.9,45.1669,0.386167
900000,42,174.638,-21743.7,39.8566,0.3861
915000,49,221.904,-21739.9,52.9296,0.383267
930000,43,201.715,-21738,41.9066,0.384533
945000,32,131.474,-21771.2,29.5347,0.360479
960000,46,204.463,-21743.5,45.189,0.380433
975000,37,149.663,-21742.1,34.9234,0.3702
990000,50,243.493,-21746.1,56.621,0.375267
1005000,37,162.698,-21772,29.9512,0.379371
1020000,43,207.968,-21747.4,43.2892,0.370267
1035000,47,209.295,-21763.8,63.3906,0.377333
1050000,45,203.015,-21747.9,33.5923,0.370067
1065000,31,144.264,-21752.5,33.6109,0.366608
1080000,35,147.262,-21756.3,39.6905,0.366133
1095000,32,131.934,-21764.3,35.1922,0.359867
1110000,35,154.494,-21721.3,35.8983,0.3612
1125000,42,193.621,-21740.8,38.6604,0.381108
1140000,41,188.054,-21743.1,43.0318,0.388733
1155000,64,286.306,-21701,62.5741,0.362289
1170000,56,246.955,-21697,57.7912,0.3928
1185000,55,228.247,-21717.7,63.1238,0.379733
1200000,51,213.389,-21679.6,48.2837,0.385333
1215000,35,153.723,-21752,32.2269,0.3702
1230000,48,209.239,-21700.9,48.7704,0.380167
1245000,55,218.384,-21695.8,46.3016,0.385267
1260000,41,181.102,-21746.6,42.8406,0.366333
1275000,55,243.026,-21697.7,62.7102,0.382741
1290000,54,245.543,-21717.6,49.9721,0.3924
1305000,53,214.068,-21687.6,52.5891,0.383233
1320000,64,274.226,-21705.2,70.0151,0.398
1335000,65,292.342,-21704.6,81.8074,0.393467
1350000,53,214.233,-21672.3,57.0679,0.379667
1365000,50,207.23,-21721.1,55.6323,0.384733
1380000,56,241.62,-21685.3,52.6694,0.373033
1395000,50,206.599,-21719.8,46.0032,0.401833
1410000,54,231.753,-21695.1,56.1709,0.376933
1425000,72,323.571,-21686.5,75.5874,0.392133
1440000,86,360.78,-21678.4,74.1066,0.4062
1455000,66,254.615,-21677.1,64.4721,0.408267
1470000,51,201.546,-21710.9,44.7023,0.379183
1485000,59,240.861,-21684.1,54.1029,0.397667
1500000,57,257.872,-21712.9,70.73,0.388767
1515000,49,202.774,-21696.2,51.5229,0.396467
1530000,49,210.82,-21693.2,53.8736,0.372733
1545000,59,244.526,-21704.3,46.0589,0.369067
1560000,55,246.792,-21684.9,54.8178,0.383267
1575000,47,197.592,-21705.3,49.3074,0.386456
1590000,61,268.359,-21717.4,55.4952,0.389133
1605000,65,288.153,-21686.1,72.9573,0.388667
1620000,61,269.998,-21682.4,49.3888,0.401467
1635000,56,268.382,-21732,54.5605,0.408667
1650000,42,169.131,-21694.4,42.2586,0.371367
1665000,46,203.858,-21695.5,55.0168,0.376467
1680000,52,235.356,-21658.3,43.3964,0.373667
