generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,3,1
3000,2,3,1
4000,1,2,1
5000,1,3,1
6000,1,2,1
7000,2,3,1
8000,1,2,1
9000,2,3,1
10000,1,2,1
11000,1,2,1
12000,2,3,1
13000,1,2,1
14000,1,3,1
15000,1,3,1
16000,2,3,1
17000,1,3,1
18000,2,3,1
19000,2,3,1
20000,1,2,1
21000,1,2,1
22000,1,2,1
23000,1,2,1
24000,2,3,1
25000,2,3,1
26000,2,3,0
27000,1,3,1
28000,1,3,1
29000,1,2,1
30000,1,3,1
31000,1,2,1
32000,1,2,1
33000,1,3,1
34000,1,2,1
35000,2,3,1
36000,1,2,1
37000,2,3,1
38000,2,3,1
39000,2,3,1
40000,2,3,1
41000,1,3,1
42000,2,3,1
43000,1,3,1
44000,2,3,1
45000,1,3,1
46000,1,2,1
47000,1,2,1
48000,2,3,1
49000,1,3,1
50000,1,2,1
51000,1,2,1
52000,1,2,1
53000,2,3,1
54000,1,2,1
55000,1,3,1
56000,2,3,1
57000,2,3,1
58000,1,2,1
59000,1,3,1
60000,1,3,1
61000,1,3,1
62000,1,2,1
63000,1,2,0
64000,1,3,0
65000,2,3,1
66000,1,3,0
67000,1,3,0
68000,2,3,1
69000,1,2,0
70000,1,2,1
71000,1,3,1
72000,2,3,0
73000,1,2,1
74000,1,2,1
75000,1,2,1
76000,2,3,0
77000,2,3,1
78000,1,2,0
79000,1,3,1
80000,1,2,1
81000,1,2,1
82000,1,3,1
83000,1,2,0
84000,2,3,1
85000,1,3,1
86000,1,2,1
87000,1,3,1
88000,1,2,0
89000,1,3,1
90000,2,3,1
91000,2,3,1
92000,1,2,0
93000,1,3,1
94000,1,2,1
95000,2,3,1
96000,1,3,1
97000,1,3,0
98000,1,3,0
99000,1,3,0
100000,2,3,1
101000,1,3,0
102000,2,3,1
103000,2,3,0
104000,1,2,0
105000,1,3,1
106000,1,3,1
107000,2,3,0
108000,1,3,1
109000,2,3,1
110000,1,3,1
111000,1,2,1
112000,1,3,0
113000,2,3,1
114000,1,2,0
115000,1,2,0
116000,2,3,1
117000,1,2,1
118000,1,2,1
119000,1,2,1
120000,2,3,0
121000,2,3,0
122000,1,3,0
123000,1,2,1
124000,2,3,0
125000,1,3,0
126000,2,3,0
127000,1,2,1
128000,1,3,1
129000,1,3,1
130000,1,2,1
131000,1,2,0
132000,1,3,0
133000,1,3,1
134000,1,3,1
135000,1,2,1
136000,2,3,0
137000,1,3,0
138000,1,3,1
139000,1,2,1
140000,2,3,1
141000,1,2,1
142000,1,2,1
143000,1,2,0
144000,1,2,1
145000,1,2,1
146000,1,2,0
147000,1,2,1
